mission_ql,character_level,slider_position,rollable,evidence_status,request_count,expected_offers_per_complete_cohort,harvest_command
141,129,7,true,PROVEN_HELPBOT,1,5,/missionharvest start 141 1
142,142,6,true,PROVEN_HELPBOT,1,5,/missionharvest start 142 1
143,110,9,true,PROVEN_HELPBOT,1,5,/missionharvest start 143 1
144,120,8,true,PROVEN_HELPBOT,1,5,/missionharvest start 144 1
145,121,8,true,PROVEN_HELPBOT,1,5,/missionharvest start 145 1
146,146,6,true,PROVEN_HELPBOT,1,5,/missionharvest start 146 1
147,134,7,true,PROVEN_HELPBOT,1,5,/missionharvest start 147 1
148,124,8,true,PROVEN_HELPBOT,1,5,/missionharvest start 148 1
149,115,9,true,PROVEN_HELPBOT,1,5,/missionharvest start 149 1
150,125,8,true,PROVEN_HELPBOT,1,5,/missionharvest start 150 1
151,138,7,true,PROVEN_HELPBOT,1,5,/missionharvest start 151 1
152,139,7,true,PROVEN_HELPBOT,1,5,/missionharvest start 152 1
153,118,9,true,PROVEN_HELPBOT,1,5,/missionharvest start 153 1
154,129,8,true,PROVEN_HELPBOT,1,5,/missionharvest start 154 1
155,87,11,true,PROVEN_HELPBOT,1,5,/missionharvest start 155 1
156,120,9,true,PROVEN_HELPBOT,1,5,/missionharvest start 156 1
157,143,7,true,PROVEN_HELPBOT,1,5,/missionharvest start 157 1
158,144,7,true,PROVEN_HELPBOT,1,5,/missionharvest start 158 1
159,133,8,true,PROVEN_HELPBOT,1,5,/missionharvest start 159 1
160,146,7,true,PROVEN_HELPBOT,1,5,/missionharvest start 160 1
161,147,7,true,PROVEN_HELPBOT,1,5,/missionharvest start 161 1
162,125,9,true,PROVEN_HELPBOT,1,5,/missionharvest start 162 1
163,136,8,true,PROVEN_HELPBOT,1,5,/missionharvest start 163 1
164,137,8,true,PROVEN_HELPBOT,1,5,/missionharvest start 164 1
165,110,10,true,PROVEN_HELPBOT,1,5,/missionharvest start 165 1
166,128,9,true,PROVEN_HELPBOT,1,5,/missionharvest start 166 1
167,129,9,true,PROVEN_HELPBOT,1,5,/missionharvest start 167 1
168,112,10,true,PROVEN_HELPBOT,1,5,/missionharvest start 168 1
169,130,9,true,PROVEN_HELPBOT,1,5,/missionharvest start 169 1
170,131,9,true,PROVEN_HELPBOT,1,5,/missionharvest start 170 1
171,143,8,true,PROVEN_HELPBOT,1,5,/missionharvest start 171 1
172,144,8,true,PROVEN_HELPBOT,1,5,/missionharvest start 172 1
173,97,11,true,PROVEN_HELPBOT,1,5,/missionharvest start 173 1
174,134,9,true,PROVEN_HELPBOT,1,5,/missionharvest start 174 1
175,135,9,true,PROVEN_HELPBOT,1,5,/missionharvest start 175 1
176,136,9,true,PROVEN_HELPBOT,1,5,/missionharvest start 176 1
177,118,10,true,PROVEN_HELPBOT,1,5,/missionharvest start 177 1
178,149,8,true,PROVEN_HELPBOT,1,5,/missionharvest start 178 1
179,138,9,true,PROVEN_HELPBOT,1,5,/missionharvest start 179 1
180,120,10,true,PROVEN_HELPBOT,1,5,/missionharvest start 180 1
181,121,10,true,PROVEN_HELPBOT,1,5,/missionharvest start 181 1
182,140,9,true,PROVEN_HELPBOT,1,5,/missionharvest start 182 1
183,122,10,true,PROVEN_HELPBOT,1,5,/missionharvest start 183 1
184,142,9,true,PROVEN_HELPBOT,1,5,/missionharvest start 184 1
185,143,9,true,PROVEN_HELPBOT,1,5,/missionharvest start 185 1
186,124,10,true,PROVEN_HELPBOT,1,5,/missionharvest start 186 1
187,144,9,true,PROVEN_HELPBOT,1,5,/missionharvest start 187 1
188,105,11,true,PROVEN_HELPBOT,1,5,/missionharvest start 188 1
189,146,9,true,PROVEN_HELPBOT,1,5,/missionharvest start 189 1
190,127,10,true,PROVEN_HELPBOT,1,5,/missionharvest start 190 1
191,147,9,true,PROVEN_HELPBOT,1,5,/missionharvest start 191 1
192,128,10,true,PROVEN_HELPBOT,1,5,/missionharvest start 192 1
193,149,9,true,PROVEN_HELPBOT,1,5,/missionharvest start 193 1
194,177,7,true,INFERRED_LOCAL_TABLE,1,5,/missionharvest start 194 1
195,130,10,true,PROVEN_HELPBOT,1,5,/missionharvest start 195 1
196,131,10,true,PROVEN_HELPBOT,1,5,/missionharvest start 196 1
197,110,11,true,PROVEN_HELPBOT,1,5,/missionharvest start 197 1
198,132,10,true,PROVEN_HELPBOT,1,5,/missionharvest start 198 1
199,133,10,true,PROVEN_HELPBOT,1,5,/missionharvest start 199 1
200,112,11,true,PROVEN_HELPBOT,1,5,/missionharvest start 200 1
201,134,10,true,PROVEN_HELPBOT,1,5,/missionharvest start 201 1
202,135,10,true,PROVEN_HELPBOT,1,5,/missionharvest start 202 1
203,185,7,true,INFERRED_LOCAL_TABLE,1,5,/missionharvest start 203 1
204,136,10,true,PROVEN_HELPBOT,1,5,/missionharvest start 204 1
205,137,10,true,PROVEN_HELPBOT,1,5,/missionharvest start 205 1
206,115,11,true,PROVEN_HELPBOT,1,5,/missionharvest start 206 1
207,138,10,true,PROVEN_HELPBOT,1,5,/missionharvest start 207 1
208,139,10,true,PROVEN_HELPBOT,1,5,/missionharvest start 208 1
209,209,6,true,INFERRED_LOCAL_TABLE,1,5,/missionharvest start 209 1
210,140,10,true,PROVEN_HELPBOT,1,5,/missionharvest start 210 1
211,118,11,true,PROVEN_HELPBOT,1,5,/missionharvest start 211 1
212,142,10,true,PROVEN_HELPBOT,1,5,/missionharvest start 212 1
213,178,8,true,INFERRED_LOCAL_TABLE,1,5,/missionharvest start 213 1
214,143,10,true,PROVEN_HELPBOT,1,5,/missionharvest start 214 1
215,120,11,true,PROVEN_HELPBOT,1,5,/missionharvest start 215 1
216,144,10,true,PROVEN_HELPBOT,1,5,/missionharvest start 216 1
217,121,11,true,PROVEN_HELPBOT,1,5,/missionharvest start 217 1
218,122,11,true,PROVEN_HELPBOT,1,5,/missionharvest start 218 1
219,146,10,true,PROVEN_HELPBOT,1,5,/missionharvest start 219 1
220,147,10,true,PROVEN_HELPBOT,1,5,/missionharvest start 220 1
221,201,7,true,INFERRED_LOCAL_TABLE,1,5,/missionharvest start 221 1
222,124,11,true,PROVEN_HELPBOT,1,5,/missionharvest start 222 1
223,149,10,true,PROVEN_HELPBOT,1,5,/missionharvest start 223 1
224,125,11,true,PROVEN_HELPBOT,1,5,/missionharvest start 224 1
225,127,11,true,PROVEN_HELPBOT,1,5,/missionharvest start 225 1
226,128,11,true,PROVEN_HELPBOT,1,5,/missionharvest start 226 1
227,129,11,true,PROVEN_HELPBOT,1,5,/missionharvest start 227 1
228,208,7,true,INFERRED_LOCAL_TABLE,1,5,/missionharvest start 228 1
229,209,7,true,INFERRED_LOCAL_TABLE,1,5,/missionharvest start 229 1
230,177,9,true,INFERRED_LOCAL_TABLE,1,5,/missionharvest start 230 1
231,178,9,true,INFERRED_LOCAL_TABLE,1,5,/missionharvest start 231 1
232,130,11,true,PROVEN_HELPBOT,1,5,/missionharvest start 232 1
233,180,9,true,INFERRED_LOCAL_TABLE,1,5,/missionharvest start 233 1
234,156,10,true,INFERRED_LOCAL_TABLE,1,5,/missionharvest start 234 1
235,131,11,true,PROVEN_HELPBOT,1,5,/missionharvest start 235 1
236,132,11,true,PROVEN_HELPBOT,1,5,/missionharvest start 236 1
237,133,11,true,PROVEN_HELPBOT,1,5,/missionharvest start 237 1
238,134,11,true,PROVEN_HELPBOT,1,5,/missionharvest start 238 1
239,135,11,true,PROVEN_HELPBOT,1,5,/missionharvest start 239 1
240,185,9,true,INFERRED_LOCAL_TABLE,1,5,/missionharvest start 240 1
241,201,8,true,INFERRED_LOCAL_TABLE,1,5,/missionharvest start 241 1
242,202,8,true,INFERRED_LOCAL_TABLE,1,5,/missionharvest start 242 1
243,136,11,true,PROVEN_HELPBOT,1,5,/missionharvest start 243 1
244,163,10,true,INFERRED_LOCAL_TABLE,1,5,/missionharvest start 244 1
245,137,11,true,PROVEN_HELPBOT,1,5,/missionharvest start 245 1
246,138,11,true,PROVEN_HELPBOT,1,5,/missionharvest start 246 1
247,165,10,true,INFERRED_LOCAL_TABLE,1,5,/missionharvest start 247 1
248,139,11,true,PROVEN_HELPBOT,1,5,/missionharvest start 248 1
249,208,8,true,INFERRED_LOCAL_TABLE,1,5,/missionharvest start 249 1
250,140,11,true,PROVEN_HELPBOT,1,5,/missionharvest start 250 1
