capture_id,evidence_digest,analysis_state,evidence_coverage,used_by,derived_artifacts,raw_archive_path,raw_archive_digest,unresolved_gaps,retention_state,approved_by,approved_at,reason
20260612-225451,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260612-225855,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260612-232439,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260613-002705,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260613-002828,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260613-005616,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260613-012810,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260613-014033,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260613-022718,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260613-034740,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260613-041644,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260613-170220,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260613-172753,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260613-181432,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260613-181757,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260613-182139,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260613-182530,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260613-182937,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260613-184156,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260613-184615,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260613-185338,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260613-211234,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260613-215211,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260613-221619,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260613-223554,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260613-231115,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260613-233518,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260613-233535,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260614-000019,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260614-000058,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260614-002319,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260614-014041,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260614-020715,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260614-022639,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260614-024525,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260614-193426,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260614-194454,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260614-195107,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260614-195725,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260614-200311,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260614-200850,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260614-202500,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260614-203038,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260614-203631,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260614-205724,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260614-211754,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260614-212335,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260614-212914,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260614-213857,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260614-214357,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260614-214819,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260614-215831,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260614-221915,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260618-075746,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260618-081630,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260618-083035,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260620-064548,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260620-092230,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260620-093226,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260620-093825,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260620-095248,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260620-095610,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260620-100151,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260620-100910,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260620-101515,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260620-213807,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260620-214025,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260620-214527,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260620-214944,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260620-221718,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260620-221929,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260620-222813,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260620-223429,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260620-230138,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260620-234156,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260621-011843,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260621-013227,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260621-014250,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260621-015247,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260621-015913,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260621-020852,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260621-021223,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260621-021829,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260621-022335,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260621-052003,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260621-062224,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260621-063942,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260621-072558,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260621-073119,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260621-073837,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260621-090755,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260621-091447,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260622-003221,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260622-071718,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260622-071741,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260622-073015,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260622-081426,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260622-081427,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260622-092054,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260622-092724,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260622-093102,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260622-093540,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260622-101935,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260622-132353,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260622-133248,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260623-010420,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260623-010648,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260623-010708,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260623-010726,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260623-011533,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260623-012720,cb7facf1d4478b6eeb1cffceb2fedfdeba35208ebd0b346dbd99d9a805067dea,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260623-014311,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260623-014854,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260623-015602,b2f014e204007850eac62e3d478f930dd5f4880d18d0beb3e32dd28049256099,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260623-021643,a8f080ce4f6dbf1346207a55f421ed269976ab0e149ee4be793d19be5325d7b7,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260623-040642,cc66b715b66f56b1ae4715c3f2b93daf50303b5f20030b79ee66ce255a7b905b,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260623-041728,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260623-042326,378f18631da31e14379f52c7aae872b56b01a324511e79521d2c6e4a6c0a3a92,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260623-044444,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
20260623-045431,,unreviewed,unknown,,,,,Capture has not been reviewed for raw-evidence disposal.,retain,,,Default fail-closed retention; no discard review recorded.
