CaptureId,ResourcePlayfieldId,Identity,Name,MonsterData,PositionX,PositionY,PositionZ,HeadingX,HeadingY,HeadingZ,HeadingW,Level,Health,MonsterScale,RunSpeed,NpcFamily,CharacterFlags,AppearanceValue,HeadMesh,Textures,Meshes,Waypoints,Owner,Classification,ImplementationPath,FullUpdateEvidence,MovementEvidence,CombatEvidence,LootEvidence,RawScfuRows
20260710-202132,127,(SimpleChar:79557C66),Disobedient Bot,17649,151.409119,107.61483,271.044,0,0.806456447,0,0.5912935,7,160,94,25,138,268964353,1227,,0:0:0|1:0:0|2:0:0|3:0:0|4:0:0,,151.409119:107.61483:271.044|155.2044:107.614883:269.847229,,SUPPORTED_FAMILY_RESTORE,CapturedSubwayContentProvider shared family: Disobedient Bot,scfu-appearance.csv,enemy-movement.csv,enemy-combat.csv,deferred-or-unobserved,3
20260710-202132,127,(SimpleChar:79557C8B),Discarded Pet,17720,286.2218,107.611687,285.7219,0,-0.767090738,0,0.6415386,10,227,95,44,138,268980737,1227,,0:0:0|1:0:0|2:0:0|3:0:0|4:0:0,,286.2218:107.611687:285.7219,,SUPPORTED_FAMILY_RESTORE,CapturedSubwayContentProvider shared family: Discarded Pet,scfu-appearance.csv,enemy-movement.csv,archetype-or-family-only,deferred-or-unobserved,2
20260710-202132,127,(SimpleChar:79557CA7),Discarded Pet,17720,161.97876,107.613258,301.466125,0,-0.837326169,0,0.546703637,8,183,94,36,138,268980737,1227,,0:0:0|1:0:0|2:0:0|3:0:0|4:0:0,,161.97876:107.613258:301.466125,,SUPPORTED_FAMILY_RESTORE,CapturedSubwayContentProvider shared family: Discarded Pet,scfu-appearance.csv,enemy-movement.csv,enemy-combat.csv,deferred-or-unobserved,2
20260710-202132,127,(SimpleChar:79557CAA),Discarded Pet,17720,171.795517,107.611687,304.032837,0,0.890533447,0,0.4549171,8,183,94,36,138,268980737,1227,,0:0:0|1:0:0|2:0:0|3:0:0|4:0:0,,,,DUPLICATE_EXCLUDED,excluded,scfu-appearance.csv,unobserved,archetype-or-family-only,deferred-or-unobserved,1
20260710-202132,127,(SimpleChar:79557CAB),Discarded Pet,17720,281.3582,107.611687,284.467255,0,0.584892869,0,0.811110556,10,227,95,44,138,268980737,1227,,0:0:0|1:0:0|2:0:0|3:0:0|4:0:0,,281.3582:107.611687:284.467255,,SUPPORTED_FAMILY_RESTORE,CapturedSubwayContentProvider shared family: Discarded Pet,scfu-appearance.csv,enemy-movement.csv,archetype-or-family-only,deferred-or-unobserved,2
20260710-202132,127,(SimpleChar:79557CAC),Violent Vagabond,203733,273.7663,107.611687,284.703522,0,-0.6543738,0,0.7561712,10,182,95,27,3,268964353,1579,40676,0:0:0|1:21824:0|2:0:0|3:21819:0|4:21831:0,0:40676:0:4|1:136583:0:2,273.7663:107.611687:284.703522|268.270264:109.001671:285.413666,,SUPPORTED_FAMILY_RESTORE,CapturedSubwayContentProvider shared family: Violent Vagabond,scfu-appearance.csv,enemy-movement.csv,archetype-or-family-only,deferred-or-unobserved,2
20260710-202132,127,(SimpleChar:79557CAD),Discarded Pet,17720,288.673035,107.611687,276.390656,0,0.548364937,0,0.836239159,10,227,95,44,138,268980737,1227,,0:0:0|1:0:0|2:0:0|3:0:0|4:0:0,,288.673035:107.611687:276.390656|290.438:107.611687:277.159241,,SUPPORTED_FAMILY_RESTORE,CapturedSubwayContentProvider shared family: Discarded Pet,scfu-appearance.csv,enemy-movement.csv,archetype-or-family-only,deferred-or-unobserved,2
20260710-202132,127,(SimpleChar:79557CB2),Looter,203745,241.0729,107.611687,301.2032,0,-0.98654443,0,0.1634935,9,287,95,31,138,268964353,1579,40695,0:0:0|1:21824:0|2:0:0|3:21819:0|4:21831:0,0:40695:0:4|1:7798:0:2,,,DUPLICATE_EXCLUDED,excluded,scfu-appearance.csv,unobserved,archetype-or-family-only,OBSERVED_AVAILABLE_LOOT,1
20260710-202132,127,(SimpleChar:79557CB8),Looter,203745,284.850769,107.611687,294.085632,0,-0.9593532,0,0.2822098,10,318,95,34,138,268964353,1579,40695,0:0:0|1:21824:0|2:0:0|3:21819:0|4:21831:0,0:40695:0:4|1:7798:0:2,,,ORDINARY_ENEMY_REGENERATE,CapturedSubwayOrdinaryContentProvider archetype: Looter,scfu-appearance.csv,unobserved,archetype-or-family-only,OBSERVED_AVAILABLE_LOOT,2
20260710-202132,127,(SimpleChar:79557F0D),Looter,203745,254.930374,107.611687,280.7475,0,0.347314417,0,0.9377487,10,318,95,34,138,268964353,1579,40695,0:0:0|1:21824:0|2:0:0|3:21819:0|4:21831:0,0:40695:0:4|1:7798:0:2,,,DUPLICATE_EXCLUDED,excluded,scfu-appearance.csv,unobserved,enemy-combat.csv,OBSERVED_AVAILABLE_LOOT,1
20260710-202132,127,(SimpleChar:79557F12),Stim Fiend,203739,287.733978,107.611687,299.437225,0,-0.9918657,0,0.127288952,11,261,96,49,138,268964353,1579,40693,0:117653:0|1:40898:0|2:40903:0|3:87442:0|4:40907:0,0:40693:0:4,287.733978:107.611687:299.437225|287.3037:107.611687:297.787262,,ORDINARY_ENEMY_REGENERATE,CapturedSubwayOrdinaryContentProvider archetype: Stim Fiend,scfu-appearance.csv,enemy-movement.csv,archetype-or-family-only,OBSERVED_AVAILABLE_LOOT,2
20260710-202132,127,(SimpleChar:79557F13),Stim Fiend,203739,285.795532,107.611687,301.455078,0,0.988100469,0,0.153809965,11,261,96,49,138,268964353,1579,40693,0:117653:0|1:40898:0|2:40903:0|3:87442:0|4:40907:0,0:40693:0:4,,,DUPLICATE_EXCLUDED,excluded,scfu-appearance.csv,unobserved,archetype-or-family-only,OBSERVED_AVAILABLE_LOOT,2
20260710-202132,127,(SimpleChar:79557F14),Mugger,203734,292.5373,107.611687,298.02475,0,-0.5635333,0,0.826093435,10,182,95,36,138,268964353,1579,40705,0:9418:0|1:8729:0|2:9420:0|3:9419:0|4:9421:0,0:160561:0:2|0:40705:0:4|1:7777:0:2,,,SUPPORTED_FAMILY_RESTORE,CapturedSubwayContentProvider shared family: Mugger,scfu-appearance.csv,unobserved,archetype-or-family-only,deferred-or-unobserved,2
20260710-202132,127,(SimpleChar:7957405C),Violent Vagabond,203733,166.46637,107.6164,165.103058,0,-0.656772,0,0.754089236,7,128,94,20,3,268964353,1579,40676,0:0:0|1:21824:0|2:0:0|3:21819:0|4:21831:0,0:40676:0:4|1:136583:0:2,166.46637:107.6164:165.103058|163.274872:107.6164:165.316879,,SUPPORTED_FAMILY_RESTORE,CapturedSubwayContentProvider shared family: Violent Vagabond,scfu-appearance.csv,enemy-movement.csv,archetype-or-family-only,deferred-or-unobserved,3
20260710-202132,127,(SimpleChar:79574062),Shadow,30464,187.295364,108.416405,206.849258,0,0.298731357,0,0.954337239,9,205,95,25,150,268964353,1227,,0:0:0|1:0:0|2:0:0|3:0:0|4:0:0,,187.295364:108.416405:206.849258,,UNSUPPORTED_FAMILY_EXCLUDED,excluded,scfu-appearance.csv,enemy-movement.csv,archetype-or-family-only,deferred-or-unobserved,2
20260710-202132,127,(SimpleChar:79574074),Shadow,30464,177.569061,108.416405,204.239075,0,0.555286646,0,0.8316588,11,261,96,30,150,268964353,1227,,0:0:0|1:0:0|2:0:0|3:0:0|4:0:0,,,,UNSUPPORTED_FAMILY_EXCLUDED,excluded,scfu-appearance.csv,unobserved,archetype-or-family-only,deferred-or-unobserved,2
20260710-202132,127,(SimpleChar:7957407F),Shadow,30464,184.672272,108.416405,213.5361,0,-0.624643862,0,0.7809097,10,227,95,27,150,268964353,1227,,0:0:0|1:0:0|2:0:0|3:0:0|4:0:0,,184.672272:108.416405:213.5361|183.5:108.4064:213.800018,,UNSUPPORTED_FAMILY_EXCLUDED,excluded,scfu-appearance.csv,enemy-movement.csv,archetype-or-family-only,deferred-or-unobserved,2
20260710-202132,127,(SimpleChar:79574081),Shadow,30464,186.01,108.416405,213.776291,0,-0.852200866,0,-0.5232144,9,205,95,25,150,268964353,1227,,0:0:0|1:0:0|2:0:0|3:0:0|4:0:0,,,,UNSUPPORTED_FAMILY_EXCLUDED,excluded,scfu-appearance.csv,unobserved,archetype-or-family-only,deferred-or-unobserved,2
20260710-202132,127,(SimpleChar:79574085),Shadow,30464,184.058655,108.416405,203.394943,0,0.257021338,0,0.9664057,9,205,95,25,150,268964353,1227,,0:0:0|1:0:0|2:0:0|3:0:0|4:0:0,,,,UNSUPPORTED_FAMILY_EXCLUDED,excluded,scfu-appearance.csv,unobserved,archetype-or-family-only,deferred-or-unobserved,2
20260710-202132,127,(SimpleChar:79574334),Filth Flea,17657,153.678711,107.6164,163.762833,0,-0.440056115,0,0.897970259,6,138,130,24,138,268964353,1227,,0:0:0|1:0:0|2:0:0|3:0:0|4:0:0,,153.678711:107.6164:163.762833|149.20787:107.6164:168.5246,,UNSUPPORTED_FAMILY_EXCLUDED,excluded,scfu-appearance.csv,enemy-movement.csv,archetype-or-family-only,deferred-or-unobserved,3
20260710-202132,127,(SimpleChar:79574394),Shadow,30464,214.297363,107.6164,252.246353,0,-0.961282432,0,0.275565773,11,261,96,30,150,268964353,1227,,0:0:0|1:0:0|2:0:0|3:0:0|4:0:0,,,,UNSUPPORTED_FAMILY_EXCLUDED,excluded,scfu-appearance.csv,unobserved,archetype-or-family-only,deferred-or-unobserved,2
20260710-202132,127,(SimpleChar:79574395),Shadow,30464,200.203186,107.6164,253.9097,0,0.9901882,0,-0.139740348,12,294,96,33,150,268964353,1227,,0:0:0|1:0:0|2:0:0|3:0:0|4:0:0,,,,UNSUPPORTED_FAMILY_EXCLUDED,excluded,scfu-appearance.csv,unobserved,archetype-or-family-only,deferred-or-unobserved,2
20260710-202132,127,(SimpleChar:7957439F),Shadow,30464,213.557556,107.6164,248.99,0,0.668034434,0,-0.7441307,12,294,96,33,150,268964353,1227,,0:0:0|1:0:0|2:0:0|3:0:0|4:0:0,,,,UNSUPPORTED_FAMILY_EXCLUDED,excluded,scfu-appearance.csv,unobserved,archetype-or-family-only,deferred-or-unobserved,2
20260710-202132,127,(SimpleChar:795743A7),Violent Vagabond,203733,197.541138,108.416405,209.092392,0,0.07931928,0,0.996849239,10,182,95,27,3,268964353,1579,40676,0:0:0|1:21824:0|2:0:0|3:21819:0|4:21831:0,0:40676:0:4|1:136583:0:2,197.541138:108.416405:209.092392|197.977966:108.416405:211.6961,,SUPPORTED_FAMILY_RESTORE,CapturedSubwayContentProvider shared family: Violent Vagabond,scfu-appearance.csv,enemy-movement.csv,archetype-or-family-only,deferred-or-unobserved,2
20260710-202132,127,(SimpleChar:795743A8),Violent Vagabond,203733,199.9471,108.416405,193.514114,0,0.9790859,0,0.203447312,10,182,95,27,3,268964353,1579,40676,0:0:0|1:21824:0|2:0:0|3:21819:0|4:21831:0,0:40676:0:4|1:136583:0:2,199.9471:108.416405:193.514114|200.8939:108.416405:191.3343,,SUPPORTED_FAMILY_RESTORE,CapturedSubwayContentProvider shared family: Violent Vagabond,scfu-appearance.csv,enemy-movement.csv,archetype-or-family-only,deferred-or-unobserved,2
20260710-202132,127,(SimpleChar:795743B4),Shadow,30464,201.211685,108.465,218.826218,0,0.9953465,0,-0.09636157,10,227,95,27,150,268964353,1227,,0:0:0|1:0:0|2:0:0|3:0:0|4:0:0,,,,UNSUPPORTED_FAMILY_EXCLUDED,excluded,scfu-appearance.csv,unobserved,archetype-or-family-only,deferred-or-unobserved,2
20260710-202132,127,(SimpleChar:795743B6),Shadow,30464,197.065018,108.416405,219.208817,0,-0.9234554,0,0.383702755,9,205,95,25,150,268964353,1227,,0:0:0|1:0:0|2:0:0|3:0:0|4:0:0,,,,UNSUPPORTED_FAMILY_EXCLUDED,excluded,scfu-appearance.csv,unobserved,archetype-or-family-only,deferred-or-unobserved,2
20260710-202132,127,(SimpleChar:795743B8),Shadow,30464,197.5498,107.6164,253.679245,0,0.993614137,0,-0.112827428,11,261,96,30,150,268964353,1227,,0:0:0|1:0:0|2:0:0|3:0:0|4:0:0,,,,UNSUPPORTED_FAMILY_EXCLUDED,excluded,scfu-appearance.csv,unobserved,archetype-or-family-only,deferred-or-unobserved,2
20260710-202132,127,(SimpleChar:795743BA),Shadow,30464,211.659,107.6164,251.6561,0,-0.7789708,0,0.627059937,10,227,95,27,150,268964353,1227,,0:0:0|1:0:0|2:0:0|3:0:0|4:0:0,,,,UNSUPPORTED_FAMILY_EXCLUDED,excluded,scfu-appearance.csv,unobserved,archetype-or-family-only,deferred-or-unobserved,2
20260710-202132,127,(SimpleChar:79574527),Deranged Shopper,203736,255.7054,107.611687,285.020325,0,-0.209199682,0,0.977872968,8,256,94,31,138,268964353,1835,40630,0:0:0|1:30859:0|2:30869:0|3:40896:0|4:15815:0,0:40630:0:4|1:95784:0:2,255.7054:107.611687:285.020325|254.4:107.601685:287.899963,,ORDINARY_ENEMY_REGENERATE,CapturedSubwayOrdinaryContentProvider archetype: Deranged Shopper,scfu-appearance.csv,enemy-movement.csv,enemy-combat.csv,deferred-or-unobserved,1
20260710-202132,127,(SimpleChar:795785BE),Leet,17655,3240.007,39.925,870.2883,0,0.4379839,0,0.8989828,1,20,90,5,36,268964353,1483,,0:0:0|1:0:0|2:0:0|3:0:0|4:0:0,,3240.007:39.925:870.2883|3243.43359:39.92642:872.9641,,UNSUPPORTED_FAMILY_EXCLUDED,excluded,scfu-appearance.csv,enemy-movement.csv,archetype-or-family-only,deferred-or-unobserved,1
20260710-202132,127,(SimpleChar:7957E02C),Violent Vagabond,203733,169.272583,107.61483,244.71405,0,-0.04474829,0,0.9989983,7,128,94,20,3,268964353,1579,40676,0:0:0|1:21824:0|2:0:0|3:21819:0|4:21831:0,0:40676:0:4|1:136583:0:2,169.272583:107.61483:244.71405|169.1525:107.900414:247.763138,,SUPPORTED_FAMILY_RESTORE,CapturedSubwayContentProvider shared family: Violent Vagabond,scfu-appearance.csv,enemy-movement.csv,archetype-or-family-only,deferred-or-unobserved,5
20260710-202132,127,(SimpleChar:7957E02E),Violent Vagabond,203733,163.902328,107.6164,164.683487,0,0.75526166,0,0.6554234,7,128,94,20,3,268964353,1579,40676,0:0:0|1:21824:0|2:0:0|3:21819:0|4:21831:0,0:40676:0:4|1:136583:0:2,163.902328:107.6164:164.683487|166.1856:107.6164:164.3587,,SUPPORTED_FAMILY_RESTORE,CapturedSubwayContentProvider shared family: Violent Vagabond,scfu-appearance.csv,enemy-movement.csv,archetype-or-family-only,deferred-or-unobserved,3
20260710-202132,127,(SimpleChar:7957E123),Violent Vagabond,203733,149.739487,107.61483,279.861847,0,-0.6520156,0,-0.7582054,6,110,93,18,3,268964353,1579,40676,0:0:0|1:21824:0|2:0:0|3:21819:0|4:21831:0,0:40676:0:4|1:136583:0:2,,,SUPPORTED_FAMILY_RESTORE,CapturedSubwayContentProvider shared family: Violent Vagabond,scfu-appearance.csv,enemy-movement.csv,enemy-combat.csv,deferred-or-unobserved,3
20260710-202132,127,(SimpleChar:7957E128),Stim Fiend,203739,287.055054,107.611687,310.951843,0,-0.998169065,0,0.06048951,12,294,96,54,138,268964353,1579,40693,0:117653:0|1:40898:0|2:40903:0|3:87442:0|4:40907:0,0:40693:0:4,,,ORDINARY_ENEMY_REGENERATE,CapturedSubwayOrdinaryContentProvider archetype: Stim Fiend,scfu-appearance.csv,unobserved,archetype-or-family-only,OBSERVED_AVAILABLE_LOOT,2
20260710-202132,127,(SimpleChar:7957E149),Violent Vagabond,203733,171.2615,107.6164,164.667389,0,0.6175505,0,-0.786531746,7,128,94,20,3,268964353,1579,40676,0:0:0|1:21824:0|2:0:0|3:21819:0|4:21831:0,0:40676:0:4|1:136583:0:2,,,DUPLICATE_EXCLUDED,excluded,scfu-appearance.csv,unobserved,archetype-or-family-only,deferred-or-unobserved,3
20260710-202132,127,(SimpleChar:7957E3EF),Thief,26092,73.02679,115.61483,313.01,0,-0.5107332,0,-0.8597391,5,115,93,20,138,268964353,1576,40694,0:9418:0|1:8729:0|2:9420:0|3:9419:0|4:9421:0,0:160561:0:2|0:40694:0:4|1:7777:0:2,,,UNSUPPORTED_FAMILY_EXCLUDED,excluded,scfu-appearance.csv,unobserved,archetype-or-family-only,deferred-or-unobserved,1
20260710-202132,127,(SimpleChar:7957E3F2),Filth Flea,17657,101.297485,107.61483,238.808624,0,-0.4090049,0,0.9125328,4,93,130,17,138,268964353,1227,,0:0:0|1:0:0|2:0:0|3:0:0|4:0:0,,,,UNSUPPORTED_FAMILY_EXCLUDED,excluded,scfu-appearance.csv,unobserved,archetype-or-family-only,deferred-or-unobserved,2
20260710-202132,127,(SimpleChar:7957E3F5),Filth Flea,17657,86.0909348,111.615,270.4027,0,0.455574483,0,0.8901978,5,115,130,21,138,268964353,1227,,0:0:0|1:0:0|2:0:0|3:0:0|4:0:0,,,,UNSUPPORTED_FAMILY_EXCLUDED,excluded,scfu-appearance.csv,unobserved,archetype-or-family-only,deferred-or-unobserved,1
20260710-202132,127,(SimpleChar:7957E3F9),Filth Flea,17657,93.06257,107.61483,257.48172,0,-0.8858358,0,0.463998765,6,138,130,24,138,268964353,1227,,0:0:0|1:0:0|2:0:0|3:0:0|4:0:0,,93.06257:107.61483:257.48172|93.25757:107.611687:255.791214,,UNSUPPORTED_FAMILY_EXCLUDED,excluded,scfu-appearance.csv,enemy-movement.csv,archetype-or-family-only,deferred-or-unobserved,1
20260710-202132,127,(SimpleChar:7957E3FA),Filth Flea,17657,96.90566,107.61483,257.293121,0,0.476803422,0,-0.879009843,5,115,130,21,138,268964353,1227,,0:0:0|1:0:0|2:0:0|3:0:0|4:0:0,,,,UNSUPPORTED_FAMILY_EXCLUDED,excluded,scfu-appearance.csv,unobserved,archetype-or-family-only,deferred-or-unobserved,1
20260710-202132,127,(SimpleChar:7957E3FD),Filth Flea,17657,86.6534653,107.61483,250.327,0,0.7780897,0,0.628152,4,93,130,17,138,268964353,1227,,0:0:0|1:0:0|2:0:0|3:0:0|4:0:0,,,,UNSUPPORTED_FAMILY_EXCLUDED,excluded,scfu-appearance.csv,unobserved,archetype-or-family-only,deferred-or-unobserved,2
