capture_id,capture_path,classification,raw_packet_evidence,analyzer_exit_code,decoder_exit_code,summary_kind,capability_status,processing_allowed,outputs_promoted,recapture_required,offline_decode_required,corpse_capability_status,local_corpse_evidence_observed,raw_corpse_full_update_packets,corpse_full_update_rows,corpse_full_update_decode_errors,enemy_respawn_complete_rows,enemy_respawn_ambiguous_rows,enemy_respawn_incomplete_rows,raw_scfu_packets,decoded_scfu_rows,scfu_decode_errors,result
20260709-184655,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260709-184655,MIXED,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,1,1,0,0,0,1,33,33,0,PASS
20260709-193914,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260709-193914,MIXED,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,1,1,0,0,0,1,48,48,0,PASS
20260709-205921,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260709-205921,SUBWAY,packets.hex.log,1,0,promoted,raw_source_legacy_terminal_tail_salvaged,true,true,false,false,corpse_full_update_decode_complete,true,14,14,0,0,0,14,59,59,0,PASS
20260709-210452,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260709-210452,SUBWAY,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,34,34,0,0,0,34,206,206,0,PASS
20260709-212115,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260709-212115,SUBWAY,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,27,27,0,0,0,25,365,365,0,PASS
20260709-212336,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260709-212336,SUBWAY,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,26,26,0,0,0,24,310,310,0,PASS
20260709-213711,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260709-213711,SUBWAY,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,no_corpse_full_update_observed,false,0,0,0,0,0,0,1,1,0,PASS
20260709-220439,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260709-220439,MIXED,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,77,77,0,2,0,39,788,788,0,PASS
20260709-222339,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260709-222339,MIXED,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,25,25,0,0,0,16,713,713,0,PASS
20260709-225408,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260709-225408,SUBWAY,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,108,108,0,0,0,61,515,515,0,PASS
20260710-202132,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260710-202132,MIXED,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,1,1,0,0,0,1,209,209,0,PASS
20260710-202553,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260710-202553,MIXED,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,no_raw_corpse_full_update_observed,true,0,0,0,0,0,0,1,1,0,PASS
20260710-205400,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260710-205400,SUBWAY,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,1,1,0,0,0,1,61,61,0,PASS
20260710-211346,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260710-211346,MIXED,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,no_corpse_full_update_observed,false,0,0,0,0,0,0,130,130,0,PASS
20260710-211430,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260710-211430,SUBWAY,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,31,31,0,0,0,15,385,385,0,PASS
20260710-212455,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260710-212455,MIXED,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,1,1,0,0,0,1,152,152,0,PASS
20260711-170337,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260711-170337,MIXED,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,1,1,0,0,0,1,46,46,0,PASS
20260711-172140,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260711-172140,MIXED,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,no_corpse_full_update_observed,false,0,0,0,0,0,0,223,223,0,PASS
20260711-172309,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260711-172309,MIXED,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,1,1,0,0,0,1,223,223,0,PASS
20260712-153918,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260712-153918,MIXED,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,15,15,0,2,0,9,95,95,0,PASS
20260712-154941,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260712-154941,MIXED,packets.hex.log,1,0,promoted,raw_source_legacy_terminal_tail_salvaged,true,true,false,false,corpse_full_update_decode_complete,true,1,1,0,0,0,1,103,103,0,PASS
20260712-155528,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260712-155528,MIXED,packets.hex.log,1,0,promoted,raw_source_legacy_terminal_tail_salvaged,true,true,false,false,corpse_full_update_decode_complete,true,1,1,0,0,0,1,85,85,0,PASS
20260712-160257,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260712-160257,SUBWAY,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,7,7,0,1,0,1,30,30,0,PASS
20260712-161506,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260712-161506,SUBWAY,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,2,2,0,2,0,0,32,32,0,PASS
20260712-195019,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260712-195019,SUBWAY,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,1,1,0,0,0,1,3,3,0,PASS
20260712-223719,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260712-223719,SUBWAY,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,17,17,0,0,0,15,99,99,0,PASS
20260712-224608,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260712-224608,SUBWAY,packets.hex.log,1,0,promoted,raw_source_legacy_terminal_tail_salvaged,true,true,false,false,corpse_full_update_decode_complete,true,2,2,0,0,0,2,9,9,0,PASS
20260712-224840,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260712-224840,SUBWAY,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,5,5,0,0,0,5,6,6,0,PASS
20260712-232137,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260712-232137,SUBWAY,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,7,7,0,2,0,5,7,7,0,PASS
20260712-232711,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260712-232711,SUBWAY,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,5,5,0,0,0,5,38,38,0,PASS
20260712-232848,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260712-232848,SUBWAY,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,no_raw_corpse_full_update_observed,true,0,0,0,0,0,0,1,1,0,PASS
20260712-234401,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260712-234401,SUBWAY,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,2,2,0,0,0,2,38,38,0,PASS
20260713-013906,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260713-013906,MIXED,packets.hex.log,1,0,promoted,raw_source_legacy_terminal_tail_salvaged,true,true,false,false,corpse_full_update_decode_complete,true,3,3,0,0,0,2,120,120,0,PASS
20260713-014714,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260713-014714,SUBWAY,packets.hex.log,0,0,promoted,no_scfu_observed,true,true,false,false,corpse_full_update_decode_complete,true,1,1,0,0,0,1,0,0,0,PASS
20260713-033511,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260713-033511,SUBWAY,packets.hex.log,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,2,2,0,0,0,2,1,1,0,PASS
20260714-182132,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260714-182132,MIXED,both,0,0,promoted,scfu_decode_complete,true,true,false,false,no_corpse_full_update_observed,false,0,0,0,0,0,0,111,111,0,PASS
20260716-033326,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260716-033326,SUBWAY,both,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,2,2,0,0,0,2,7,7,0,PASS
20260716-034104,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260716-034104,SUBWAY,both,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,3,3,0,0,0,3,1,1,0,PASS
20260716-034433,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260716-034433,SUBWAY,both,0,0,promoted,no_scfu_observed,true,true,false,false,corpse_full_update_decode_complete,true,1,1,0,0,0,1,0,0,0,PASS
20260716-034559,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260716-034559,SUBWAY,both,0,0,promoted,scfu_decode_complete,true,true,false,false,no_raw_corpse_full_update_observed,true,0,0,0,0,0,0,42,42,0,PASS
20260716-034656,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260716-034656,SUBWAY,both,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,6,6,0,0,0,6,3,3,0,PASS
20260716-215947,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260716-215947,SUBWAY,both,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,6,6,0,1,0,7,11,11,0,PASS
20260716-220255,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260716-220255,SUBWAY,both,0,0,promoted,no_scfu_observed,true,true,false,false,no_raw_corpse_full_update_observed,true,0,0,0,0,0,0,0,0,0,PASS
20260716-220400,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260716-220400,SUBWAY,both,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,2,2,0,0,0,2,26,26,0,PASS
20260716-221358,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260716-221358,SUBWAY,both,0,0,promoted,no_scfu_observed,true,true,false,false,corpse_full_update_decode_complete,true,4,4,0,0,0,5,0,0,0,PASS
20260716-221748,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260716-221748,SUBWAY,both,0,0,promoted,no_scfu_observed,true,true,false,false,corpse_full_update_decode_complete,true,1,1,0,0,0,1,0,0,0,PASS
20260716-222007,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260716-222007,SUBWAY,both,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,69,69,0,0,0,4,105,105,0,PASS
20260716-222201,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260716-222201,SUBWAY,both,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,17,17,0,0,0,14,4,4,0,PASS
20260717-012522,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260717-012522,MIXED,both,0,0,promoted,scfu_decode_complete,true,true,false,false,no_corpse_full_update_observed,false,0,0,0,0,0,0,63,63,0,PASS
20260717-012651,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260717-012651,SUBWAY,both,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,2,2,0,0,0,2,70,70,0,PASS
20260717-214612,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260717-214612,SUBWAY,both,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,21,21,0,0,0,7,33,33,0,PASS
20260717-214751,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260717-214751,SUBWAY,both,0,0,promoted,no_scfu_observed,true,true,false,false,corpse_full_update_decode_complete,true,6,6,0,0,0,6,0,0,0,PASS
20260717-215250,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260717-215250,SUBWAY,both,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,1,1,0,0,0,1,10,10,0,PASS
20260717-220340,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260717-220340,SUBWAY,both,0,0,promoted,no_scfu_observed,true,true,false,false,no_raw_corpse_full_update_observed,true,0,0,0,0,0,0,0,0,0,PASS
20260719-001715,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260719-001715,MIXED,both,0,0,promoted,no_scfu_observed,true,true,false,false,no_raw_corpse_full_update_observed,true,0,0,0,0,0,0,0,0,0,PASS
20260719-010047,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260719-010047,MIXED,both,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,3,3,0,0,0,3,8,8,0,PASS
20260719-020104,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260719-020104,MIXED,both,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,4,4,0,0,0,4,3,3,0,PASS
20260719-021022,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260719-021022,SUBWAY,both,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,1,1,0,0,0,1,211,211,0,PASS
20260719-021611,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260719-021611,SUBWAY,both,0,0,promoted,scfu_decode_complete,true,true,false,false,corpse_full_update_decode_complete,true,1,1,0,0,0,1,4,4,0,PASS
