capture_id,capture_path,evidence_digest,classification,confidence,pf127_signal,capture_playfield_id,event_playfield_ids,resource_playfield_ids,runtime_playfield_ids,character,validation_status,raw_packet_evidence,packets_hex_bytes,raw_packets_bytes,packets_hex_rows,raw_packets_rows,enemy_name_count,enemy_names,subway_terms,repository_reference_count,repository_references,implementation_reference_count,implementation_references,artifacts,reason
20260605-173336,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260605-173336,,ELSEWHERE,confirmed,,,937984,,,,,packets.hex.log,359268,0,1298,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260605-180144,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260605-180144,,ELSEWHERE,confirmed,,,937984,,,,,packets.hex.log,103654,0,264,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260607-005753,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260607-005753,,ELSEWHERE,confirmed,,,735;940039,735,,,,packets.hex.log,1167992,0,3482,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260607-025250,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260607-025250,,ELSEWHERE,confirmed,,,938031,,,,,packets.hex.log,113126,0,634,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260607-025758,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260607-025758,,ELSEWHERE,confirmed,,,938031,,,,,packets.hex.log,1332940,0,5558,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260607-042220,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260607-042220,,ELSEWHERE,confirmed,,,800;938031,800,,,,packets.hex.log,810272,0,2246,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260607-202610,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260607-202610,25f72409ec709fb5afe8f4692ecb4bfc57d00c85d4273875cf1f378115db0ec9,ELSEWHERE,confirmed,,,800;579662,800,,,,packets.hex.log,5342295,0,27288,0,0,,,6,docs/ai/capture-evidence-index.csv;docs/ai/capture-evidence-index.md;docs/archive/ai/HANDOFF_2026-06-08_VENDOR_STOCK.md;docs/generated/capture_backed_npc_combat_active_coverage.json;docs/generated/capture_backed_npc_combat_inventory.json;docs/generated/capture_backed_npc_secondary_evidence_audit.json,3,docs/generated/capture_backed_npc_combat_active_coverage.json;docs/generated/capture_backed_npc_combat_inventory.json;docs/generated/capture_backed_npc_secondary_evidence_audit.json,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260607-224551,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260607-224551,,ELSEWHERE,confirmed,,,579662,,,,,packets.hex.log,135849,0,749,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260607-230531,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260607-230531,,ELSEWHERE,confirmed,,,800;579662,800,,,,packets.hex.log,212164,0,725,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260607-233326,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260607-233326,,ELSEWHERE,confirmed,,,800;972800,,,,,packets.hex.log,403086,0,1376,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260608-000425,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260608-000425,,ELSEWHERE,confirmed,,,800;970752,800,,,,packets.hex.log,140608,0,429,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260608-004711,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260608-004711,,ELSEWHERE,confirmed,,,800;970752,800,,,,packets.hex.log,434541,0,1176,0,0,,,0,,0,,events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260610-185759,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260610-185759,b4562194a96298b0b7a240b14674118e49b822a062f4b916b9711007739e2aa1,ELSEWHERE,confirmed,,,655;1042439,655,,Youwillmezz,,packets.hex.log,507558,0,1754,0,0,,,5,docs/ai/capture-evidence-index.csv;docs/ai/capture-evidence-index.md;docs/generated/capture_backed_npc_combat_active_coverage.json;docs/generated/capture_backed_npc_combat_inventory.json;docs/generated/capture_backed_npc_secondary_evidence_audit.json,3,docs/generated/capture_backed_npc_combat_active_coverage.json;docs/generated/capture_backed_npc_combat_inventory.json;docs/generated/capture_backed_npc_secondary_evidence_audit.json,capture-session.json;events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260610-214233,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260610-214233,ed61431666b01ad2e83c9cd9f6b0a1221b3f7032d7ad06d97e59cce05a1bb17d,ELSEWHERE,confirmed,,,655;800;477929;544770;917521;1021955;1042445,655;800,,Youwillmezz,,packets.hex.log,1734798,0,5722,0,0,,,5,docs/ai/capture-evidence-index.csv;docs/ai/capture-evidence-index.md;docs/generated/capture_backed_npc_combat_active_coverage.json;docs/generated/capture_backed_npc_combat_inventory.json;docs/generated/capture_backed_npc_secondary_evidence_audit.json,3,docs/generated/capture_backed_npc_combat_active_coverage.json;docs/generated/capture_backed_npc_combat_inventory.json;docs/generated/capture_backed_npc_secondary_evidence_audit.json,capture-session.json;events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260610-231453,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260610-231453,,ELSEWHERE,confirmed,,,566;655;800;4530;4531;579662,566;655;800;4530;4531,,,,packets.hex.log,334114,0,841,0,0,,,0,,0,,capture-session.json;events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260610-232330,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260610-232330,a3e4a545955b0e0ba3345342337a8207c7f1018c61c9b9f5b40f815b31d0c3e6,ELSEWHERE,confirmed,,,4531;1038340,,,Youwillnuke,,packets.hex.log,105176,0,364,0,0,,,5,docs/ai/capture-evidence-index.csv;docs/ai/capture-evidence-index.md;docs/generated/capture_backed_npc_combat_active_coverage.json;docs/generated/capture_backed_npc_combat_inventory.json;docs/generated/capture_backed_npc_secondary_evidence_audit.json,3,docs/generated/capture_backed_npc_combat_active_coverage.json;docs/generated/capture_backed_npc_combat_inventory.json;docs/generated/capture_backed_npc_secondary_evidence_audit.json,capture-session.json;events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260610-233143,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260610-233143,251eddb2805fe7734d551145a53c3b5bdfc1db03e830ae159e5e9fe3e628e1fa,ELSEWHERE,confirmed,,,4531;1042447;1042454,4531,,Youwillnuke,,packets.hex.log,689174,0,2746,0,0,,,5,docs/ai/capture-evidence-index.csv;docs/ai/capture-evidence-index.md;docs/generated/capture_backed_npc_combat_active_coverage.json;docs/generated/capture_backed_npc_combat_inventory.json;docs/generated/capture_backed_npc_secondary_evidence_audit.json,3,docs/generated/capture_backed_npc_combat_active_coverage.json;docs/generated/capture_backed_npc_combat_inventory.json;docs/generated/capture_backed_npc_secondary_evidence_audit.json,capture-session.json;events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260611-005202,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260611-005202,7dd02048d4ecb43f7ec0ac8f0ee858f0b61d211b1dda10f8f857e631b8224a4c,ELSEWHERE,confirmed,,,705;800;4531;4532;4533;477929;917521;970752;1030147;1038338;1038340;1042464,705;800;4531;4532;4533,,Youwillnuke,,packets.hex.log,2507345,0,9136,0,0,,,5,docs/ai/capture-evidence-index.csv;docs/ai/capture-evidence-index.md;docs/generated/capture_backed_npc_combat_active_coverage.json;docs/generated/capture_backed_npc_combat_inventory.json;docs/generated/capture_backed_npc_secondary_evidence_audit.json,3,docs/generated/capture_backed_npc_combat_active_coverage.json;docs/generated/capture_backed_npc_combat_inventory.json;docs/generated/capture_backed_npc_secondary_evidence_audit.json,capture-session.json;events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260611-015456,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260611-015456,a85cf3babb4762e92e93eee44934f96661c2e81a13ac228f3fc603926dfbe712,ELSEWHERE,confirmed,,,566;655;800;4530;4532;1030147,566;655;800;4530;4532,,Youwillnuke,,packets.hex.log,3234013,0,19636,0,0,,,5,docs/ai/capture-evidence-index.csv;docs/ai/capture-evidence-index.md;docs/generated/capture_backed_npc_combat_active_coverage.json;docs/generated/capture_backed_npc_combat_inventory.json;docs/generated/capture_backed_npc_secondary_evidence_audit.json,3,docs/generated/capture_backed_npc_combat_active_coverage.json;docs/generated/capture_backed_npc_combat_inventory.json;docs/generated/capture_backed_npc_secondary_evidence_audit.json,capture-session.json;events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260611-024905,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260611-024905,,ELSEWHERE,confirmed,,,4532,,,Youwillnuke,,packets.hex.log,31562,0,134,0,0,,,0,,0,,capture-session.json;events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260611-031405,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260611-031405,245811a70f8d22e6510c8ee4801156e1e79ef2cc0898642f95df1be60e21036e,ELSEWHERE,confirmed,,,710,710,,Youwillnuke,,packets.hex.log,82230,0,364,0,0,,,5,docs/ai/capture-evidence-index.csv;docs/ai/capture-evidence-index.md;docs/generated/capture_backed_npc_combat_active_coverage.json;docs/generated/capture_backed_npc_combat_inventory.json;docs/generated/capture_backed_npc_secondary_evidence_audit.json,3,docs/generated/capture_backed_npc_combat_active_coverage.json;docs/generated/capture_backed_npc_combat_inventory.json;docs/generated/capture_backed_npc_secondary_evidence_audit.json,capture-session.json;events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260612-003817,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260612-003817,,ELSEWHERE,confirmed,,,710,710,,Youwillnuke,,packets.hex.log,72090,0,324,0,0,,,0,,0,,capture-session.json;events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260612-012644,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260612-012644,,ELSEWHERE,confirmed,,,710;1042487,710,,Youwillnuke,,packets.hex.log,2217991,0,9422,0,0,,,2,docs/CurrentClientDataVerification.md;docs/project/PROJECT_STATE.md,0,,capture-session.json;events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260612-040856,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260612-040856,,ELSEWHERE,confirmed,,,710;1038349,710,,Youwillnuke,,packets.hex.log,306796,0,1196,0,0,,,0,,0,,capture-session.json;events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260612-044234,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260612-044234,,ELSEWHERE,confirmed,,,710;1042463,710,,Youwillnuke,,packets.hex.log,14522416,0,62314,0,0,,,2,docs/CurrentClientDataVerification.md;docs/project/PROJECT_STATE.md,0,,capture-session.json;events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260612-222450,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260612-222450,,ELSEWHERE,confirmed,,,540;640;655;710;1042451,540;640;655;710,,Youwillnuke,,packets.hex.log,960572,0,3552,0,0,,,0,,0,,capture-session.json;events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260612-225451,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260612-225451,,ELSEWHERE,confirmed,,,540;655;4530;544770;946191;1042481,540;655;4530,,Masterchinny,,packets.hex.log,1159922,0,3698,0,0,,,0,,0,,capture-session.json;events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260612-225855,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260612-225855,,ELSEWHERE,confirmed,,,540;1038340,540,,Masterchinny,,packets.hex.log,1010383,0,3822,0,0,,,1,docs/project/PROJECT_STATE.md,0,,capture-session.json;events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260612-232439,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260612-232439,,ELSEWHERE,confirmed,,,540;1042444,540,,Masterchinny,,packets.hex.log,843936,0,2674,0,0,,,1,docs/project/PROJECT_STATE.md,0,,capture-session.json;events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260613-002705,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260613-002705,,ELSEWHERE,confirmed,,,4531;1042463,4531,,,,packets.hex.log,79514,0,212,0,0,,,0,,0,,capture-session.json;events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260613-002828,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260613-002828,,ELSEWHERE,confirmed,,,655;710;4531;1038340;1042467,655;710,,Youwillmezz,,packets.hex.log,1118899,0,3626,0,0,,,1,docs/project/PROJECT_STATE.md,0,,capture-session.json;events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260613-005616,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260613-005616,,ELSEWHERE,confirmed,,,710;974860;1038340,710,,Youwillmezz,,packets.hex.log,574362,0,1760,0,0,,,1,docs/project/PROJECT_STATE.md,0,,capture-session.json;events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
20260613-012810,tools-temp/AOSharpLiveCapture/bin/Debug/captures/20260613-012810,,ELSEWHERE,confirmed,,,566;655;710;974860;1021955,566;655;710,,Youwillmezz,,packets.hex.log,783948,0,2382,0,0,,,1,docs/project/PROJECT_STATE.md,0,,capture-session.json;events.log;packets.hex.log,Explicit playfield evidence is present without a PF127 signal.
