"CaptureId","SourceCapture","TerminalIdentity","TemplateId","TerminalFamily","PlayfieldId","PositionX","PositionY","PositionZ","Slot","LowId","HighId","Quality","LowName","HighName","ResolvedName","NameStatus"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A074)","99554","Miiir Headwear","1042439","158.999985","5.01022863","198.998566","10","41002","41002","1","Hood with a Leopard Print","Hood with a Leopard Print","Hood with a Leopard Print","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A074)","99554","Miiir Headwear","1042439","158.999985","5.01022863","198.998566","11","41205","41205","1","Hood with a Rainbow Leopard Print","Hood with a Rainbow Leopard Print","Hood with a Rainbow Leopard Print","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A074)","99554","Miiir Headwear","1042439","158.999985","5.01022863","198.998566","12","40995","40995","1","Hood with a Waterlily Print","Hood with a Waterlily Print","Hood with a Waterlily Print","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A074)","99554","Miiir Headwear","1042439","158.999985","5.01022863","198.998566","13","41001","41001","1","Hood with a White Leopard Print","Hood with a White Leopard Print","Hood with a White Leopard Print","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A074)","99554","Miiir Headwear","1042439","158.999985","5.01022863","198.998566","14","40998","40998","1","Hood with a Zebra Print","Hood with a Zebra Print","Hood with a Zebra Print","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A074)","99554","Miiir Headwear","1042439","158.999985","5.01022863","198.998566","15","86438","86438","1","Katara Sunglasses","Katara Sunglasses","Katara Sunglasses","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A074)","99554","Miiir Headwear","1042439","158.999985","5.01022863","198.998566","16","86441","86441","1","Keelarr Sunglasses","Keelarr Sunglasses","Keelarr Sunglasses","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A074)","99554","Miiir Headwear","1042439","158.999985","5.01022863","198.998566","17","82915","82915","1","Lava Trenchcoat Hood","Lava Trenchcoat Hood","Lava Trenchcoat Hood","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A074)","99554","Miiir Headwear","1042439","158.999985","5.01022863","198.998566","18","82916","82916","1","Nanofreak Trenchcoat Hood","Nanofreak Trenchcoat Hood","Nanofreak Trenchcoat Hood","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A074)","99554","Miiir Headwear","1042439","158.999985","5.01022863","198.998566","19","31528","31528","1","Red Cloak Hood","Red Cloak Hood","Red Cloak Hood","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A074)","99554","Miiir Headwear","1042439","158.999985","5.01022863","198.998566","20","82917","82917","1","Sabretooth Trenchcoat Hood","Sabretooth Trenchcoat Hood","Sabretooth Trenchcoat Hood","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A074)","99554","Miiir Headwear","1042439","158.999985","5.01022863","198.998566","21","86443","86443","1","Visor","Visor","Visor","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A074)","99554","Miiir Headwear","1042439","158.999985","5.01022863","198.998566","22","40997","40997","1","White Hood","White Hood","White Hood","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A074)","99554","Miiir Headwear","1042439","158.999985","5.01022863","198.998566","23","82918","82918","1","White Trenchcoat Hood","White Trenchcoat Hood","White Trenchcoat Hood","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","0","27377","27377","1","Black Boots","Black Boots","Black Boots","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","1","41051","41051","1","Black Leather Boots","Black Leather Boots","Black Leather Boots","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","2","31512","31512","1","Black Pumps","Black Pumps","Black Pumps","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","3","31246","31246","1","Blue Boots","Blue Boots","Blue Boots","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","4","42318","42318","1","Blue Fret Boots","Blue Fret Boots","Blue Fret Boots","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","5","42315","42315","1","Blue Fret Thigh High Boots","Blue Fret Thigh High Boots","Blue Fret Thigh High Boots","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","6","253791","253791","1","Blue Lightning Boots","Blue Lightning Boots","Blue Lightning Boots","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","7","253755","253755","1","Blue Tulips Boots","Blue Tulips Boots","Blue Tulips Boots","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","8","41047","41047","1","Boots with a Blue Leopard Print","Boots with a Blue Leopard Print","Boots with a Blue Leopard Print","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","9","41040","41040","1","Boots with a Blue Zebra Print","Boots with a Blue Zebra Print","Boots with a Blue Zebra Print","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","10","41043","41043","1","Boots with a Grey Waterlily Print","Boots with a Grey Waterlily Print","Boots with a Grey Waterlily Print","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","11","41048","41048","1","Boots with a Leopard Print","Boots with a Leopard Print","Boots with a Leopard Print","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","12","41046","41046","1","Boots with a Rainbow Leopard Print","Boots with a Rainbow Leopard Print","Boots with a Rainbow Leopard Print","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","13","42329","42329","1","Boots with a Stars Print","Boots with a Stars Print","Boots with a Stars Print","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","14","41042","41042","1","Boots with a Waterlily Print","Boots with a Waterlily Print","Boots with a Waterlily Print","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","15","41044","41044","1","Boots with a White Leopard Print","Boots with a White Leopard Print","Boots with a White Leopard Print","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","16","41041","41041","1","Boots with a Zebra Print","Boots with a Zebra Print","Boots with a Zebra Print","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","17","253760","253760","1","Bougainvillea Boots","Bougainvillea Boots","Bougainvillea Boots","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","18","253792","253792","1","Carnation Boots","Carnation Boots","Carnation Boots","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","19","253764","253764","1","Cream Rose Boots","Cream Rose Boots","Cream Rose Boots","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","20","253756","253756","1","Daisy Boots","Daisy Boots","Daisy Boots","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","21","253804","253804","1","Enteromorpha Boots","Enteromorpha Boots","Enteromorpha Boots","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","22","253779","253779","1","Floral Delight Boots","Floral Delight Boots","Floral Delight Boots","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","23","253796","253796","1","Flower Power Boots","Flower Power Boots","Flower Power Boots","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","24","253784","253784","1","Frosty Leaves Boots","Frosty Leaves Boots","Frosty Leaves Boots","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","25","42327","42327","1","Grey Leaves Shoes","Grey Leaves Shoes","Grey Leaves Shoes","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","26","82107","82107","1","Hot Boots","Hot Boots","Hot Boots","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","27","253744","253744","1","Hothouse Boots","Hothouse Boots","Hothouse Boots","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","28","253811","253811","1","Iris Boots","Iris Boots","Iris Boots","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","29","42328","42328","1","Leaves Shoes","Leaves Shoes","Leaves Shoes","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","30","41038","41038","1","Low Black Shoes","Low Black Shoes","Low Black Shoes","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","31","41050","41050","1","Miiir","Miiir","Miiir","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","32","41049","41049","1","Miiir","Miiir","Miiir","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","33","82096","82096","1","Miiir Suit Boots","Miiir Suit Boots","Miiir Suit Boots","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","34","253775","253775","1","Oscura Boots","Oscura Boots","Oscura Boots","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","35","253740","253740","1","Oscuro Boots","Oscuro Boots","Oscuro Boots","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","36","31245","31245","1","Pink Boots","Pink Boots","Pink Boots","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","37","120566","120566","1","Plastic Boots","Plastic Boots","Plastic Boots","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","38","120570","120570","1","Psychedelic Boots","Psychedelic Boots","Psychedelic Boots","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","39","42316","42316","1","Red Fret Boots","Red Fret Boots","Red Fret Boots","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","40","42313","42313","1","Red Fret Thigh High Boots","Red Fret Thigh High Boots","Red Fret Thigh High Boots","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","41","42314","42314","1","Red Twil Boots","Red Twil Boots","Red Twil Boots","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","42","42312","42312","1","Red Twil Thigh High Boots","Red Twil Thigh High Boots","Red Twil Thigh High Boots","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","43","253803","253803","1","Rose Boots","Rose Boots","Rose Boots","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","44","41045","41045","1","Rubber Catsuit Boots","Rubber Catsuit Boots","Rubber Catsuit Boots","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","45","82100","82100","1","Rustic Boots","Rustic Boots","Rustic Boots","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","46","42356","42356","1","Silver Boots","Silver Boots","Silver Boots","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","47","82103","82103","1","Split Velvet Boots","Split Velvet Boots","Split Velvet Boots","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","48","253783","253783","1","Spring Field Boots","Spring Field Boots","Spring Field Boots","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","49","253748","253748","1","Tulips Boots","Tulips Boots","Tulips Boots","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","50","82913","82913","1","Uniform Boots","Uniform Boots","Uniform Boots","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","51","253768","253768","1","Vulcana Boots","Vulcana Boots","Vulcana Boots","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","52","41039","41039","1","White Boots","White Boots","White Boots","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","53","31511","31511","1","White Pumps","White Pumps","White Pumps","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","54","264863","264863","1","Yellow Boots","Yellow Boots","Yellow Boots","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","55","42317","42317","1","Yellow Fret Boots","Yellow Fret Boots","Yellow Fret Boots","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A075)","99544","Miiir Footwear","1042439","143.000671","5.01102734","198.99852","56","42336","42336","1","Yellow Fret Thigh High Boots","Yellow Fret Thigh High Boots","Yellow Fret Thigh High Boots","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A076)","99546","Miiir Handwear","1042439","142.999832","5.0100255","195.357925","0","118182","118182","1","Black Gloves","Black Gloves","Black Gloves","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A076)","99546","Miiir Handwear","1042439","142.999832","5.0100255","195.357925","1","41037","41037","1","Gloves with a Blue Leopard Print","Gloves with a Blue Leopard Print","Gloves with a Blue Leopard Print","resolved-low-high"
"20260610-185759","C:\Users\Mike\Documents\Cellao-Clean\tools-temp\AOSharpLiveCapture\bin\Debug\captures\20260610-185759","(VendingMachine:12E3A076)","99546","Miiir Handwear","1042439","142.999832","5.0100255","195.357925","2","41031","41031","1","Gloves with a Blue Zebra Print","Gloves with a Blue Zebra Print","Gloves with a Blue Zebra Print","resolved-low-high"
