CapturedUtc,Direction,Sequence,InventoryIdentity,Handle,Slot,Placement,Flags,Count,ItemIdentity,LowId,HighId,Quality,Unknown
"2026-06-22T16:40:58.3120504Z","IN-N3",7731,"(Corpse:F6C001)",185,0,0,161,1,"(None:0000)",70563,85558,2,0
"2026-06-22T16:41:25.8305390Z","IN-N3",8084,"(Corpse:F6C00E)",188,0,0,161,1,"(None:0000)",42640,42641,2,0
"2026-06-22T16:41:30.5911253Z","IN-N3",8129,"(Corpse:F6C00F)",189,0,0,161,1,"(None:0000)",85740,85739,2,0
"2026-06-22T16:41:41.7206825Z","IN-N3",8279,"(Corpse:F6C002)",190,0,0,161,1,"(None:0000)",85510,85509,2,0
"2026-06-22T16:41:59.4623548Z","IN-N3",8495,"(Corpse:F6C011)",192,0,0,161,1,"(None:0000)",25832,25827,2,0
"2026-06-22T16:42:11.7919821Z","IN-N3",8604,"(Corpse:F6C004)",195,0,0,161,1,"(None:0000)",70564,85515,2,0
"2026-06-22T16:50:12.6206583Z","IN-N3",10394,"(Corpse:F6C002)",196,0,0,33,1,"(None:0000)",204993,204994,4,0
"2026-06-22T16:50:12.6206583Z","IN-N3",10394,"(Corpse:F6C002)",196,1,1,33,1,"(None:0000)",85684,85683,4,0
"2026-06-22T16:50:12.6206583Z","IN-N3",10394,"(Corpse:F6C002)",196,2,2,33,1,"(None:0000)",85572,22219,4,0
"2026-06-22T16:50:12.6206583Z","IN-N3",10394,"(Corpse:F6C002)",196,3,3,33,1,"(None:0000)",124276,124277,4,0
"2026-06-22T16:50:12.6206583Z","IN-N3",10394,"(Corpse:F6C002)",196,4,4,33,1,"(None:0000)",154070,150196,4,0
"2026-06-22T16:50:12.6206583Z","IN-N3",10394,"(Corpse:F6C002)",196,5,5,33,1,"(None:0000)",160776,160777,4,0
"2026-06-22T16:50:12.6206583Z","IN-N3",10394,"(Corpse:F6C002)",196,6,6,33,1,"(None:0000)",162715,162715,7,0
"2026-06-22T16:51:32.7280093Z","IN-N3",11426,"(Corpse:F6C00C)",203,0,0,161,1,"(None:0000)",85714,85713,2,0
"2026-06-22T16:51:34.1895516Z","IN-N3",11435,"(Corpse:F6C006)",204,0,0,161,1,"(None:0000)",42640,42641,2,0
"2026-06-22T16:51:35.2789715Z","IN-N3",11439,"(Corpse:F6C007)",205,0,0,161,1,"(None:0000)",42640,42641,2,0
"2026-06-22T16:51:37.6998071Z","IN-N3",11451,"(Corpse:F6C00A)",206,0,0,161,1,"(None:0000)",209491,209491,1,0
"2026-06-22T16:51:37.6998071Z","IN-N3",11451,"(Corpse:F6C00A)",206,1,1,161,1,"(None:0000)",42640,42641,2,0
"2026-06-22T16:52:04.8700540Z","IN-N3",11798,"(Corpse:F6C00F)",210,0,0,161,1,"(None:0000)",209491,209491,1,0
"2026-06-22T16:52:36.2713110Z","IN-N3",12182,"(Corpse:F6C00D)",211,0,0,161,1,"(None:0000)",123886,123886,1,0
"2026-06-22T16:52:37.3211592Z","IN-N3",12189,"(Corpse:F6C00E)",212,0,0,161,1,"(None:0000)",25828,25828,1,0
"2026-06-22T16:52:39.6600659Z","IN-N3",12199,"(Corpse:F6C013)",213,0,0,161,1,"(None:0000)",209491,209491,1,0
"2026-06-22T16:52:41.4498557Z","IN-N3",12209,"(Corpse:F6C017)",215,0,0,161,1,"(None:0000)",209491,209491,1,0
"2026-06-22T16:52:44.8903217Z","IN-N3",12239,"(Corpse:F6C010)",216,0,0,161,1,"(None:0000)",42640,42640,1,0
"2026-06-22T16:53:04.9208794Z","IN-N3",12585,"(Corpse:F6C018)",218,0,0,161,1,"(None:0000)",209491,209491,1,0
"2026-06-22T16:53:08.4506956Z","IN-N3",12621,"(Corpse:F6C019)",221,0,0,161,1,"(None:0000)",209491,209491,1,0
"2026-06-22T16:53:32.4619638Z","IN-N3",12928,"(Corpse:F6C01C)",225,0,0,161,1,"(None:0000)",101447,101448,2,0
"2026-06-22T16:53:42.0310741Z","IN-N3",13052,"(Corpse:F6C003)",226,0,0,161,1,"(None:0000)",42640,42641,2,0
