"Dll","Category","Symbol","Undecorated"
"AFCM.dll","AOClient","?Receive@AFCM@@QAEXPAPBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z","public: void __thiscall AFCM::Receive(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const * *)"
"AFCM.dll","AOClient","?RegisterClear@AFCM@@QAEXXZ","public: void __thiscall AFCM::RegisterClear(void)"
"AFCM.dll","AOClient","?RegisterMessageModule@AFCM@@QAEXHH@Z","public: void __thiscall AFCM::RegisterMessageModule(int,int)"
"AFCM.dll","AOClient","?RegisterMessageModule@AFCM@@QAEXHHH@Z","public: void __thiscall AFCM::RegisterMessageModule(int,int,int)"
"AFCM.dll","AOClient","?RegisterMessageModule@AFCM@@QAEXHHP6AXXZH@Z","public: void __thiscall AFCM::RegisterMessageModule(int,int,void (__cdecl*)(void),int)"
"AFCM.dll","AOClient","?RegisterMessageModuleFramePreProcessor@AFCM@@QAEXHHP6AXXZ@Z","public: void __thiscall AFCM::RegisterMessageModuleFramePreProcessor(int,int,void (__cdecl*)(void))"
"AFCM.dll","AOClient","?RegisterMessageModuleFramePreProcessor@AFCM@@QAEXP6AXXZ@Z","public: void __thiscall AFCM::RegisterMessageModuleFramePreProcessor(void (__cdecl*)(void))"
"AFCM.dll","AOClient","?RegisterMessageModuleFrameProcessor@AFCM@@QAEXHHP6AXXZ@Z","public: void __thiscall AFCM::RegisterMessageModuleFrameProcessor(int,int,void (__cdecl*)(void))"
"AFCM.dll","AOClient","?RegisterMessageModuleFrameProcessor@AFCM@@QAEXP6AXXZ@Z","public: void __thiscall AFCM::RegisterMessageModuleFrameProcessor(void (__cdecl*)(void))"
"AFCM.dll","AOClient","?RegisterMessageProcessor@AFCM@@QAEXHHHP6AXXZ@Z","public: void __thiscall AFCM::RegisterMessageProcessor(int,int,int,void (__cdecl*)(void))"
"AFCM.dll","AOClient","?RegisterMessageProcessor@AFCM@@QAEXHP6AXXZ@Z","public: void __thiscall AFCM::RegisterMessageProcessor(int,void (__cdecl*)(void))"
"AFCM.dll","AOClient","?Remove2ndProgram@AFCM@@QAEXH@Z","public: void __thiscall AFCM::Remove2ndProgram(int)"
"AFCM.dll","AOClient","?RemoveAllPrograms@AFCM@@QAEXXZ","public: void __thiscall AFCM::RemoveAllPrograms(void)"
"AFCM.dll","AOClient","?RemoveAllProgramsNow@AFCM@@QAEXXZ","public: void __thiscall AFCM::RemoveAllProgramsNow(void)"
"AFCM.dll","AOClient","?RemoveAllSimplePrograms@ExecutionList_t@@QAEXXZ","public: void __thiscall ExecutionList_t::RemoveAllSimplePrograms(void)"
"AFCM.dll","AOClient","?RemoveAndDeleteAll@ExecutionList_t@@QAEXXZ","public: void __thiscall ExecutionList_t::RemoveAndDeleteAll(void)"
"AFCM.dll","AOClient","?RemoveProgram@AFCM@@QAEXH@Z","public: void __thiscall AFCM::RemoveProgram(int)"
"AFCM.dll","AOClient","?RemoveSimpleProgram@ExecutionList_t@@QAEXPAVSimpleProgram_t@@@Z","public: void __thiscall ExecutionList_t::RemoveSimpleProgram(class SimpleProgram_t *)"
"AFCM.dll","AOClient","?ReverseExecutionList@ExecutionList_t@@QAEXXZ","public: void __thiscall ExecutionList_t::ReverseExecutionList(void)"
"AFCM.dll","AOClient","?s_pcInstance@GlobalSignals_c@@0PAV1@A","private: static class GlobalSignals_c * GlobalSignals_c::s_pcInstance"
"AFCM.dll","AOClient","?s_psEmitGuard@SignalBase_c@@1PAUEmitGuard_s@1@A","protected: static struct SignalBase_c::EmitGuard_s * SignalBase_c::s_psEmitGuard"
"AFCM.dll","AOClient","?Send@AFCM@@QAEXHH@Z","public: void __thiscall AFCM::Send(int,int)"
"AFCM.dll","AOClient","?Send@AFCM@@QAEXHHABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z","public: void __thiscall AFCM::Send(int,int,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &)"
"AFCM.dll","AOClient","?Send@AFCM@@QAEXHHABVIdentity_t@@@Z","public: void __thiscall AFCM::Send(int,int,class Identity_t const &)"
"AFCM.dll","AOClient","?Send@AFCM@@QAEXHHABVIdentity_t@@0@Z","public: void __thiscall AFCM::Send(int,int,class Identity_t const &,class Identity_t const &)"
"AFCM.dll","AOClient","?Send@AFCM@@QAEXHHABVIdentity_t@@00@Z","public: void __thiscall AFCM::Send(int,int,class Identity_t const &,class Identity_t const &,class Identity_t const &)"
