"Program","EntryPoint","Name","Namespace","Signature","SourceType"
"Gamecode.dll","10028433","N3Msg_ContainerAddItem","n3EngineClientAnarchy_t","void __thiscall N3Msg_ContainerAddItem(Identity_t * param_1, Identity_t * param_2)","ANALYSIS"
"Gamecode.dll","100213ec","N3Msg_ConvertSpellList","n3EngineClientAnarchy_t","void __thiscall N3Msg_ConvertSpellList(basic_ostream<char,std::char_traits<char>_> * param_1, DummyItemBase_t * param_2, SpellList_e param_3, bool param_4)","ANALYSIS"
"Gamecode.dll","10027a45","N3Msg_CrawlToggle","n3EngineClientAnarchy_t","void __thiscall N3Msg_CrawlToggle(void)","ANALYSIS"
"Gamecode.dll","10016689","N3Msg_CreateDummyItemID","n3EngineClientAnarchy_t","bool __thiscall N3Msg_CreateDummyItemID(Identity_t * param_1, ACGItem_t * param_2)","ANALYSIS"
"Gamecode.dll","1001856a","N3Msg_CreateRaid","n3EngineClientAnarchy_t","void __thiscall N3Msg_CreateRaid(void)","ANALYSIS"
"Gamecode.dll","10020bf0","N3Msg_CriteriaListToString","n3EngineClientAnarchy_t","basic_string<char,std::char_traits<char>,std::allocator<char>_> __thiscall N3Msg_CriteriaListToString(vector<GameData::Criterion_t,std::allocator<GameData::Criterion_t>_> param_1)","ANALYSIS"
"Gamecode.dll","10020e5e","N3Msg_DebugCriteriaToChat","n3EngineClientAnarchy_t","void __thiscall N3Msg_DebugCriteriaToChat(int param_1, Identity_t * param_2, Action_e param_3)","ANALYSIS"
"Gamecode.dll","10020f9d","N3Msg_DebugSpellListToChat","n3EngineClientAnarchy_t","void __thiscall N3Msg_DebugSpellListToChat(int param_1, Identity_t * param_2, SpellList_e param_3)","ANALYSIS"
"Gamecode.dll","1002939b","N3Msg_DefaultActionOnDynel","n3EngineClientAnarchy_t","void __thiscall N3Msg_DefaultActionOnDynel(Identity_t * param_1)","ANALYSIS"
"Gamecode.dll","10028147","N3Msg_DefaultAttack","n3EngineClientAnarchy_t","void __thiscall N3Msg_DefaultAttack(Identity_t * param_1, bool param_2)","ANALYSIS"
"Gamecode.dll","1001c864","N3Msg_DeleteItem","n3EngineClientAnarchy_t","void __thiscall N3Msg_DeleteItem(Identity_t * param_1, Identity_t * param_2)","ANALYSIS"
"Gamecode.dll","100239b8","N3Msg_DeleteMail","n3EngineClientAnarchy_t","void __thiscall N3Msg_DeleteMail(__uint64 param_1)","ANALYSIS"
"Gamecode.dll","1001b6db","N3Msg_DeleteNano","n3EngineClientAnarchy_t","void __thiscall N3Msg_DeleteNano(Identity_t * param_1)","ANALYSIS"
"Gamecode.dll","10026b4f","N3Msg_DoSocialAction","n3EngineClientAnarchy_t","void __thiscall N3Msg_DoSocialAction(AbstractAnimID_e param_1)","ANALYSIS"
"Gamecode.dll","10027e1f","N3Msg_DropItem","n3EngineClientAnarchy_t","void __thiscall N3Msg_DropItem(Identity_t * param_1, Vector3_t * param_2)","ANALYSIS"
"Gamecode.dll","1001d3d2","N3Msg_Duel_Accept","n3EngineClientAnarchy_t","void __thiscall N3Msg_Duel_Accept(void)","ANALYSIS"
"Gamecode.dll","1001d335","N3Msg_Duel_Challenge","n3EngineClientAnarchy_t","void __thiscall N3Msg_Duel_Challenge(Identity_t * param_1)","ANALYSIS"
"Gamecode.dll","1001d6bd","N3Msg_Duel_Draw","n3EngineClientAnarchy_t","void __thiscall N3Msg_Duel_Draw(void)","ANALYSIS"
"Gamecode.dll","1001d4f0","N3Msg_Duel_Refuse","n3EngineClientAnarchy_t","void __thiscall N3Msg_Duel_Refuse(void)","ANALYSIS"
"Gamecode.dll","1001d60e","N3Msg_Duel_Stop","n3EngineClientAnarchy_t","void __thiscall N3Msg_Duel_Stop(void)","ANALYSIS"
"Gamecode.dll","100166bd","N3Msg_EnableGFX","n3EngineClientAnarchy_t","void __thiscall N3Msg_EnableGFX(int param_1, bool param_2)","ANALYSIS"
"Gamecode.dll","100195ff","N3Msg_EndCameraMouseLook","n3EngineClientAnarchy_t","void __thiscall N3Msg_EndCameraMouseLook(void)","ANALYSIS"
"Gamecode.dll","10019aa0","N3Msg_EndMouseMovement","n3EngineClientAnarchy_t","void __thiscall N3Msg_EndMouseMovement(void)","ANALYSIS"
"Gamecode.dll","1001cc3d","N3Msg_EventFeedback","n3EngineClientAnarchy_t","bool __thiscall N3Msg_EventFeedback(Event_e param_1, Identity_t * param_2, Identity_t * param_3)","ANALYSIS"
"Gamecode.dll","100169f5","N3Msg_FlashHead","n3EngineClientAnarchy_t","void __thiscall N3Msg_FlashHead(Identity_t * param_1)","ANALYSIS"
"Gamecode.dll","100299a4","N3Msg_Forage","n3EngineClientAnarchy_t","void __thiscall N3Msg_Forage(void)","ANALYSIS"
"Gamecode.dll","100203d7","N3Msg_FormatModifierString","n3EngineClientAnarchy_t","basic_string<char,std::char_traits<char>,std::allocator<char>_> __thiscall N3Msg_FormatModifierString(basic_string<char,struct_std::char_traits<char>,class_std::allocator<char>_> param_1, basic_string<char,struct_std::char_traits<char>,class_std::allocator<char>_> param_2, basic_string<char,struct_std::char_traits<char>,class_std::allocator<char>_> param_3, basic_string<char,struct_std::char_traits<char>,class_std::allocator<char>_> param_4, bool param_5)","ANALYSIS"
"Gamecode.dll","10016276","N3Msg_GenerateMissions","n3EngineClientAnarchy_t","void __thiscall N3Msg_GenerateMissions(MissionGenerateInfo_t * param_1)","ANALYSIS"
"Gamecode.dll","10026b3f","N3Msg_GetActionByName","n3EngineClientAnarchy_t","AbstractAnimID_e __thiscall N3Msg_GetActionByName(char * param_1)","ANALYSIS"
"Gamecode.dll","10027773","N3Msg_GetActionProgress","n3EngineClientAnarchy_t","float __thiscall N3Msg_GetActionProgress(Identity_t * param_1, int * param_2, int * param_3)","ANALYSIS"
"Gamecode.dll","10026dab","N3Msg_GetAggDef","n3EngineClientAnarchy_t","int __thiscall N3Msg_GetAggDef(void)","ANALYSIS"
"Gamecode.dll","10016d9b","N3Msg_GetAlienLevelString","n3EngineClientAnarchy_t","char * __thiscall N3Msg_GetAlienLevelString(Identity_t * param_1)","ANALYSIS"
"Gamecode.dll","10017a2f","N3Msg_GetAreaName","n3EngineClientAnarchy_t","void __thiscall N3Msg_GetAreaName(char * * param_1)","ANALYSIS"
"Gamecode.dll","10026ae0","N3Msg_GetAttackingID","n3EngineClientAnarchy_t","bool __thiscall N3Msg_GetAttackingID(Identity_t * param_1)","ANALYSIS"
"Gamecode.dll","10016082","N3Msg_GetBreedStr","n3EngineClientAnarchy_t","char * __thiscall N3Msg_GetBreedStr(Identity_t * param_1)","ANALYSIS"
"Gamecode.dll","10017899","N3Msg_GetBuffCurrentTime","n3EngineClientAnarchy_t","int __thiscall N3Msg_GetBuffCurrentTime(Identity_t * param_1, Identity_t * param_2)","ANALYSIS"
"Gamecode.dll","1001783c","N3Msg_GetBuffTotalTime","n3EngineClientAnarchy_t","int __thiscall N3Msg_GetBuffTotalTime(Identity_t * param_1, Identity_t * param_2)","ANALYSIS"
"Gamecode.dll","10018769","N3Msg_GetCharacterAttractorDataList","n3EngineClientAnarchy_t","bool __thiscall N3Msg_GetCharacterAttractorDataList(vector<AttractorMeshData_t,std::allocator<AttractorMeshData_t>_> * param_1, Identity_t param_2)","ANALYSIS"
"Gamecode.dll","100187b9","N3Msg_GetCharacterBodyShape","n3EngineClientAnarchy_t","bool __thiscall N3Msg_GetCharacterBodyShape(uchar * param_1, Identity_t param_2)","ANALYSIS"
"Gamecode.dll","10018726","N3Msg_GetCharacterVisibleClothes","n3EngineClientAnarchy_t","bool __thiscall N3Msg_GetCharacterVisibleClothes(vector<ClothData_t,std::allocator<ClothData_t>_> * param_1, Identity_t param_2)","ANALYSIS"
"Gamecode.dll","100190df","N3Msg_GetCharacterVisuals","n3EngineClientAnarchy_t","bool __thiscall N3Msg_GetCharacterVisuals(vector<ClothData_t,std::allocator<ClothData_t>_> * param_1, vector<AttractorMeshData_t,std::allocator<AttractorMeshData_t>_> * param_2, uchar * param_3, Identity_t param_4)","ANALYSIS"
"Gamecode.dll","1002704d","N3Msg_GetCharOrientationData","n3EngineClientAnarchy_t","bool __thiscall N3Msg_GetCharOrientationData(Identity_t * param_1, Vector3_t * param_2, Quaternion_t * param_3, float * param_4)","ANALYSIS"
"Gamecode.dll","10016dfc","N3Msg_GetCityNameForClanMember","n3EngineClientAnarchy_t","char * __thiscall N3Msg_GetCityNameForClanMember(Identity_t * param_1)","ANALYSIS"
"Gamecode.dll","10018eed","N3Msg_GetClanLevelString","n3EngineClientAnarchy_t","char * __thiscall N3Msg_GetClanLevelString(Identity_t * param_1)","ANALYSIS"
"Gamecode.dll","10016664","N3Msg_GetClanString","n3EngineClientAnarchy_t","basic_string<char,std::char_traits<char>,std::allocator<char>_> * __thiscall N3Msg_GetClanString(Identity_t * param_1)","ANALYSIS"
"Gamecode.dll","1001a94a","N3Msg_GetClientPetID","n3EngineClientAnarchy_t","Identity_t __thiscall N3Msg_GetClientPetID(int param_1)","ANALYSIS"
"Gamecode.dll","1001c49a","N3Msg_GetCloseTarget","n3EngineClientAnarchy_t","bool __thiscall N3Msg_GetCloseTarget(Identity_t * param_1, bool param_2, bool param_3)","ANALYSIS"
"Gamecode.dll","1002868e","N3Msg_GetCompletedGlobalResearchGoals","n3EngineClientAnarchy_t","void __thiscall N3Msg_GetCompletedGlobalResearchGoals(vector<unsigned_int,std::allocator<unsigned_int>_> * param_1)","ANALYSIS"
"Gamecode.dll","10029e98","N3Msg_GetCompletedPersonalResearchGoals","n3EngineClientAnarchy_t","void __thiscall N3Msg_GetCompletedPersonalResearchGoals(vector<unsigned_int,std::allocator<unsigned_int>_> * param_1)","ANALYSIS"
"Gamecode.dll","100175a6","N3Msg_GetContainerInventoryList","n3EngineClientAnarchy_t","list<InventoryEntry_t,std::allocator<InventoryEntry_t>_> * __thiscall N3Msg_GetContainerInventoryList(Identity_t * param_1)","ANALYSIS"
"Gamecode.dll","100274b8","N3Msg_GetCorrectActionID","n3EngineClientAnarchy_t","void __thiscall N3Msg_GetCorrectActionID(Identity_t * param_1)","ANALYSIS"
"Gamecode.dll","1002135d","N3Msg_GetCriteriaString","n3EngineClientAnarchy_t","basic_string<char,std::char_traits<char>,std::allocator<char>_> __thiscall N3Msg_GetCriteriaString(DummyItemBase_t * param_1, Action_e param_2)","ANALYSIS"
"Gamecode.dll","10015bf3","N3Msg_GetCurrentFightMode","n3EngineClientAnarchy_t","FightTypeAllowed_e __thiscall N3Msg_GetCurrentFightMode(Identity_t * param_1)","ANALYSIS"
"Gamecode.dll","1001639a","N3Msg_GetCurrentHour","n3EngineClientAnarchy_t","int __thiscall N3Msg_GetCurrentHour(void)","ANALYSIS"
"Gamecode.dll","100163a3","N3Msg_GetCurrentMinute","n3EngineClientAnarchy_t","int __thiscall N3Msg_GetCurrentMinute(void)","ANALYSIS"
"Gamecode.dll","10017dd4","N3Msg_GetCurrentRoom","n3EngineClientAnarchy_t","uint __thiscall N3Msg_GetCurrentRoom(void)","ANALYSIS"
"Gamecode.dll","10017a53","N3Msg_GetCurrentRoomName","n3EngineClientAnarchy_t","char * __thiscall N3Msg_GetCurrentRoomName(void)","ANALYSIS"
"Gamecode.dll","1001a9bc","N3Msg_GetDamageString","n3EngineClientAnarchy_t","char * __thiscall N3Msg_GetDamageString(Identity_t * param_1, Identity_t * param_2)","ANALYSIS"
"Gamecode.dll","100189ba","N3Msg_GetDesc","n3EngineClientAnarchy_t","char * __thiscall N3Msg_GetDesc(Identity_t * param_1, Identity_t * param_2)","ANALYSIS"
"Gamecode.dll","10017a15","N3Msg_GetDistrictFightMode","n3EngineClientAnarchy_t","FightTypeAllowed_e __thiscall N3Msg_GetDistrictFightMode(void)","ANALYSIS"
"Gamecode.dll","10018daf","N3Msg_GetDpsString","n3EngineClientAnarchy_t","char * __thiscall N3Msg_GetDpsString(Identity_t * param_1, Identity_t * param_2)","ANALYSIS"
"Gamecode.dll","1001e085","N3Msg_GetDynelsInVicinity","n3EngineClientAnarchy_t","void __thiscall N3Msg_GetDynelsInVicinity(vector<Identity_t,std::allocator<Identity_t>_> * param_1, bool param_2, bool param_3, TypeID_e param_4)","ANALYSIS"
"Gamecode.dll","1001af47","N3Msg_GetFactionInfoString","n3EngineClientAnarchy_t","bool __thiscall N3Msg_GetFactionInfoString(Identity_t * param_1, basic_string<char,std::char_traits<char>,std::allocator<char>_> * param_2)","ANALYSIS"
"Gamecode.dll","10016d4e","N3Msg_GetFactionRange","n3EngineClientAnarchy_t","bool __thiscall N3Msg_GetFactionRange(int param_1, int * param_2, int * param_3)","ANALYSIS"
"Gamecode.dll","10018940","N3Msg_GetFirstName","n3EngineClientAnarchy_t","char * __thiscall N3Msg_GetFirstName(Identity_t * param_1)","ANALYSIS"
"Gamecode.dll","10016796","N3Msg_GetFormulaProgress","n3EngineClientAnarchy_t","float __thiscall N3Msg_GetFormulaProgress(Identity_t * param_1, int * param_2, int * param_3)","ANALYSIS"
"Gamecode.dll","1001655a","N3Msg_GetFormularRadius","n3EngineClientAnarchy_t","int __thiscall N3Msg_GetFormularRadius(Identity_t * param_1)","ANALYSIS"
"Gamecode.dll","10027a3c","N3Msg_GetFullPerkMap","n3EngineClientAnarchy_t","vector<Perk_t,std::allocator<Perk_t>_> * __thiscall N3Msg_GetFullPerkMap(void)","ANALYSIS"
"Gamecode.dll","1001725e","N3Msg_GetGlobalCharacterPosition","n3EngineClientAnarchy_t","void __thiscall N3Msg_GetGlobalCharacterPosition(Vector3_t * param_1)","ANALYSIS"
"Gamecode.dll","10017231","N3Msg_GetGlobalCharacterRotation","n3EngineClientAnarchy_t","void __thiscall N3Msg_GetGlobalCharacterRotation(Quaternion_t * param_1)","ANALYSIS"
"Gamecode.dll","10016ce8","N3Msg_GetGridDestinationList","n3EngineClientAnarchy_t","GridDestinationList_t * __thiscall N3Msg_GetGridDestinationList(void)","ANALYSIS"
"Gamecode.dll","10016ca5","N3Msg_GetGridDestinationList","n3EngineClientAnarchy_t","GridDestinationList_t * __thiscall N3Msg_GetGridDestinationList(Identity_t * param_1)","ANALYSIS"
"Gamecode.dll","1001da73","N3Msg_GetInfo","n3EngineClientAnarchy_t","void __thiscall N3Msg_GetInfo(void)","ANALYSIS"
"Gamecode.dll","100273cb","N3Msg_GetInfoPacket","n3EngineClientAnarchy_t","InfoPacket_t * __thiscall N3Msg_GetInfoPacket(Identity_t * param_1)","ANALYSIS"
"Gamecode.dll","10027366","N3Msg_GetInfoPacketACGItemData","n3EngineClientAnarchy_t","ACGItem_t * __thiscall N3Msg_GetInfoPacketACGItemData(Identity_t * param_1, uint param_2)","ANALYSIS"
"Gamecode.dll","10027394","N3Msg_GetInfoPacketSideXpBonus","n3EngineClientAnarchy_t","int __thiscall N3Msg_GetInfoPacketSideXpBonus(Identity_t * param_1)","ANALYSIS"
"Gamecode.dll","10016c6c","N3Msg_GetInfoString","n3EngineClientAnarchy_t","basic_string<char,std::char_traits<char>,std::allocator<char>_> * __thiscall N3Msg_GetInfoString(Identity_t * param_1)","ANALYSIS"
"Gamecode.dll","10016b90","N3Msg_GetInterpolatedItem","n3EngineClientAnarchy_t","DummyItemBase_t * __thiscall N3Msg_GetInterpolatedItem(Identity_t * param_1, int param_2)","ANALYSIS"
"Gamecode.dll","10016b22","N3Msg_GetInventoryVec","n3EngineClientAnarchy_t","vector<NewInventoryEntry_t*,std::allocator<NewInventoryEntry_t*>_> * __thiscall N3Msg_GetInventoryVec(Identity_t * param_1)","ANALYSIS"
"Gamecode.dll","10027d76","N3Msg_GetItem","n3EngineClientAnarchy_t","void __thiscall N3Msg_GetItem(Identity_t * param_1)","ANALYSIS"
"Gamecode.dll","100167da","N3Msg_GetItemProgress","n3EngineClientAnarchy_t","float __thiscall N3Msg_GetItemProgress(Identity_t * param_1, int * param_2, int * param_3)","ANALYSIS"
"Gamecode.dll","1001b50a","N3Msg_GetItemRewardList","n3EngineClientAnarchy_t","list<GameData::ACGItem_t,std::allocator<GameData::ACGItem_t>_> * __thiscall N3Msg_GetItemRewardList(Identity_t * param_1)","ANALYSIS"
"Gamecode.dll","10016c1c","N3Msg_GetLandControlBitmap","n3EngineClientAnarchy_t","void * __thiscall N3Msg_GetLandControlBitmap(Identity_t * param_1, int * param_2, int * param_3)","ANALYSIS"
"Gamecode.dll","10016c5c","N3Msg_GetLandControlTowerList","n3EngineClientAnarchy_t","int __thiscall N3Msg_GetLandControlTowerList(vector<MapTowerInfo_c,std::allocator<MapTowerInfo_c>_> * param_1, int param_2)","ANALYSIS"
"Gamecode.dll","1001897d","N3Msg_GetLastName","n3EngineClientAnarchy_t","char * __thiscall N3Msg_GetLastName(Identity_t * param_1)","ANALYSIS"
"Gamecode.dll","100276e0","N3Msg_GetLastPerkResetTime","n3EngineClientAnarchy_t","int __thiscall N3Msg_GetLastPerkResetTime(void)","ANALYSIS"
"Gamecode.dll","1001cfe9","N3Msg_GetLCDistrictInfo","n3EngineClientAnarchy_t","basic_string<char,std::char_traits<char>,std::allocator<char>_> __thiscall N3Msg_GetLCDistrictInfo(int * param_1, int * param_2)","ANALYSIS"
"Gamecode.dll","1001a0a5","N3Msg_GetLocationString","n3EngineClientAnarchy_t","char * __thiscall N3Msg_GetLocationString(Identity_t * param_1, Identity_t * param_2)","ANALYSIS"
"Gamecode.dll","1001bfba","N3Msg_GetMapCharacters","n3EngineClientAnarchy_t","bool __thiscall N3Msg_GetMapCharacters(int param_1, list<MapCharacterEntry_t,std::allocator<MapCharacterEntry_t>_> * param_2, int * param_3)","ANALYSIS"
"Gamecode.dll","1001adc1","N3Msg_GetMapString","n3EngineClientAnarchy_t","bool __thiscall N3Msg_GetMapString(basic_string<char,std::char_traits<char>,std::allocator<char>_> * param_1)","ANALYSIS"
"Gamecode.dll","100163eb","N3Msg_GetMeshHeight","n3EngineClientAnarchy_t","float __thiscall N3Msg_GetMeshHeight(Identity_t * param_1)","ANALYSIS"
"Gamecode.dll","1002065e","N3Msg_GetMissionSelectionList","n3EngineClientAnarchy_t","vector<MissionData_t,std::allocator<MissionData_t>_> * __thiscall N3Msg_GetMissionSelectionList(void)","ANALYSIS"
"Gamecode.dll","10023876","N3Msg_GetModifierString","n3EngineClientAnarchy_t","basic_string<char,std::char_traits<char>,std::allocator<char>_> __thiscall N3Msg_GetModifierString(Identity_t * param_1, int param_2, Identity_t * param_3, bool param_4)","ANALYSIS"
"Gamecode.dll","100180d6","N3Msg_GetMovementMode","n3EngineClientAnarchy_t","int __thiscall N3Msg_GetMovementMode(void)","ANALYSIS"
"Gamecode.dll","10019b76","N3Msg_GetName","n3EngineClientAnarchy_t","char * __thiscall N3Msg_GetName(Identity_t * param_1, Identity_t * param_2)","ANALYSIS"
"Gamecode.dll","10026f53","N3Msg_GetNanoCostModifier","n3EngineClientAnarchy_t","int __thiscall N3Msg_GetNanoCostModifier(void)","ANALYSIS"
"Gamecode.dll","100174e7","N3Msg_GetNanoSpellList","n3EngineClientAnarchy_t","list<int,std::allocator<int>_> * __thiscall N3Msg_GetNanoSpellList(void)","ANALYSIS"
"Gamecode.dll","100182c7","N3Msg_GetNanoTemplateInfoList","n3EngineClientAnarchy_t","list<NanoTemplateInfo_c,std::allocator<NanoTemplateInfo_c>_> * __thiscall N3Msg_GetNanoTemplateInfoList(void)","ANALYSIS"
"Gamecode.dll","10016d66","N3Msg_GetNanoTemplateInfoList","n3EngineClientAnarchy_t","list<NanoTemplateInfo_c,std::allocator<NanoTemplateInfo_c>_> * __thiscall N3Msg_GetNanoTemplateInfoList(Identity_t * param_1)","ANALYSIS"
"Gamecode.dll","10016e53","N3Msg_GetNextTarget","n3EngineClientAnarchy_t","Identity_t __thiscall N3Msg_GetNextTarget(Identity_t * param_1)","ANALYSIS"
"Gamecode.dll","10027af6","N3Msg_GetNumberOfAvailableAlienPerks","n3EngineClientAnarchy_t","int __thiscall N3Msg_GetNumberOfAvailableAlienPerks(void)","ANALYSIS"
"Gamecode.dll","100276c5","N3Msg_GetNumberOfAvailablePerks","n3EngineClientAnarchy_t","int __thiscall N3Msg_GetNumberOfAvailablePerks(void)","ANALYSIS"
"Gamecode.dll","100274d9","N3Msg_GetNumberOfFreeInventorySlots","n3EngineClientAnarchy_t","int __thiscall N3Msg_GetNumberOfFreeInventorySlots(void)","ANALYSIS"
"Gamecode.dll","10027adb","N3Msg_GetNumberOfUsedAlienPerks","n3EngineClientAnarchy_t","int __thiscall N3Msg_GetNumberOfUsedAlienPerks(void)","ANALYSIS"
"Gamecode.dll","100276aa","N3Msg_GetNumberOfUsedPerks","n3EngineClientAnarchy_t","int __thiscall N3Msg_GetNumberOfUsedPerks(void)","ANALYSIS"
"Gamecode.dll","10017cc5","N3Msg_GetOverEquipLevel","n3EngineClientAnarchy_t","int __thiscall N3Msg_GetOverEquipLevel(Identity_t * param_1)","ANALYSIS"
"Gamecode.dll","1001643f","N3Msg_GetParent","n3EngineClientAnarchy_t","bool __thiscall N3Msg_GetParent(Identity_t * param_1, Identity_t * param_2)","ANALYSIS"
"Gamecode.dll","10029d14","N3Msg_GetPerkDescription","n3EngineClientAnarchy_t","basic_string<char,std::char_traits<char>,std::allocator<char>_> __thiscall N3Msg_GetPerkDescription(uint param_1)","ANALYSIS"
"Gamecode.dll","10027745","N3Msg_GetPerkItemStat","n3EngineClientAnarchy_t","int __thiscall N3Msg_GetPerkItemStat(uint param_1, Stat_e param_2)","ANALYSIS"
"Gamecode.dll","10026e85","N3Msg_GetPerkLine","n3EngineClientAnarchy_t","void __thiscall N3Msg_GetPerkLine(vector<unsigned_int,std::allocator<unsigned_int>_> * param_1, uint param_2)","ANALYSIS"
"Gamecode.dll","1002866e","N3Msg_GetPerkName","n3EngineClientAnarchy_t","basic_string<char,std::char_traits<char>,std::allocator<char>_> __thiscall N3Msg_GetPerkName(uint param_1, bool param_2)","ANALYSIS"
"Gamecode.dll","1002781f","N3Msg_GetPerkProgress","n3EngineClientAnarchy_t","float __thiscall N3Msg_GetPerkProgress(uint param_1)","ANALYSIS"
"Gamecode.dll","10017d52","N3Msg_GetPFName","n3EngineClientAnarchy_t","char * __thiscall N3Msg_GetPFName(void)","ANALYSIS"
"Gamecode.dll","10016ae6","N3Msg_GetPFName","n3EngineClientAnarchy_t","char * __thiscall N3Msg_GetPFName(uint param_1)","ANALYSIS"
"Gamecode.dll","10017a6c","N3Msg_GetPlayfieldResource","n3EngineClientAnarchy_t","uint __thiscall N3Msg_GetPlayfieldResource(void)","ANALYSIS"
"Gamecode.dll","1001c7bf","N3Msg_GetPointLocations","n3EngineClientAnarchy_t","void __thiscall N3Msg_GetPointLocations(void)","ANALYSIS"
"Gamecode.dll","100163bb","N3Msg_GetPos","n3EngineClientAnarchy_t","bool __thiscall N3Msg_GetPos(Identity_t * param_1, Vector3_t * param_2)","ANALYSIS"
"Gamecode.dll","1001dfd5","N3Msg_GetPosAndPF","n3EngineClientAnarchy_t","bool __thiscall N3Msg_GetPosAndPF(Vector3_t * param_1, int * param_2, int * param_3, Identity_t * param_4, basic_string<char,std::char_traits<char>,std::allocator<char>_> * param_5)","ANALYSIS"
"Gamecode.dll","1001ad1a","N3Msg_GetPositionData","n3EngineClientAnarchy_t","bool __thiscall N3Msg_GetPositionData(Identity_t * param_1, Identity_t * param_2, Vector3_t * param_3)","ANALYSIS"
"Gamecode.dll","10027b11","N3Msg_GetPVPRank","n3EngineClientAnarchy_t","int __thiscall N3Msg_GetPVPRank(Identity_t * param_1, Stat_e param_2)","ANALYSIS"
"Gamecode.dll","10027b4d","N3Msg_GetPVPScoreForRank","n3EngineClientAnarchy_t","int __thiscall N3Msg_GetPVPScoreForRank(int param_1)","ANALYSIS"
"Gamecode.dll","100173c8","N3Msg_GetQuestActionList","n3EngineClientAnarchy_t","list<QuestAction_t*,std::allocator<QuestAction_t*>_> * __thiscall N3Msg_GetQuestActionList(Identity_t * param_1)","ANALYSIS"
"Gamecode.dll","10017448","N3Msg_GetQuestIcon","n3EngineClientAnarchy_t","int __thiscall N3Msg_GetQuestIcon(Identity_t * param_1)","ANALYSIS"
"Gamecode.dll","1001e1d5","N3Msg_GetQuestIds","n3EngineClientAnarchy_t","vector<Identity_t,std::allocator<Identity_t>_> __thiscall N3Msg_GetQuestIds(void)","ANALYSIS"
"Gamecode.dll","1001abc9","N3Msg_GetQuestWorldPos","n3EngineClientAnarchy_t","bool __thiscall N3Msg_GetQuestWorldPos(Identity_t * param_1, Identity_t * param_2, Vector3_t * param_3, Vector3_t * param_4)","ANALYSIS"
"Gamecode.dll","100183c7","N3Msg_GetRaidTeamIndex","n3EngineClientAnarchy_t","int __thiscall N3Msg_GetRaidTeamIndex(void)","ANALYSIS"
"Gamecode.dll","1001604d","N3Msg_GetRarityColor","n3EngineClientAnarchy_t","char * __thiscall N3Msg_GetRarityColor(Identity_t * param_1, Identity_t * param_2)","ANALYSIS"
