SourceRowNumber,SourceFamilyName,NormalizedFamilyName,CanonicalFamilyKey,AliasOrVariantRelationship,Zone,PlayfieldName,PlayfieldId,CoordinateX,CoordinateY,CoordinateText,ApproximateBossLevel,BossLevelDescription,MinionMinimumLevel,MinionMaximumLevel,MinionLevelDescription,BossOnlyCamp,NoMobs,CampNotes,SourceId,EvidenceConfidence,SpawnEvidenceType,StaticOrDynamic,NormalizationNotes,UnresolvedFields
13,Mantezes,manteze,family-manteze,SINGULAR_PLURAL_VARIANT,Aegean,Aegean,585,1180,940,1180x940,60,Approximate boss level 60,45,50,45-50,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,[]
14,Mechdogs,mechdog,family-mechdog,SINGULAR_PLURAL_VARIANT,Aegean,Aegean,585,1100,1700,1100x1700,60,Approximate boss level 60,45,50,45-50,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,[]
15,Androids,android,family-android,SINGULAR_PLURAL_VARIANT,Aegean,Aegean,585,860,2340,860x2340,65,Approximate boss level 65,50,55,50-55,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,[]
16,Tentacle Mutant,tentacle mutant,family-tentacle-mutant,EXACT_NORMALIZATION,Aegean,Aegean,585,660,820,660x820,70,Approximate boss level 70,,,(no mobs),True,True,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,EXACT_NORMALIZATION,[]
17,Androids,android,family-android,SINGULAR_PLURAL_VARIANT,Aegean,Aegean,585,380,2300,380x2300,70,Approximate boss level 70,55,60,55-60,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,[]
18,Hounds,hound,family-hound,SINGULAR_PLURAL_VARIANT,Aegean,Aegean,585,820,980,820x980,70,Approximate boss level 70,55,60,55-60,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,[]
19,Anuns,anun,family-anun,SINGULAR_PLURAL_VARIANT,Aegean,Aegean,585,1300,1530,1300x1530,75,Approximate boss level 75,60,65,60-65,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,[]
20,Mantezes,manteze,family-manteze,SINGULAR_PLURAL_VARIANT,Aegean,Aegean,585,2060,740,2060x740,75,Approximate boss level 75,60,65,60-65,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,[]
21,Rhinomen,rhinoman,family-rhinoman,SPELLING_VARIANT,Aegean,Aegean,585,460,340,460x340,75,Approximate boss level 75,60,65,60-65,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SPELLING_VARIANT,[]
22,Leets,leet,family-leet,SINGULAR_PLURAL_VARIANT,Andromeda,Andromeda,,1380,2700,1380x2700,40,Approximate boss level 40,30,35,30-35,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,['PlayfieldId']
23,Hammerbeasts,hammerbeast,family-hammerbeast,EXACT_NORMALIZATION,Andromeda,Andromeda,,1700,2740,1700x2740,45,Approximate boss level 45,35,40,35-40,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,EXACT_NORMALIZATION,['PlayfieldId']
24,Scorpiods,scorpiod,family-scorpiod,SINGULAR_PLURAL_VARIANT,Andromeda,Andromeda,,1220,2100,1220x2100,50,Approximate boss level 50,40,45,40-45,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,['PlayfieldId']
25,Shadowmutants,shadowmutant,family-shadowmutant,EXACT_NORMALIZATION,Andromeda,Andromeda,,3020,2220,3020x2220,70,Approximate boss level 70,50,55,50-55,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,EXACT_NORMALIZATION,['PlayfieldId']
26,Hounds,hound,family-hound,SINGULAR_PLURAL_VARIANT,Andromeda,Andromeda,,460,580,460x580,70,Approximate boss level 70,55,60,55-60,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,['PlayfieldId']
27,Snakes,snake,family-snake,SINGULAR_PLURAL_VARIANT,Andromeda,Andromeda,,1180,1420,1180x1420,80,Approximate boss level 80,60,65,60-65,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,['PlayfieldId']
28,Hammerbeasts,hammerbeast,family-hammerbeast,EXACT_NORMALIZATION,Andromeda,Andromeda,,4180,420,4180x420,85,Approximate boss level 85,70,75,70-75,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,EXACT_NORMALIZATION,['PlayfieldId']
29,Spiders,spider,family-spider,SINGULAR_PLURAL_VARIANT,Andromeda,Andromeda,,2940,2020,2940x2020,95,Approximate boss level 95,75,80,75-80,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,['PlayfieldId']
30,Spiders,spider,family-spider,SINGULAR_PLURAL_VARIANT,Andromeda,Andromeda,,2220,1500,2220x1500,95,Approximate boss level 95,75,80,75-80,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,['PlayfieldId']
31,Shadowmutants,shadowmutant,family-shadowmutant,EXACT_NORMALIZATION,Andromeda,Andromeda,,4520,1150,4520x1150,100,Approximate boss level 100,80,85,80-85,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,EXACT_NORMALIZATION,['PlayfieldId']
32,Snakes,snake,family-snake,SINGULAR_PLURAL_VARIANT,Andromeda,Andromeda,,3020,300,3020x300,105,Approximate boss level 105,85,90,85-90,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,['PlayfieldId']
33,Pit Lizards,pit lizard,family-pit-lizard,SINGULAR_PLURAL_VARIANT,Belial Forest,Belial Forest,605,1450,665,1450x665,175,Approximate boss level 175,160,165,160-165,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,[]
34,Enigmas,enigma,family-enigma,SINGULAR_PLURAL_VARIANT,Belial Forest,Belial Forest,605,1660,3100,1660x3100,135,Approximate boss level 135,110,115,110-115,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,[]
35,Ottous,ottou,family-ottou,EXACT_NORMALIZATION,Belial Forest,Belial Forest,605,2120,2980,2120x2980,135,Approximate boss level 135,110,115,110-115,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,EXACT_NORMALIZATION,[]
36,Ninjadroids,ninja droid,family-ninja-droid,SPELLING_VARIANT,Belial Forest,Belial Forest,605,380,2260,380x2260,150,Approximate boss level 150,125,130,125-130,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SPELLING_VARIANT,[]
37,Bileswarms,bileswarm,family-bileswarm,SINGULAR_PLURAL_VARIANT,Belial Forest,Belial Forest,605,1700,2580,1700x2580,160,Approximate boss level 160,,,(no mobs),True,True,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,[]
38,Ninjadroids,ninja droid,family-ninja-droid,SPELLING_VARIANT,Belial Forest,Belial Forest,605,2500,2140,2500x2140,160,Approximate boss level 160,135,140,135-140,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SPELLING_VARIANT,[]
39,Enigmas,enigma,family-enigma,SINGULAR_PLURAL_VARIANT,Belial Forest,Belial Forest,605,580,1820,580x1820,165,Approximate boss level 165,135,140,135-140,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,[]
40,Ninjadroids,ninja droid,family-ninja-droid,SPELLING_VARIANT,Belial Forest,Belial Forest,605,2200,2510,2200x2510,165,Approximate boss level 165,135,140,135-140,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SPELLING_VARIANT,[]
41,Snakes,snake,family-snake,SINGULAR_PLURAL_VARIANT,Belial Forest,Belial Forest,605,460,780,460x780,170,Approximate boss level 170,140,145,140-145,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,[]
42,Quake Lizards,quake lizard,family-quake-lizard,EXACT_NORMALIZATION,Belial Forest,Belial Forest,605,820,1940,820x1940,175,Approximate boss level 175,135,140,135-140,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,EXACT_NORMALIZATION,[]
43,Quake Lizards,quake lizard,family-quake-lizard,EXACT_NORMALIZATION,Belial Forest,Belial Forest,605,900,740,900x740,175,Approximate boss level 175,135,140,135-140,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,EXACT_NORMALIZATION,[]
44,Snakes,snake,family-snake,SINGULAR_PLURAL_VARIANT,Belial Forest,Belial Forest,605,1700,1380,1700x1380,180,Approximate boss level 180,150,155,150-155,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,[]
45,Nanofreaks,nanofreak,family-nanofreak,EXACT_NORMALIZATION,Belial Forest,Belial Forest,605,1660,1780,1660x1780,185,Approximate boss level 185,151,155,151-155,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,EXACT_NORMALIZATION,[]
46,Snakes,snake,family-snake,SINGULAR_PLURAL_VARIANT,Belial Forest,Belial Forest,605,1500,2100,1500x2100,190,Approximate boss level 190,155,160,155-160,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,[]
47,Snakes,snake,family-snake,SINGULAR_PLURAL_VARIANT,Belial Forest,Belial Forest,605,1780,1140,1780x1140,190,Approximate boss level 190,155,160,155-160,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,[]
48,Pit Lizards,pit lizard,family-pit-lizard,SINGULAR_PLURAL_VARIANT,Belial Forest,Belial Forest,605,820,1340,820x1340,195,Approximate boss level 195,155,160,155-160,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,[]
49,Pit Lizards,pit lizard,family-pit-lizard,SINGULAR_PLURAL_VARIANT,Belial Forest,Belial Forest,605,1480,640,1480x640,195,Approximate boss level 195,160,165,160-165,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,[]
50,Snakes,snake,family-snake,SINGULAR_PLURAL_VARIANT,Belial Forest,Belial Forest,605,2380,1460,2380x1460,200,Approximate boss level 200,160,165,160-165,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,[]
51,Nanofreaks,nanofreak,family-nanofreak,EXACT_NORMALIZATION,Belial Forest,Belial Forest,605,2380,740,2380x740,205,Approximate boss level 205,165,170,165-170,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,EXACT_NORMALIZATION,[]
52,Biledrinkers,biledrinker,family-biledrinker,EXACT_NORMALIZATION,Belial Forest,Belial Forest,605,2300,1260,2300x1260,205,Approximate boss level 205,170,175,170-175,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,EXACT_NORMALIZATION,[]
53,Biledrinkers,biledrinker,family-biledrinker,EXACT_NORMALIZATION,Belial Forest,Belial Forest,605,1700,540,1700x540,210,Approximate boss level 210,170,175,170-175,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,EXACT_NORMALIZATION,[]
54,Cyborgs,cyborg,family-cyborg,SINGULAR_PLURAL_VARIANT,Central Artery Valley,Central Artery Valley,,1380,2740,1380x2740,120,Approximate boss level 120,95,100,95-100,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,['PlayfieldId']
55,Enigmas,enigma,family-enigma,SINGULAR_PLURAL_VARIANT,Central Artery Valley,Central Artery Valley,,1700,2500,1700x2500,120,Approximate boss level 120,100,105,100-105,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,['PlayfieldId']
56,Spiders,spider,family-spider,SINGULAR_PLURAL_VARIANT,Central Artery Valley,Central Artery Valley,,860,2380,860x2380,130,Approximate boss level 130,105,110,105-110,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,['PlayfieldId']
57,Spiders,spider,family-spider,SINGULAR_PLURAL_VARIANT,Central Artery Valley,Central Artery Valley,,460,2380,460x2380,135,Approximate boss level 135,110,115,110-115,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,['PlayfieldId']
58,Anuns,anun,family-anun,SINGULAR_PLURAL_VARIANT,Central Artery Valley,Central Artery Valley,,420,1060,420x1060,145,Approximate boss level 145,115,120,115-120,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,['PlayfieldId']
59,Spiders,spider,family-spider,SINGULAR_PLURAL_VARIANT,Central Artery Valley,Central Artery Valley,,940,1860,940x1860,145,Approximate boss level 145,115,120,115-120,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,['PlayfieldId']
60,Spiders,spider,family-spider,SINGULAR_PLURAL_VARIANT,Central Artery Valley,Central Artery Valley,,3380,1380,3380x1380,145,Approximate boss level 145,120,125,120-125,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,['PlayfieldId']
61,Spiders,spider,family-spider,SINGULAR_PLURAL_VARIANT,Central Artery Valley,Central Artery Valley,,500,1700,500x1700,150,Approximate boss level 150,120,125,120-125,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,['PlayfieldId']
62,Spiders,spider,family-spider,SINGULAR_PLURAL_VARIANT,Central Artery Valley,Central Artery Valley,,2340,340,2340x340,150,Approximate boss level 150,120,125,120-125,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,['PlayfieldId']
63,Snakes,snake,family-snake,SINGULAR_PLURAL_VARIANT,Central Artery Valley,Central Artery Valley,,3220,1620,3220x1620,150,Approximate boss level 150,125,130,125-130,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,['PlayfieldId']
64,Enigmas,enigma,family-enigma,SINGULAR_PLURAL_VARIANT,Central Artery Valley,Central Artery Valley,,2380,2340,2380x2340,155,Approximate boss level 155,130,135,130-135,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,['PlayfieldId']
65,Enigmas,enigma,family-enigma,SINGULAR_PLURAL_VARIANT,Central Artery Valley,Central Artery Valley,,2620,2820,2620x2820,160,Approximate boss level 160,130,135,130-135,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,['PlayfieldId']
66,Snakes,snake,family-snake,SINGULAR_PLURAL_VARIANT,Central Artery Valley,Central Artery Valley,,380,420,380x420,160,Approximate boss level 160,130,135,130-135,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,['PlayfieldId']
67,Anuns,anun,family-anun,SINGULAR_PLURAL_VARIANT,Central Artery Valley,Central Artery Valley,,3580,2940,3580x2940,165,Approximate boss level 165,130,135,130-135,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,['PlayfieldId']
68,Enigmas,enigma,family-enigma,SINGULAR_PLURAL_VARIANT,Central Artery Valley,Central Artery Valley,,1340,860,1340x860,170,Approximate boss level 170,135,140,135-140,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,['PlayfieldId']
69,Enigmas,enigma,family-enigma,SINGULAR_PLURAL_VARIANT,Central Artery Valley,Central Artery Valley,,940,1540,940x1540,170,Approximate boss level 170,140,145,140-145,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,['PlayfieldId']
70,Nanofreaks,nanofreak,family-nanofreak,EXACT_NORMALIZATION,Central Artery Valley,Central Artery Valley,,2660,300,2660x300,205,Approximate boss level 205,165,170,165-170,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,EXACT_NORMALIZATION,['PlayfieldId']
71,Snakes,snake,family-snake,SINGULAR_PLURAL_VARIANT,Central Artery Valley,Central Artery Valley,,3540,1420,3540x1420,215,Approximate boss level 215,175,180,175-180,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,['PlayfieldId']
72,Snakes,snake,family-snake,SINGULAR_PLURAL_VARIANT,Central Artery Valley,Central Artery Valley,,2500,1900,2500x1900,245,Approximate boss level 245,200,205,200-205,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,['PlayfieldId']
73,Snakes,snake,family-snake,SINGULAR_PLURAL_VARIANT,Central Artery Valley,Central Artery Valley,,2500,1900,2500x1900,275,Approximate boss level 275,200,205,200-205,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,['PlayfieldId']
74,Rhinomen,rhinoman,family-rhinoman,SPELLING_VARIANT,Newland Desert,Newland Desert,565,1260,2540,1260x2540,15,Approximate boss level 15,10,15,10-15,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SPELLING_VARIANT,[]
75,Rhinomen,rhinoman,family-rhinoman,SPELLING_VARIANT,Newland Desert,Newland Desert,565,1340,2340,1340x2340,15,Approximate boss level 15,10,15,10-15,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SPELLING_VARIANT,[]
76,Eyemutants,eyemutant,family-eyemutant,EXACT_NORMALIZATION,Newland Desert,Newland Desert,565,2180,2740,2180x2740,20,Approximate boss level 20,15,20,15-20,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,EXACT_NORMALIZATION,[]
77,Rhinomen,rhinoman,family-rhinoman,SPELLING_VARIANT,Newland Desert,Newland Desert,565,740,2390,740x2390,30,Approximate boss level 30,,,(no mobs),True,True,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SPELLING_VARIANT,[]
78,Buzzsaws,buzzsaw,family-buzzsaw,EXACT_NORMALIZATION,Newland Desert,Newland Desert,565,2820,700,2820x700,30,Approximate boss level 30,20,25,20-25,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,EXACT_NORMALIZATION,[]
79,Brontos,bronto,family-bronto,EXACT_NORMALIZATION,Newland Desert,Newland Desert,565,2340,1060,2340x1060,30,Approximate boss level 30,20,25,20-25,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,EXACT_NORMALIZATION,[]
80,Lizards,lizard,family-lizard,EXACT_NORMALIZATION,Newland Desert,Newland Desert,565,340,1740,340x1740,30,Approximate boss level 30,20,25,20-25,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,EXACT_NORMALIZATION,[]
81,Fleas,flea,family-flea,SINGULAR_PLURAL_VARIANT,Newland Desert,Newland Desert,565,3260,2900,3260x2900,35,Approximate boss level 35,25,30,25-30,False,False,,SRC-DYNA-ODT-001,COMMUNITY_DOCUMENTED,DOCUMENTED_STATIC_SPAWN,Static,SINGULAR_PLURAL_VARIANT,[]
