"Dll","Category","Slot","Ordinal","ValueHex","Symbol","Undecorated"
"AFCM.dll","AOClient","40","41","0028","?CreatePacket@AFCM@@AAEPAVAFCMPacket_t@1@HPAX_N@Z","private: class AFCM::AFCMPacket_t * __thiscall AFCM::CreatePacket(int,void *,bool)"
"AFCM.dll","AOClient","40","41","00001217","Export RVA",""
"AFCM.dll","AOClient","41","42","0029","?DebugDisplayAllPrograms@AFCM@@QAEXXZ","public: void __thiscall AFCM::DebugDisplayAllPrograms(void)"
"AFCM.dll","AOClient","41","42","000011ba","Export RVA",""
"AFCM.dll","AOClient","42","43","002a","?DebugDisplayRunningPrograms@AFCM@@QAEXXZ","public: void __thiscall AFCM::DebugDisplayRunningPrograms(void)"
"AFCM.dll","AOClient","42","43","000011a0","Export RVA",""
"AFCM.dll","AOClient","43","44","002b","?Detect@AFCM@@QAEHXZ","public: int __thiscall AFCM::Detect(void)"
"AFCM.dll","AOClient","43","44","00001266","Export RVA",""
"AFCM.dll","AOClient","44","45","002c","?DisplayDebugInfo@ExecutionList_t@@QAEXXZ","public: void __thiscall ExecutionList_t::DisplayDebugInfo(void)"
"AFCM.dll","AOClient","44","45","00004069","Export RVA",""
"AFCM.dll","AOClient","45","46","002d","?DisplayDebugInfo@MessageModule_t@@QAEXXZ","public: void __thiscall MessageModule_t::DisplayDebugInfo(void)"
"AFCM.dll","AOClient","45","46","00004953","Export RVA",""
"AFCM.dll","AOClient","46","47","002e","?DisplayMessage@AFCM@@QAEXHH@Z","public: void __thiscall AFCM::DisplayMessage(int,int)"
"AFCM.dll","AOClient","46","47","00003362","Export RVA",""
"AFCM.dll","AOClient","47","48","002f","?Distribute@AFCM@@AAEPAVAFCMPacket_t@1@HHPAX_N@Z","private: class AFCM::AFCMPacket_t * __thiscall AFCM::Distribute(int,int,void *,bool)"
"AFCM.dll","AOClient","47","48","0000173e","Export RVA",""
"AFCM.dll","AOClient","48","49","0030","?DummyFrameProcessor@MessageModule_t@@AAEXXZ","private: void __thiscall MessageModule_t::DummyFrameProcessor(void)"
"AFCM.dll","AOClient","48","49","00004954","Export RVA",""
"AFCM.dll","AOClient","49","50","0031","?EndFrameProcessing@AFCM@@QAEXXZ","public: void __thiscall AFCM::EndFrameProcessing(void)"
"AFCM.dll","AOClient","49","50","00004863","Export RVA",""
"AFCM.dll","AOClient","50","51","0032","?Execute@MessageProcessor_t@@QAEXXZ","public: void __thiscall MessageProcessor_t::Execute(void)"
"AFCM.dll","AOClient","50","51","00004b9a","Export RVA",""
"AFCM.dll","AOClient","51","52","0033","?ExecuteExecutionList@ExecutionList_t@@QAEXXZ","public: void __thiscall ExecutionList_t::ExecuteExecutionList(void)"
"AFCM.dll","AOClient","51","52","0000404e","Export RVA",""
"AFCM.dll","AOClient","52","53","0034","?FlowInit@AFCM@@QAEXXZ","public: void __thiscall AFCM::FlowInit(void)"
"AFCM.dll","AOClient","52","53","0000446f","Export RVA",""
"AFCM.dll","AOClient","53","54","0035","?FrameProcess@AFCM@@QAEXXZ","public: void __thiscall AFCM::FrameProcess(void)"
"AFCM.dll","AOClient","53","54","00004803","Export RVA",""
"AFCM.dll","AOClient","54","55","0036","?FrameProcess@Timer_t@@QAEXXZ","public: void __thiscall Timer_t::FrameProcess(void)"
"AFCM.dll","AOClient","54","55","000065d3","Export RVA",""
"AFCM.dll","AOClient","55","56","0037","?GetCharStatSignal@GlobalSignals_c@@QAEAAV?$Signal2_c@XHH@@W4Stat_e@GameData@@@Z","public: class Signal2_c<void,int,int> & __thiscall GlobalSignals_c::GetCharStatSignal(enum GameData::Stat_e)"
"AFCM.dll","AOClient","55","56","00006cac","Export RVA",""
"AFCM.dll","AOClient","56","57","0038","?GetCurrentModule@AFCM@@QAEPAVMessageModule_t@@XZ","public: class MessageModule_t * __thiscall AFCM::GetCurrentModule(void)"
"AFCM.dll","AOClient","56","57","00004698","Export RVA",""
"AFCM.dll","AOClient","57","58","0039","?GetDataType@AFCM@@QAEHXZ","public: int __thiscall AFCM::GetDataType(void)"
"AFCM.dll","AOClient","57","58","000012ad","Export RVA",""
"AFCM.dll","AOClient","58","59","003a","?GetDeltaTickCount@Timer_t@@QAEKXZ","public: unsigned long __thiscall Timer_t::GetDeltaTickCount(void)"
"AFCM.dll","AOClient","58","59","000065b2","Export RVA",""
"AFCM.dll","AOClient","59","60","003b","?GetDeltaTime@Timer_t@@QAEMXZ","public: float __thiscall Timer_t::GetDeltaTime(void)"
"AFCM.dll","AOClient","59","60","0000657e","Export RVA",""
"AFCM.dll","AOClient","60","61","003c","?GetDestinationID@MessageModule_t@@QBEHXZ","public: int __thiscall MessageModule_t::GetDestinationID(void)const "
"AFCM.dll","AOClient","60","61","00001033","Export RVA",""
"AFCM.dll","AOClient","61","62","003d","?GetExecutionPriority@MessageModule_t@@QBEHXZ","public: int __thiscall MessageModule_t::GetExecutionPriority(void)const "
"AFCM.dll","AOClient","61","62","00001037","Export RVA",""
"AFCM.dll","AOClient","62","63","003e","?GetFramerate@Timer_t@@QAEMXZ","public: float __thiscall Timer_t::GetFramerate(void)"
"AFCM.dll","AOClient","62","63","00006584","Export RVA",""
"AFCM.dll","AOClient","63","64","003f","?GetFreePacket@AFCM@@AAEPAVAFCMPacket_t@1@HPAX_N@Z","private: class AFCM::AFCMPacket_t * __thiscall AFCM::GetFreePacket(int,void *,bool)"
"AFCM.dll","AOClient","63","64","000012c1","Export RVA",""
"AFCM.dll","AOClient","64","65","0040","?GetID@DynamicID_t@@QAEHPBD_N@Z","public: int __thiscall DynamicID_t::GetID(char const *,bool)"
"AFCM.dll","AOClient","64","65","00005fe6","Export RVA",""
"AFCM.dll","AOClient","65","66","0041","?GetID@DynamicID_t@@QAEPBDPBDH@Z","public: char const * __thiscall DynamicID_t::GetID(char const *,int)"
"AFCM.dll","AOClient","65","66","00005f13","Export RVA",""
"AFCM.dll","AOClient","66","67","0042","?GetIDType@DynamicID_t@@QAEHPBD@Z","public: int __thiscall DynamicID_t::GetIDType(char const *)"
"AFCM.dll","AOClient","66","67","00005dfd","Export RVA",""
"AFCM.dll","AOClient","67","68","0043","?GetInstance@AFCM@@SAPAV1@XZ","public: static class AFCM * __cdecl AFCM::GetInstance(void)"
"AFCM.dll","AOClient","67","68","0000163d","Export RVA",""
"AFCM.dll","AOClient","68","69","0044","?GetInstance@DynamicID_t@@SAPAV1@XZ","public: static class DynamicID_t * __cdecl DynamicID_t::GetInstance(void)"
"AFCM.dll","AOClient","68","69","00001137","Export RVA",""
"AFCM.dll","AOClient","69","70","0045","?GetInstance@GlobalSignals_c@@SAPAV1@XZ","public: static class GlobalSignals_c * __cdecl GlobalSignals_c::GetInstance(void)"
"AFCM.dll","AOClient","69","70","0000750c","Export RVA",""
"AFCM.dll","AOClient","70","71","0046","?GetInstance@Timer_t@@SAPAV1@XZ","public: static class Timer_t * __cdecl Timer_t::GetInstance(void)"
"AFCM.dll","AOClient","70","71","000068a8","Export RVA",""
"AFCM.dll","AOClient","71","72","0047","?GetInstanceIfAny@AFCM@@SAPAV1@XZ","public: static class AFCM * __cdecl AFCM::GetInstanceIfAny(void)"
"AFCM.dll","AOClient","71","72","00001250","Export RVA",""
"AFCM.dll","AOClient","72","73","0048","?GetInstanceIfAny@Timer_t@@SAPAV1@XZ","public: static class Timer_t * __cdecl Timer_t::GetInstanceIfAny(void)"
"AFCM.dll","AOClient","72","73","000065cd","Export RVA",""
"AFCM.dll","AOClient","73","74","0049","?GetMessageModule@ExecutionList_t@@QAEPAVMessageModule_t@@H@Z","public: class MessageModule_t * __thiscall ExecutionList_t::GetMessageModule(int)"
"AFCM.dll","AOClient","73","74","000040b0","Export RVA",""
"AFCM.dll","AOClient","74","75","004a","?GetPacketType@MessageProcessor_t@@QBEHXZ","public: int __thiscall MessageProcessor_t::GetPacketType(void)const "
"AFCM.dll","AOClient","74","75","00001037","Export RVA",""
"AFCM.dll","AOClient","75","76","004b","?GetSimpleProgram@ExecutionList_t@@QAEPAVSimpleProgram_t@@H@Z","public: class SimpleProgram_t * __thiscall ExecutionList_t::GetSimpleProgram(int)"
"AFCM.dll","AOClient","75","76","0000408a","Export RVA",""
"AFCM.dll","AOClient","76","77","004c","?GetSmoothDeltaTime@Timer_t@@QAEMXZ","public: float __thiscall Timer_t::GetSmoothDeltaTime(void)"
"AFCM.dll","AOClient","76","77","00006597","Export RVA",""
"AFCM.dll","AOClient","77","78","004d","?GetSmoothFramerate@Timer_t@@QAEMXZ","public: float __thiscall Timer_t::GetSmoothFramerate(void)"
"AFCM.dll","AOClient","77","78","0000659b","Export RVA",""
"AFCM.dll","AOClient","78","79","004e","?GetTickCount@Timer_t@@QAEKXZ","public: unsigned long __thiscall Timer_t::GetTickCount(void)"
"AFCM.dll","AOClient","78","79","000065ae","Export RVA",""
"AFCM.dll","AOClient","79","80","004f","?GetTypeIdList@DynamicID_t@@QBEPBV?$list@PAVDynamicTypeID_t@@V?$allocator@PAVDynamicTypeID_t@@@std@@@std@@XZ","public: class std::list<class DynamicTypeID_t *,class std::allocator<class DynamicTypeID_t *> > const * __thiscall DynamicID_t::GetTypeIdList(void)const "
"AFCM.dll","AOClient","79","80","00001186","Export RVA",""
"AFCM.dll","AOClient","80","81","0050","?IgnoreMessagesWhenInactive@AFCM@@QAEXH@Z","public: void __thiscall AFCM::IgnoreMessagesWhenInactive(int)"
"AFCM.dll","AOClient","80","81","000011df","Export RVA",""
"AFCM.dll","AOClient","81","82","0051","?IsInitialized@DynamicID_t@@SA_NXZ","public: static bool __cdecl DynamicID_t::IsInitialized(void)"
"AFCM.dll","AOClient","81","82","0000117a","Export RVA",""
"AFCM.dll","AOClient","82","83","0052","?IsProgramActive@AFCM@@QAE_NH@Z","public: bool __thiscall AFCM::IsProgramActive(int)"
"AFCM.dll","AOClient","82","83","00004513","Export RVA",""
"AFCM.dll","AOClient","83","84","0053","?Kill@AFCM@@QAEXXZ","public: void __thiscall AFCM::Kill(void)"
"AFCM.dll","AOClient","83","84","000016b9","Export RVA",""
"AFCM.dll","AOClient","84","85","0054","?ModuleFrameProcess@AFCM@@AAEXXZ","private: void __thiscall AFCM::ModuleFrameProcess(void)"
"AFCM.dll","AOClient","84","85","0000455d","Export RVA",""
"AFCM.dll","AOClient","85","86","0055","?PerformAdd2ndProgram@AFCM@@AAEXXZ","private: void __thiscall AFCM::PerformAdd2ndProgram(void)"
"AFCM.dll","AOClient","85","86","00004759","Export RVA",""
"AFCM.dll","AOClient","86","87","0056","?PerformAddProgram@AFCM@@AAEXXZ","private: void __thiscall AFCM::PerformAddProgram(void)"
"AFCM.dll","AOClient","86","87","000046af","Export RVA",""
"AFCM.dll","AOClient","87","88","0057","?PerformRemove2ndProgram@AFCM@@AAEXXZ","private: void __thiscall AFCM::PerformRemove2ndProgram(void)"
"AFCM.dll","AOClient","87","88","000047b1","Export RVA",""
"AFCM.dll","AOClient","88","89","0058","?PerformRemoveProgram@AFCM@@AAEXXZ","private: void __thiscall AFCM::PerformRemoveProgram(void)"
"AFCM.dll","AOClient","88","89","00004707","Export RVA",""
"AFCM.dll","AOClient","89","90","0059","?Preserve@AFCM@@QAEXXZ","public: void __thiscall AFCM::Preserve(void)"
"AFCM.dll","AOClient","89","90","0000128f","Export RVA",""
"AFCM.dll","AOClient","90","91","005a","?ProcessModule@MessageModule_t@@QAEX_N@Z","public: void __thiscall MessageModule_t::ProcessModule(bool)"
"AFCM.dll","AOClient","90","91","00004aac","Export RVA",""
"AFCM.dll","AOClient","91","92","005b","?Receive@AFCM@@QAEPAXXZ","public: void * __thiscall AFCM::Receive(void)"
"AFCM.dll","AOClient","91","92","00002d34","Export RVA",""
"AFCM.dll","AOClient","92","93","005c","?Receive@AFCM@@QAEXAAD000@Z","public: void __thiscall AFCM::Receive(char &,char &,char &,char &)"
"AFCM.dll","AOClient","92","93","00002e0e","Export RVA",""
"AFCM.dll","AOClient","93","94","005d","?Receive@AFCM@@QAEXAAD00@Z","public: void __thiscall AFCM::Receive(char &,char &,char &)"
"AFCM.dll","AOClient","93","94","00002dbf","Export RVA",""
"AFCM.dll","AOClient","94","95","005e","?Receive@AFCM@@QAEXAAD0@Z","public: void __thiscall AFCM::Receive(char &,char &)"
"AFCM.dll","AOClient","94","95","00002d86","Export RVA",""
"AFCM.dll","AOClient","95","96","005f","?Receive@AFCM@@QAEXAAD@Z","public: void __thiscall AFCM::Receive(char &)"
"AFCM.dll","AOClient","95","96","00002d67","Export RVA",""
"AFCM.dll","AOClient","96","97","0060","?Receive@AFCM@@QAEXAAH000@Z","public: void __thiscall AFCM::Receive(int &,int &,int &,int &)"
"AFCM.dll","AOClient","96","97","00002f1c","Export RVA",""
"AFCM.dll","AOClient","97","98","0061","?Receive@AFCM@@QAEXAAH00@Z","public: void __thiscall AFCM::Receive(int &,int &,int &)"
"AFCM.dll","AOClient","97","98","00002ecd","Export RVA",""
"AFCM.dll","AOClient","98","99","0062","?Receive@AFCM@@QAEXAAH0@Z","public: void __thiscall AFCM::Receive(int &,int &)"
"AFCM.dll","AOClient","98","99","00002e94","Export RVA",""
"AFCM.dll","AOClient","99","100","0063","?Receive@AFCM@@QAEXAAH@Z","public: void __thiscall AFCM::Receive(int &)"
"AFCM.dll","AOClient","99","100","00002e75","Export RVA",""
"AFCM.dll","AOClient","100","101","0064","?Receive@AFCM@@QAEXAAM000@Z","public: void __thiscall AFCM::Receive(float &,float &,float &,float &)"
"AFCM.dll","AOClient","100","101","00003028","Export RVA",""
"AFCM.dll","AOClient","101","102","0065","?Receive@AFCM@@QAEXAAM00@Z","public: void __thiscall AFCM::Receive(float &,float &,float &)"
"AFCM.dll","AOClient","101","102","00002fd9","Export RVA",""
"AFCM.dll","AOClient","102","103","0066","?Receive@AFCM@@QAEXAAM0@Z","public: void __thiscall AFCM::Receive(float &,float &)"
"AFCM.dll","AOClient","102","103","00002fa2","Export RVA",""
"AFCM.dll","AOClient","103","104","0067","?Receive@AFCM@@QAEXAAM@Z","public: void __thiscall AFCM::Receive(float &)"
"AFCM.dll","AOClient","103","104","00002f83","Export RVA",""
"AFCM.dll","AOClient","104","105","0068","?Receive@AFCM@@QAEXAAVIPoint@@@Z","public: void __thiscall AFCM::Receive(class IPoint &)"
"AFCM.dll","AOClient","104","105","0000330f","Export RVA",""
"AFCM.dll","AOClient","105","106","0069","?Receive@AFCM@@QAEXAAVIRect@@@Z","public: void __thiscall AFCM::Receive(class IRect &)"
"AFCM.dll","AOClient","105","106","0000333a","Export RVA",""
"AFCM.dll","AOClient","106","107","006a","?Receive@AFCM@@QAEXAAVIdentity_t@@000@Z","public: void __thiscall AFCM::Receive(class Identity_t &,class Identity_t &,class Identity_t &,class Identity_t &)"
"AFCM.dll","AOClient","106","107","00003285","Export RVA",""
"AFCM.dll","AOClient","107","108","006b","?Receive@AFCM@@QAEXAAVIdentity_t@@00@Z","public: void __thiscall AFCM::Receive(class Identity_t &,class Identity_t &,class Identity_t &)"
"AFCM.dll","AOClient","107","108","0000321f","Export RVA",""
"AFCM.dll","AOClient","108","109","006c","?Receive@AFCM@@QAEXAAVIdentity_t@@0@Z","public: void __thiscall AFCM::Receive(class Identity_t &,class Identity_t &)"
"AFCM.dll","AOClient","108","109","000031da","Export RVA",""
"AFCM.dll","AOClient","109","110","006d","?Receive@AFCM@@QAEXAAVIdentity_t@@@Z","public: void __thiscall AFCM::Receive(class Identity_t &)"
"AFCM.dll","AOClient","109","110","000031b5","Export RVA",""
"AFCM.dll","AOClient","110","111","006e","?Receive@AFCM@@QAEXAAVVector3_t@@000@Z","public: void __thiscall AFCM::Receive(class Vector3_t &,class Vector3_t &,class Vector3_t &,class Vector3_t &)"
"AFCM.dll","AOClient","110","111","00003146","Export RVA",""
"AFCM.dll","AOClient","111","112","006f","?Receive@AFCM@@QAEXAAVVector3_t@@00@Z","public: void __thiscall AFCM::Receive(class Vector3_t &,class Vector3_t &,class Vector3_t &)"
"AFCM.dll","AOClient","111","112","000030f0","Export RVA",""
"AFCM.dll","AOClient","112","113","0070","?Receive@AFCM@@QAEXAAVVector3_t@@0@Z","public: void __thiscall AFCM::Receive(class Vector3_t &,class Vector3_t &)"
"AFCM.dll","AOClient","112","113","000030b3","Export RVA",""
"AFCM.dll","AOClient","113","114","0071","?Receive@AFCM@@QAEXAAVVector3_t@@@Z","public: void __thiscall AFCM::Receive(class Vector3_t &)"
"AFCM.dll","AOClient","113","114","0000308f","Export RVA",""
"AFCM.dll","AOClient","114","115","0072","?Receive@AFCM@@QAEXPAPBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z","public: void __thiscall AFCM::Receive(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const * *)"
"AFCM.dll","AOClient","114","115","00002d48","Export RVA",""
"AFCM.dll","AOClient","115","116","0073","?RegisterClear@AFCM@@QAEXXZ","public: void __thiscall AFCM::RegisterClear(void)"
"AFCM.dll","AOClient","115","116","00004467","Export RVA",""
"AFCM.dll","AOClient","116","117","0074","?RegisterMessageModule@AFCM@@QAEXHH@Z","public: void __thiscall AFCM::RegisterMessageModule(int,int)"
"AFCM.dll","AOClient","116","117","0000467e","Export RVA",""
"AFCM.dll","AOClient","117","118","0075","?RegisterMessageModule@AFCM@@QAEXHHH@Z","public: void __thiscall AFCM::RegisterMessageModule(int,int,int)"
"AFCM.dll","AOClient","117","118","00004667","Export RVA",""
"AFCM.dll","AOClient","118","119","0076","?RegisterMessageModule@AFCM@@QAEXHHP6AXXZH@Z","public: void __thiscall AFCM::RegisterMessageModule(int,int,void (__cdecl*)(void),int)"
"AFCM.dll","AOClient","118","119","00004582","Export RVA",""
"AFCM.dll","AOClient","119","120","0077","?RegisterMessageModuleFramePreProcessor@AFCM@@QAEXHHP6AXXZ@Z","public: void __thiscall AFCM::RegisterMessageModuleFramePreProcessor(int,int,void (__cdecl*)(void))"
"AFCM.dll","AOClient","119","120","00004401","Export RVA",""
"AFCM.dll","AOClient","120","121","0078","?RegisterMessageModuleFramePreProcessor@AFCM@@QAEXP6AXXZ@Z","public: void __thiscall AFCM::RegisterMessageModuleFramePreProcessor(void (__cdecl*)(void))"
"AFCM.dll","AOClient","120","121","0000442a","Export RVA",""
"AFCM.dll","AOClient","121","122","0079","?RegisterMessageModuleFrameProcessor@AFCM@@QAEXHHP6AXXZ@Z","public: void __thiscall AFCM::RegisterMessageModuleFrameProcessor(int,int,void (__cdecl*)(void))"
