"TemplateId","Name","EnemyKeywords","Strings"
"41652","battlesuit-wearing character","","battlesuit-wearing character"
"41690","skeleton solitus","","skeleton solitus"
"41692","skeleton solitus illuminated","","skeleton solitus illuminated"
"41694","humongous baraton","","humongous baraton"
"42977","skeleton atrox illuminated","","skeleton atrox illuminated"
"42979","mutant king","mutant","mutant king"
"42981","skeleton atrox","","skeleton atrox"
"43352","buckethead","","buckethead"
"44143","unfinished breed failed","","unfinished breed failed"
"45603","unfinished breed","","unfinished breed"
"45871","pony","","pony"
"45872","enigma tree","","enigma tree"
"45873","junkbot","","junkbot"
"45874","buzzsaw","buzzsaw","buzzsaw"
"45878","mutant king tentacle","mutant","mutant king tentacle"
"55647","alienpod","","Tg2, | alienpod"
"55648","alienpod spider","spider","alienpod spider"
"85351","stankel","","stankel"
"95352","dragonclaw","","dragonclaw"
"95353","helium_blorrg","","helium_blorrg"
"95355","puko","","puko"
"95356","puko_cloakedrider","","puko_cloakedrider"
"95357","piranha","","piranha"
"95384","rockmonster","monster","rockmonster"
"95429","duschbag","","duschbag"
"95799","galway","","galway"
"96056","protocol droid","","protocol droid"
"96193","metapet heal","","metapet heal"
"96194","E24s","","E24s | metapet stun"
"96195","metapet combat","","metapet combat"
"99456","hover boat ferry","","hover boat ferry"
"99468","light oneman sportscraft","","light oneman sportscraft"
"99469","omni-pol gunship","","omni-pol gunship"
"99470","sleek vehicle","","sleek vehicle"
"99902","grid default character","","grid default character"
"100419","doppelgripper","","doppelgripper"
"116713","home priest","","home priest"
"116714","home guard","","home guard"
"116715","home shopkeeper","","home shopkeeper"
"120525","solomonne","","solomonne"
"120539","simon silverstone","","simon silverstone"
"120541","alistair kolokotronis","","alistair kolokotronis"
"120542","eleena oak","","eleena oak"
"120543","eva pourais","","eva pourais"
"120544","henry radiman","","henry radiman"
"120545","ivan sergeyich","","ivan sergeyich"
"120547","phillip ross","","phillip ross"
"120548","rita prestin","","rita prestin"
"120549","ruth montezuma","","ruth montezuma"
"120550","sally mintona","","sally mintona"
"120551","tucker","","tucker"
"120552","joshua kahn","","joshua kahn"
"152238","colonel frank kaehler","","colonel frank kaehler"
"152240","command kelly frederickson","","command kelly frederickson"
"152241","jack legchopper menendez","","jack legchopper menendez"
"152242","daria marie walzer","","daria marie walzer"
"152519","tri plumbo","","tri plumbo"
"154136","pumpkinman","","pumpkinman"
"154698","ninjadroid boss","","ninjadroid boss"
"155071","rhinoman albino","rhinoman","C@""`s | rhinoman albino"
"155962","abmouth","","abmouth"
"156249","argilecrawler","","argilecrawler"
"156272","test-ick-el","","test-ick-el"
"157180","leet2","leet","leet2"
"157321","mantis boss","mantis","mantis boss"
"158175","tarasque","","tarasque"
"158176","morganlefaye","","morganlefaye"
"158177","mantis baby","mantis","mantis baby"
"159084","atrox thin male pilot","","atrox thin male pilot"
"159085","atrox thin male brute","","atrox thin male brute"
"159086","solitus thin female brute","","solitus thin female brute"
"159966","atrox energy boss","","atrox energy boss"
"163003","unicorn boss","","unicorn boss"
"163119","molokh","","molokh"
"165178","solitusfemale_ah_oldlady","","solitusfemale_ah_oldlady"
"165179","solitusfemale_ah_asiantraveller","","solitusfemale_ah_asiantraveller"
"165180","solitusfemale_ah_traveller","","solitusfemale_ah_traveller"
"165181","solitusfemale_ah_youngwoman","","solitusfemale_ah_youngwoman"
"165182","solitusmale_ah_boredtraveller","","solitusmale_ah_boredtraveller"
"165183","solitusmale_ah_clanrecruiter","","solitusmale_ah_clanrecruiter"
"165185","solitusmale_ah_helpfulcolonist","","solitusmale_ah_helpfulcolonist"
"165186","solitusmale_ah_merchant","","solitusmale_ah_merchant"
"165187","solitusmale_ah_middleagedguy","","solitusmale_ah_middleagedguy"
"165188","solitusmale_ah_neutralobserver","","solitusmale_ah_neutralobserver"
"165190","solitusmale_ah_omniimmigrofficer","","solitusmale_ah_omniimmigrofficer"
"165191","opifexmale_ah_cleaningtech3","","opifexmale_ah_cleaningtech3"
"165192","opifexmale_ah_colonist","","opifexmale_ah_colonist"
"165193","nanofemale_ah_curiouscolonist","","nanofemale_ah_curiouscolonist"
"165194","atroxmale_ah_cleaningtech2","","atroxmale_ah_cleaningtech2"
"165195","atroxmale_ah_cleaningtehnician","","atroxmale_ah_cleaningtehnician"
"165196","atroxmale_ah_colonist","","atroxmale_ah_colonist"
"165197","atroxmale_ah_oldcolonist","","atroxmale_ah_oldcolonist"
"165210","solitusmale_ah_clan recruiter","","solitusmale_ah_clan recruiter"
"165212","atroxmale_ah_oldgeezer","","atroxmale_ah_oldgeezer"
"200894","land control tower 1","","land control tower 1"
"201532","lctower_buff_big","","lctower_buff_big"
"201533","lctower_guard_small","","lctower_guard_small"
"201633","lctower_buff_small","","lctower_buff_small"
"201634","lctower_guard_big","","lctower_guard_big"
"201635","lctower_controller_small","","lctower_controller_small"
"201636","lctower_controller_big","","lctower_controller_big"
"201637","lctower_debuff_small","","lctower_debuff_small"
"201638","lctower_debuff_big","","lctower_debuff_big"
"201899","lctower_service_small","","lctower_service_small"
"201904","lctower_service_big","","lctower_service_big"
"203157","yalmaha_executive","","yalmaha_executive"
"203158","yalmaha cooler","","yalmaha cooler"
"203159","yalmaha flaming","","yalmaha flaming"
"203160","yalmaha - second flaming","","yalmaha - second flaming"
"203161","yalmaha regular","","yalmaha regular"
"203405","yalmaha sleek red","","yalmaha sleek red"
"203406","yalmaha sleek yellow","","yalmaha sleek yellow"
"203724","high commander hoover","","high commander hoover"
"203726","eumenides","","eumenides"
"203727","premature pattern","","premature pattern"
"203728","incomplete rebuild","","incomplete rebuild"
"203729","fragmented soul","","fragmented soul"
"203730","neural burnout","","neural burnout"
"203731","empty shell","","empty shell"
"203733","violent vagabond(robe)","","violent vagabond(robe)"
"203734","mugger","","mugger"
"203736","deranged shopper","","deranged shopper"
"203739","stim fiend","","stim fiend"
"203740","workman stiker","","workman stiker"
"203741","workman striker","","workman striker"
"203743","architect striker(robe)","","architect striker(robe)"
"203744","strike foreman","","strike foreman"
"203745","looter(robe)","","looter(robe)"
"203746","molested molecules","","molested molecules"
"203747","melded patterns","","melded patterns"
"203748","vergil aeneid","","vergil aeneid"
"203854","workman striker(robe)","","workman striker(robe)"
"204067","atroxmale_ah_colonist_robe","","atroxmale_ah_colonist_robe"
"204168","manta(yalmaha)_neo_ground vehicle","","manta(yalmaha)_neo_ground vehicle"
"204169","manta_(yalmaha)_sportline_ground_vehicle","","manta_(yalmaha)_sportline_ground_vehicle"
"204170","manta_(yalmaha)_avi_ground_vehicle","","manta_(yalmaha)_avi_ground_vehicle"
"204178","redundant scan","","redundant scan"
"204874","soliutu_asian_male","","soliutu_asian_male"
"204876","soliutus_asian_male","","soliutus_asian_male"
"204977","solitus_asian_male","","solitus_asian_male"
"204985","solitusmale_ah_youngman","","solitusmale_ah_youngman"
"205481","lctower_supplymasters_control_tower","","lctower_supplymasters_control_tower"
"205627","lctower_supplymeels_control_tower","","lctower_supplymeels_control_tower"
"205867","zoftig blimp","","zoftig blimp"
"205925","eclipser","","eclipser"
"205931","bane","","bane"
"205933","k9(Sw","","k9(Sw | blorrg"
"205934","skincrawler","","skincrawler"
"205935","summoned skincrawler","","summoned skincrawler"
"205938","alpha skincrawler","","alpha skincrawler"
"205939","necromancer","","necromancer"
"205940","crypt guardian","","crypt guardian"
"205941","kizzermole","","kizzermole"
"205942","abyss serpent","","abyss serpent"
"205943","awakened pit demon","","awakened pit demon"
"205946","cerubin the rejected","","cerubin the rejected"
"206213","cerubins tentacle","","cerubins tentacle"
"206249","dark cenobite","","dark cenobite"
"206250","dark summoner","","dark summoner"
"206251","dark sanitary","","dark sanitary"
"206792","vanguard commander_female","","vanguard commander_female"
"206793","vanguard commander_male","","vanguard commander_male"
"206794","vanguard watcher","","vanguard watcher"
"207475","turret","","turret"
"207779","slsabretooth","","bj]( | slsabretooth"
"208523","sl_eron-cur","","c1""*: | sl_eron-cur"
"208531","sl_fallon-cur","","c1""*: | sl_fallon-cur"
"208544","sl_felen-cur","","c1""*: | sl_felen-cur"
"208551","sl_celeth-cur","","c1""*: | sl_celeth-cur"
"208558","hWXy","","hWXy | _rL9{ | \^Se | sl_cama-el"
"208565","hWXy","","hWXy | _rL9{ | \^Se | sl_coma-el"
"208579","hWXy","","hWXy | _rL9{ | \^Se | sl_rawa-el"
"208586","hWXy","","hWXy | _rL9{ | \^Se | sl_rowa-el"
"208604","hWXy","","hWXy | _rL9{ | \^Se | sl_cor-el"
"208612","hWXy","","hWXy | _rL9{ | \^Se | sl_yor-el"
"208630","hWXy","","hWXy | _rL9{ | \^Se | sl_celeth-el"
"208635","sl_calan-cur","","c1""*: | sl_calan-cur"
"208636","sl_calun-cur","","c1""*: | sl_calun-cur"
"208637","sl_auram-cur","","c1""*: | sl_auram-cur"
"208640","vN.r","","vN.r | sl_craig-or"
"208641","vN.r","","vN.r | sl_cron-or"
"208642","vN.r","","vN.r | sl_nen-or"
"208643","vN.r","","vN.r | sl_non-or"
"208644","vN.r","","vN.r | sl_barad-or"
"208645","vN.r","","vN.r | sl_orad-or"
"208646","vN.r","","vN.r | sl_celeth-or"
"208647","sl_sun-len","","sl_sun-len"
"208648","sl_son-len","","sl_son-len"
"208649","sl_eile-len","","sl_eile-len"
"208650","sl_aile-len","","sl_aile-len"
"208651","sl_calath-len","","sl_calath-len"
"208652","sl_culuth-len","","sl_culuth-len"
"208653","sl_celeth-len","","sl_celeth-len"
"208725","sl_baran-kuir","",":#xM | :#xM{ | sl_baran-kuir"
"208732","sl_buran-kuir","",":#xM | :#xM{ | sl_buran-kuir"
"208739","sl_ivok-kuir","",":#xM | :#xM{ | sl_ivok-kuir"
"208746","sl_evok-kuir","",":#xM | :#xM{ | sl_evok-kuir"
"208753","sl_karon-kuir","",":#xM | :#xM{ | sl_karon-kuir"
"208760","sl_kurd-kuir","",":#xM | :#xM{ | sl_kurd-kuir"
"208767","sl_celeth-kuir","",":#xM | :#xM{ | sl_celeth-kuir"
"208800","sl_abad-don","","sl_abad-don"
"208842","sl_myrkon-suir","","M\Em% | sl_myrkon-suir"
"208849","sl_meerek-suir","","M\Em% | sl_meerek-suir"
"208856","sl_goroth-suir","","M\Em% | sl_goroth-suir"
"208863","sl_gorath-suir","","M\Em% | sl_gorath-suir"
"208870","sl_leon-suir","","M\Em% | sl_leon-suir"
"208877","sl_erath-suir","","M\Em% | sl_erath-suir"
"208884","sl_celeth-suir","","M\Em% | sl_celeth-suir"
"208904","sl_arcorash","","sl_arcorash"
"208912","sl_ercorash","","sl_ercorash"
"208922","sl_swift silvertail","","sl_swift silvertail"
"208929","sl_majestic silvertail","","sl_majestic silvertail"
"209022","sl_stalking predator","","bj]( | sl_stalking predator"
"209029","sl_stalking slayer","","bj]( | sl_stalking slayer"
"209050","sl_icy predator","","bj]( | sl_icy predator"
"209068","sl_somphos myri","","sl_somphos myri"
"209075","sl_somphos","","sl_somphos"
"209082","sl_somphos brunee","","sl_somphos brunee"
"209090","sl_somphos logee","","sl_somphos logee"
"209117","sl_faded shadow","","sl_faded shadow"
"209125","sl_icy shadow","","sl_icy shadow"
"209136","sl_burning shadow","","sl_burning shadow"
"209143","sl_essence eremite","","sl_essence eremite"
"209150","sl_rotting eremite","","sl_rotting eremite"
"209158","sl_rippled eremite","","sl_rippled eremite"
"209165","sl_sparkling eremite","","sl_sparkling eremite"
"209173","sl_creepos","","sl_creepos"
"209180","sl_crawlos","","sl_crawlos"
"209182","sl_hai-tempterus","","sl_hai-tempterus"
"209189","sl_tempterus","","sl_tempterus"
"209196","sl_hiathlin","","sl_hiathlin"
"209203","sl_hoathlan","","sl_hoathlan"
"209215","sl_kolaana","","sl_kolaana"
"209222","sl_kolaana-behn","","sl_kolaana-behn"
"209229","sl_malah-ana","","sl_malah-ana"
"209238","sl_malah-behn","","sl_malah-behn"
"209245","sl_malah-curran","","sl_malah-curran"
"209252","sl_malah-dren","","sl_malah-dren"
"209319","sl_croaker of night","","+!Lm% | sl_croaker of night"
"209326","sl_croaker of light","","+!Lm% | sl_croaker of light"
"209333","sl_crippler of growth","","+!Lmu | sl_crippler of growth"
"209340","sl_crippler of life","","+!Lmu | sl_crippler of life"
"209347","sl_weaver of shadow","","sl_weaver of shadow"
"209354","sl_weaver of decay","","sl_weaver of decay"
"209361","sl_weaver of spirits","","sl_weaver of spirits"
"209368","sl_mortiig","","sl_mortiig"
"209395","sl_mortiig predator","","sl_mortiig predator"
"209409","sl_devourer of life","","sl_devourer of life"
"209415","sl_devourer of light","","sl_devourer of light"
"209434","sl_demon of water","","sl_demon of water"
"209441","sl_demon of shadow","","sl_demon of shadow"
"209448","sl_vortexoid","","sl_vortexoid"
"209458","sl_feral vortexoid","","sl_feral vortexoid"
"209712","guard turret","","guard turret"
"210237","security camera","","security camera"
"210238","security guard","","security guard"
"210582","guardian_of_shadows","","guardian_of_shadows"
"212186","j4kw","","j4kw | sl_mire gorgon"
"212842","j4kw","","j4kw | sl_mist gorgon"
"212846","j4kw","","j4kw | sl_frozen gorgon"
"213108","sl_don-leukos","","sl_don-leukos"
"213208","I82x","","N#PF% | I82x | Y 1z | sl_lord of the void"
"214067","F60w","","v@b: | ' /x | F60w | sl_uriel-varrior_or"
"214072","F60w","","v@b: | ' /x | F60w | sl_uriel-nanoman_len"
"214078","F60w","","v@b: | ' /x | F60w | sl_uriel-druid_cur"
"214083","F60w","","v@b: | ' /x | F60w | sl_uriel-sergeant_el"
"214087","F60w","","v@b: | ' /x | F60w | sl_uriel_muir"
"214119","sl_redeemed2_fire_suir","","sl_redeemed2_fire_suir"
"214121","sl_redeemed2_water_suir","","sl_redeemed2_water_suir"
"214122","sl_redeemed2_earth_suir","","sl_redeemed2_earth_suir"
"214123","sl_redeemed2_air_suir","","sl_redeemed2_air_suir"
"214479","sl_molokhai","","sl_molokhai"
"214623","sl_anti-molokh","","sl_anti-molokh"
"214748","sl_molokh","","sl_molokh"
"214973","sl_voracious horror","","p%d: | sl_voracious horror"
"214978","sl_twisted horror","","sl_twisted horror"
"214982","sl_molesters","","sl_molesters"
"215021","jobe_johannes_kjarval","","jobe_johannes_kjarval"
"215022","jobe_angus_mcduff","","jobe_angus_mcduff"
"215023","jobe_winnie_glowtail","","jobe_winnie_glowtail"
"215024","jobe_magnus_galway","","jobe_magnus_galway"
"215025","jobe_trond_mcdougal","","jobe_trond_mcdougal"
"215026","jobe_jane_simmons","","jobe_jane_simmons"
"215027","jobe_james_monaghan","","jobe_james_monaghan"
"215028","jobe_pedro_gavrillo","","jobe_pedro_gavrillo"
"215029","jobe_sharon_goldman","","jobe_sharon_goldman"
"215030","jobe_beebela_andravita","","jobe_beebela_andravita"
"215031","jobe_samuel_caesar","","jobe_samuel_caesar"
"215032","jobe_christian_thorwaldsen","","jobe_christian_thorwaldsen"
"215033","jobe_anita_franklin","","jobe_anita_franklin"
"215034","jobe_ibrahim_al_qasr","","jobe_ibrahim_al_qasr"
"215035","jobe_chang_dong","","jobe_chang_dong"
"215036","jobe_mohang_li","","jobe_mohang_li"
"215037","jobe_ludwig_deville","","jobe_ludwig_deville"
"215038","jobe_yasuhiro_yamashita","","jobe_yasuhiro_yamashita"
"215039","jobe_raggie_monaghan","","jobe_raggie_monaghan"
"215040","jobe_darksilver","","jobe_darksilver"
"215041","jobe_sarella","","jobe_sarella"
"215042","jobe_eilelyen","","jobe_eilelyen"
"215043","jobe_kaldrani","","jobe_kaldrani"
"215044","jobe_xilith","","jobe_xilith"
"215045","jobe_cuthulas","","jobe_cuthulas"
"215046","jobe_keldara","","jobe_keldara"
"215047","jobe_giljabet","","jobe_giljabet"
"215048","jobe_tyrs","","jobe_tyrs"
"215049","jobe_traknavar","","jobe_traknavar"
"215050","jobe_remin","","jobe_remin"
"215051","jobe_deiros","","jobe_deiros"
"215052","jobe_loviza","","jobe_loviza"
"215847","psionic_eremite_nomove","","psionic_eremite_nomove"
"216692","sl_scientist donna red","","sl_scientist donna red"
"216693","sl_scientist veronica escobar","","sl_scientist veronica escobar"
"216869","vuni","","vuni | vuni& | vuniB | sl_notum scourge"
"216990","sl_spirit_redeemed female","","sl_spirit_redeemed female"
"217006","sl_spirit_redeemed_female","","sl_spirit_redeemed_female"
"217007","sl_spirits_unredeemed_male","","sl_spirits_unredeemed_male"
"217008","sl_spirit_unredeemed_female","","sl_spirit_unredeemed_female"
"217019","sl_spirits_redeemed_male","","sl_spirits_redeemed_male"
"217022","sl_spirits_redeemed_female_","","sl_spirits_redeemed_female_"
"218695","sl_pet_predators","","sl_pet_predators"
"218783","sl_pet_slayers","","sl_pet_slayers"
"218928","sl_pet_widowmaker battle drone","","sl_pet_widowmaker battle drone"
"220406","solitusfemale_ah_jobe_research","","solitusfemale_ah_jobe_research"
"222883","solitusfemale_ah_excited_colonist","","solitusfemale_ah_excited_colonist"
"223561","sl_prime devorer_bileswarm colossus","","sl_prime devorer_bileswarm colossus"
"223667","lorenzo_lord of the chip-dippers","","lorenzo_lord of the chip-dippers"
"223690","vuni","","vuni | vuni& | vuniB | sl_demonic_subjugator"
"224217","sl_harhead_test","","sl_harhead_test"
"224424","sl_bronto_test","bronto","sl_bronto_test"
"224425","sl_spermy the whale_test","","sl_spermy the whale_test"
"225815","sl_redeemed_guardtower","","sl_redeemed_guardtower"
"225818","sl_redeemed_controltower","","sl_redeemed_controltower"
"226383","sl_professor_dedlock","","sl_professor_dedlock"
"226557","spinetooth hatchling","","Q6&B | spinetooth hatchling"
"226823","hollow_island_suzerain","","hollow_island_suzerain"
"226880","shadowleet","leet","shadowleet"
"227238","sl_adventurer_polymorph","","sl_adventurer_polymorph"
"227701","sl_corporate guardian","","sl_corporate guardian"
"229068","sl_bronto_mama","bronto","sl_bronto_mama"
"233173","tarasque_can move","","tarasque_can move"
"233402","sl_harhead","","sl_harhead"
"233478","sl_shark","","sl_shark"
"234586","sl_campfire","","sl_campfire"
"236598","guardian_of_shadows_loop","","guardian_of_shadows_loop"
"236599","guardian_of_shadows_idle2","","guardian_of_shadows_idle2"
"236640","sl_redeemed_grunt","","sl_redeemed_grunt"
"242322","sl_david_marlin","","sl_david_marlin"
"242323","sl_roman_dragovich_zubov","","sl_roman_dragovich_zubov"
"245897","mr. blake","","mr. blake"
"245898","lieutenant echholt","","lieutenant echholt"
"246042","hWXy","","hWXy | _rL9{ | \^Se | sl_cama-el_blade"
"246043","hWXy","","hWXy | _rL9{ | \^Se | sl_cama-el_shot"
"246135","hWXy","","hWXy | _rL9{ | \^Se | sl_cama-el_hands"
"246185","sl_calan-cur_shot","","c1""*: | sl_calan-cur_shot"
"246239","lady genevra di","","lady genevra di | venague"
"246449","vanguard","","vanguard"
"246862","omni-trans commander_female","","omni-trans commander_female"
"246923","sl_number nine","","sl_number nine"
"246982","alien battlesuit hover","","alien battlesuit hover"
"247033","unicorn stormtrooper","","unicorn stormtrooper"
"247041","unicorn elite","","unicorn elite"
"247042","hWXy","","hWXy | _rL9{ | \^Se | sl_rawa-el_shoot"
"247043","hWXy","","hWXy | _rL9{ | \^Se | sl_rowa-el_shoot"
"247044","hWXy","","hWXy | _rL9{ | \^Se | sl_cor-el_shoot"
"247045","hWXy","","hWXy | _rL9{ | \^Se | sl_yor-el_shoot"
"247048","hWXy","","hWXy | _rL9{ | \^Se | sl_celeth-el_shoot"
"247463","jreN","","jreN | alien_battlesuit_centaur_melee_ranged"
"247464","jreN","","jreN | alien_battlesuit_centaur_melee"
"247465","jreN","","jreN | alien_battlesuit_centaur_ranged"
"247466","jreN","","jreN | alien_battlesuit_centaur_caster"
"247467","alien_battlesuit_hover_melee_ranged","","alien_battlesuit_hover_melee_ranged"
"247468","alien_battlesuit_hover_melee","","alien_battlesuit_hover_melee"
"247469","alien_battlesuit_hover_ranged","","alien_battlesuit_hover_ranged"
"247477","alien_battlesuit_hover_caster","","alien_battlesuit_hover_caster"
"247721","jreN","","jreN | alien_bug"
"247728","alien_spider","spider","alien_spider"
"247740","alien_mini_bug","","alien_mini_bug"
"247742","alien boss detached","","alien boss detached"
"247801","athleet","leet","athleet"
"247829","leetzilla","leet","leetzilla"
"247831","masculeet","leet","masculeet"
"247832","cheerleet","leet","cheerleet"
"247834","deleet","leet","deleet"
"247835","bruce leet","leet","bruce leet"
"247836","invaleet","leet","invaleet"
"247837","bulleet","leet","bulleet"
"247838","violeet","leet","violeet"
"247839","calculeet","leet","calculeet"
"247856","alien boss attached_melee","","alien boss attached_melee"
"247857","alien boss attached_ranged","","alien boss attached_ranged"
"247858","alien boss attached_caster","","alien boss attached_caster"
"247860","alien boss attached_melee_ranged","","alien boss attached_melee_ranged"
"247876","jreN","","jreN | alien_bug_melee"
"247877","jreN","","jreN | alien_bug_ranged"
"247878","jreN","","jreN | alien_bug_melee_ranged"
"247879","jreN","","jreN | alien_bug_caster"
"247880","alien_mini_bug_melee_ranged","","alien_mini_bug_melee_ranged"
"247881","alien_mini_bug_melee","","alien_mini_bug_melee"
"247882","alien_mini_bug_ranged","","alien_mini_bug_ranged"
"247883","alien_mini_bug_caster","","alien_mini_bug_caster"
"248060","ethel anthony","","ethel anthony"
"248077","simon stark","","simon stark"
"248078","mary-ann","","mary-ann"
"248079","fritz","","fritz"
"248080","imelda dane","","imelda dane"
"248082","gilbert glove","","gilbert glove"
"248087","penelope magistrale","","penelope magistrale"
"248088","master divenchy","","master divenchy"
"248094","cenobite sister","","cenobite sister"
"248108","alien boss detached_melee","","alien boss detached_melee"
"248109","alien boss detached_ranged","","alien boss detached_ranged"
"248110","alien boss detached_melee_ranged","","alien boss detached_melee_ranged"
"248111","alien boss detached_caster","","alien boss detached_caster"
"249667","icc shuttle guard","","icc shuttle guard"
"250380","nano-omni-tek equipment vendor","","nano-omni-tek equipment vendor"
"250381","opifex_female_clan_vendor","","opifex_female_clan_vendor"
"250384","solitus_female_nurse","","solitus_female_nurse"
"251772","alien_battlesuit_hover_melee_ranged_unrooted","","alien_battlesuit_hover_melee_ranged_unrooted"
"251773","alien_battlesuit_hover_caster_unrooted","","alien_battlesuit_hover_caster_unrooted"
"251774","alien_battlesuit_hover_melee_unrooted","","alien_battlesuit_hover_melee_unrooted"
"251775","alien_battlesuit_hover_ranged_unrooted","","alien_battlesuit_hover_ranged_unrooted"
"251776","jreN","","jreN | alien_bug_melee_unrooted"
"251777","jreN","","jreN | alien_bug_caster_unrooted"
"251778","jreN","","jreN | alien_bug_ranged_unrooted"
"251779","jreN","","jreN | alien_bug_melee_ranged_unrooted"
"251781","alien_mini_bug_melee_ranged_unrooted","","alien_mini_bug_melee_ranged_unrooted"
"251782","alien_mini_bug_melee_unrooted","","alien_mini_bug_melee_unrooted"
