"PlayfieldId","PlayfieldName","EnemyKeywords","HintStrings","DistrictHints","AreaHints","StatelHints","SourceRecordTypes"
"567","Newland","dynacamp","Chriop Dynacamp","Chriop Dynacamp","","","District:1000014"
"570","The Perpetual Wastelands","cyborg; mantis; dynacamp; anun","Cyborg hideout | Mantis Hunting Ground | Dynacamp1 145-150 Anuns | Dynacamp2 145-150 Anuns | Dynacamp3 145-150 Sandworms | Dynacamp4 150-155 Anuns | Dynacamp5 150-155 Anuns | Dynacamp6 150-155 Anuns | Dynacamp7 150-155 Anuns | Dynacamp8 76-90 Mantis | Dynacamp9 135-140 Mantis | Dynacamp10 85-90 Cyborgs | Dynacamp11 165-170 Mantis | Dynacamp12 165-170 Mantis | Dynacamp13 135-140 Mantis | Dynacamp14 165-170 Mantis | Dynacamp15 165-170 Mantis | Dynacamp16 165-170 Mantis | Dynacamp18 165-170 Anuns | Dynacamp20 105-110 Anuns | North of Cyborg Hideout | South of Cyborg Hideout | Cyborg Border | Dynacamp 21 | Dynacamp 22 | A great canyon devides this area in two, leading up to the main Mantis hive. | Mantis Cave | The dry and barren dunes make perfect condisions for the Mantis. They hunt in packs killing everything they encounter.","Cyborg hideout | Mantis Hunting Ground | Dynacamp1 145-150 Anuns | Dynacamp2 145-150 Anuns | Dynacamp3 145-150 Sandworms | Dynacamp4 150-155 Anuns | Dynacamp5 150-155 Anuns | Dynacamp6 150-155 Anuns | Dynacamp7 150-155 Anuns | Dynacamp8 76-90 Mantis | Dynacamp9 135-140 Mantis | Dynacamp10 85-90 Cyborgs | Dynacamp11 165-170 Mantis | Dynacamp12 165-170 Mantis | Dynacamp13 135-140 Mantis | Dynacamp14 165-170 Mantis | Dynacamp15 165-170 Mantis | Dynacamp16 165-170 Mantis | Dynacamp18 165-170 Anuns | Dynacamp20 105-110 Anuns | North of Cyborg Hideout | South of Cyborg Hideout | Cyborg Border | Dynacamp 21 | Dynacamp 22","A great canyon devides this area in two, leading up to the main Mantis hive. | Mantis Cave | Mantis Hunting Ground | The dry and barren dunes make perfect condisions for the Mantis. They hunt in packs killing everything they encounter.","Mantis Cave","District:1000014; Area:1000029; Statel:1000026"
"585","Aegean","snake; dynacamp; rhinoman; hound; mechdog; anun; leet; flea; mob; rollerrat; creature","snakez | Dynacamp1 60-65 Rhinomen | Dynacamp3 55-60 Hounds | Dynacamp4 55-60 Androids | Dynacamp5 50-55 Androids | Dynacamp6 45-50 Mechdogs | Dynacamp7 40-45 Androids | Dynacamp8 45-50 Mantezes | Dynacamp9 45-50 Mantezes | Dynacamp10 60-65 Anuns | Dynacamp11 30-35 Leets | Dynacamp12 25-30 Fleas | FMOB | Dynacamp13 25-30 Fleas | Dynacamp14 40-45 Rollerrats | Dynacamp15 40-45 Hounds | Dynacamp16 15-20 Blubbags | Dynacamp17 25-30 Blubbags | Dynacamp18 25-30 Fleas | Dynacamp19 45-50 Hounds | Dynacamp20 60-65 Mantezes | This is probably where the builders of Bone Pass got their buildng material. But what killed those gigantic creatures? The Sun or their siblings?","snakez | Dynacamp1 60-65 Rhinomen | Dynacamp3 55-60 Hounds | Dynacamp4 55-60 Androids | Dynacamp5 50-55 Androids | Dynacamp6 45-50 Mechdogs | Dynacamp7 40-45 Androids | Dynacamp8 45-50 Mantezes | Dynacamp9 45-50 Mantezes | Dynacamp10 60-65 Anuns | Dynacamp11 30-35 Leets | Dynacamp12 25-30 Fleas | FMOB | Dynacamp13 25-30 Fleas | Dynacamp14 40-45 Rollerrats | Dynacamp15 40-45 Hounds | Dynacamp16 15-20 Blubbags | Dynacamp17 25-30 Blubbags | Dynacamp18 25-30 Fleas | Dynacamp19 45-50 Hounds | Dynacamp20 60-65 Mantezes","This is probably where the builders of Bone Pass got their buildng material. But what killed those gigantic creatures? The Sun or their siblings?","","District:1000014; Area:1000029"
"590","Central Artery Valley","dynacamp; snake; anun; spider; cyborg","Dynacamp1 130-135 Snakes | Dynacamp2 115-120 Anuns | Dynacamp3 120-125 Spiders | Dynacamp4 110-115 Spiders | Dynacamp5 105-110 Spiders | Dynacamp6 115-120 Spiders | Dynacamp7 140-145 Enigmas | Dynacamp8 135-140 Enigmas | Dynacamp9 100-105 Enigmas | Dynacamp10 95-100 Cyborgs | Dynacamp11 130-135 Enigmas | Dynacamp12 130-135 Enigmas | Dynacamp13 120-125 Spiders | Dynacamp14 165-170 Nanofreaks | Dynacamp15 120-125 Spiders | Dynacamp16 175-180 Snakes | Dynacamp17 125-130 Snakes | Dynacamp18 130-135 Anuns | Dynacamp20 200-205 Snakes","Dynacamp1 130-135 Snakes | Dynacamp2 115-120 Anuns | Dynacamp3 120-125 Spiders | Dynacamp4 110-115 Spiders | Dynacamp5 105-110 Spiders | Dynacamp6 115-120 Spiders | Dynacamp7 140-145 Enigmas | Dynacamp8 135-140 Enigmas | Dynacamp9 100-105 Enigmas | Dynacamp10 95-100 Cyborgs | Dynacamp11 130-135 Enigmas | Dynacamp12 130-135 Enigmas | Dynacamp13 120-125 Spiders | Dynacamp14 165-170 Nanofreaks | Dynacamp15 120-125 Spiders | Dynacamp16 175-180 Snakes | Dynacamp17 125-130 Snakes | Dynacamp18 130-135 Anuns | Dynacamp20 200-205 Snakes","","","District:1000014"
"595","Deep Artery Valley","monster","This marsh is actually quite peaceful. That however is because the smell here is so horrid that even the monsters stay away.","","This marsh is actually quite peaceful. That however is because the smell here is so horrid that even the monsters stay away.","","Area:1000029"
"600","Varmint Woods","rhinoman; bronto; dynacamp; mob; lizard; spider; leet","Main Rhinoman Village | East Rhinoman Village | West Rhinoman Village | Main Rhinoman Village Entrance | Minibronto Breeding Ground | Dynacamp1 60-65 Manteze | Dynacamp2 60-65 Manteze | Dynacamp3 55-60 Rhinomen | Dynacamp4 45-50 Rhinomen | Dynacamp5 50-55 Rhinomen | SMOB< | Dynacamp6 65-70 Rhinomen | Dynacamp7 60-65 Rhinomen | Dynacamp8 20-25 Lizards | Dynacamp9 51-56 Blubbags | Dynacamp10 50-55 Spiders | Dynacamp11 15-20 Lizards | Dynacamp12 60-65 Rhinomen | Dynacamp13 80-85 Rhinomen | SMOB` | Dynacamp14 105-110 Bileswarms | Dynacamp15 60-65 UnfinishedBreed | Dynacamp16 50-55 Blubbags | Dynacamp17 30-35 Leets | Dynacamp18 55-60 Manteze | Dynacamp19 60-65 Manteze | Dynacamp20 65-70 Manteze | Rhinoman Cracked Valley | Animal Burrow Near Rhinoman Village | Central Rhinoman Village | Animal Burrow Near Rhinoman VillageMove past this fern to enter.","Main Rhinoman Village | East Rhinoman Village | West Rhinoman Village | Main Rhinoman Village Entrance | Minibronto Breeding Ground | Dynacamp1 60-65 Manteze | Dynacamp2 60-65 Manteze | Dynacamp3 55-60 Rhinomen | Dynacamp4 45-50 Rhinomen | Dynacamp5 50-55 Rhinomen | SMOB< | Dynacamp6 65-70 Rhinomen | Dynacamp7 60-65 Rhinomen | Dynacamp8 20-25 Lizards | Dynacamp9 51-56 Blubbags | Dynacamp10 50-55 Spiders | Dynacamp11 15-20 Lizards | Dynacamp12 60-65 Rhinomen | Dynacamp13 80-85 Rhinomen | SMOB` | Dynacamp14 105-110 Bileswarms | Dynacamp15 60-65 UnfinishedBreed | Dynacamp16 50-55 Blubbags | Dynacamp17 30-35 Leets | Dynacamp18 55-60 Manteze | Dynacamp19 60-65 Manteze | Dynacamp20 65-70 Manteze","Rhinoman Cracked Valley | Animal Burrow Near Rhinoman Village | Central Rhinoman Village","Animal Burrow Near Rhinoman VillageMove past this fern to enter.","District:1000014; Area:1000029; Statel:1000026"
"605","Belial Forest","dynacamp; snake; lizard","Dynacamp1 140-145 Snakes | Dynacamp2 135-140 Enigmas | Dynacamp3 125-130 Ninjadroids | Dynacamp4 135-140 Quake Lizards | Dynacamp5 155-160 Pit Lizards | Dynacamp6 135-140 Quake Lizards | Dynacamp7 160-165 Pit Lizards | Dynacamp8 155-160 Snakes | Dynacamp9 110-115 Enigmas | Dynacamp10 130-135 Bileswarms | Dynacamp11 140-145 Nanofreaks | Dynacamp12 150-155 Snakes | Dynacamp13 155-160 Snakes | Dynacamp14 170-175 Swampghouls | Dynacamp15 165-170 Nanofreaks | Dynacamp16 160-165 Snakes | Dynacamp17 170-175 Swampghouls | Dynacamp18 135-140 Ninjadroids | Dynacamp19 135-140 Ninjadroids | Dynacamp20 110-115 Ottous","Dynacamp1 140-145 Snakes | Dynacamp2 135-140 Enigmas | Dynacamp3 125-130 Ninjadroids | Dynacamp4 135-140 Quake Lizards | Dynacamp5 155-160 Pit Lizards | Dynacamp6 135-140 Quake Lizards | Dynacamp7 160-165 Pit Lizards | Dynacamp8 155-160 Snakes | Dynacamp9 110-115 Enigmas | Dynacamp10 130-135 Bileswarms | Dynacamp11 140-145 Nanofreaks | Dynacamp12 150-155 Snakes | Dynacamp13 155-160 Snakes | Dynacamp14 170-175 Swampghouls | Dynacamp15 165-170 Nanofreaks | Dynacamp16 160-165 Snakes | Dynacamp17 170-175 Swampghouls | Dynacamp18 135-140 Ninjadroids | Dynacamp19 135-140 Ninjadroids | Dynacamp20 110-115 Ottous","","","District:1000014"
"610","Southern Artery Valley","creature; monster","This immense swamp is filled with all kinds of different creatures. | This part of the swamp is filled with the most deadly monsters. Travel with extreme caution. | A clan city now overrun by monsters","","This immense swamp is filled with all kinds of different creatures. | This part of the swamp is filled with the most deadly monsters. Travel with extreme caution. | A clan city now overrun by monsters","","Area:1000029"
"615","Southern Fouls Hills","mantis","Home of the Mantises and Gofles, dense forrest and plains, with a mountainrange dividing the plains and forrest appart.","","Home of the Mantises and Gofles, dense forrest and plains, with a mountainrange dividing the plains and forrest appart.","","Area:1000029"
"625","Milky Way","npc; mutant; cyborg","NPCS | Mutant main-camp | First mutant outpost | Second mutant outpost | Cyborg Barracks | Mutant | The prowler wastes. These wastelands are dominated by the mutants and large predators. There is precious little to find here besides trouble. | The ridge of Pikar's sacrifice. This ridge has its name form Pikar who unselfishly died seven times defending the factory from mutants. Then finally Omni-Tek decided to build military outposts here to help with the defence. The mutants still roam here, but there have not been any organized attacks since the outposts were built. | Cyborg","NPCS | Mutant main-camp | First mutant outpost | Second mutant outpost | Cyborg Barracks","Mutant | The prowler wastes. These wastelands are dominated by the mutants and large predators. There is precious little to find here besides trouble. | The ridge of Pikar's sacrifice. This ridge has its name form Pikar who unselfishly died seven times defending the factory from mutants. Then finally Omni-Tek decided to build military outposts here to help with the defence. The mutants still roam here, but there have not been any organized attacks since the outposts were built. | Cyborg","","District:1000014; Area:1000029"
"630","Pleasant Meadows","bronto; mutant","Bronto Pen' | This is mostly a barren area, with some reported mutant activity.","Bronto Pen'","This is mostly a barren area, with some reported mutant activity.","","District:1000014; Area:1000029"
"635","Stret East Bank","mutant","Mutant Cave | 5Mutant CaveMutant Cave. Entrance to a cave inhabited by mutants. | 9Whom-Pah to Mutant DomainLook above the entrance to see where this Whom-Pah leads.","","Mutant Cave","5Mutant CaveMutant Cave. Entrance to a cave inhabited by mutants. | 9Whom-Pah to Mutant DomainLook above the entrance to see where this Whom-Pah leads.","Area:1000029; Statel:1000026"
"640","C3s""D","creature","NLarsons HouseLarge Grotto. This grotto might be used as a den by the creatures in the area.","","","NLarsons HouseLarge Grotto. This grotto might be used as a den by the creatures in the area.","Statel:1000026"
"646","Tir County","mutant","Abandoned Mutant Dwelling | *Abandoned Mutant DwellingMove past this rock to enter the dwelling.","","Abandoned Mutant Dwelling","*Abandoned Mutant DwellingMove past this rock to enter the dwelling.","Area:1000029; Statel:1000026"
"647","Greater Tir County","cyborg; rhinoman; scorpiod","Cyborg Barracks Valley | Cyborg Barracks | Rhinoman Village Meeting Area | Scorpiod Hangout | Cyborg Encampment","Cyborg Barracks Valley | Cyborg Barracks | Rhinoman Village Meeting Area | Scorpiod Hangout","Cyborg Encampment","Cyborg Barracks","District:1000014; Area:1000029; Statel:1000026"
"655","Andromeda","leet; dynacamp; mutant; snake; spider; scorpiod","christmas_leets | Dynacamp01 Leets 30-35 | Dynacamp02 Shadowmutants 80-85 | Dynacamp03 Snakes 60-65 | Dynacamp04 Skin Spiders 75-80 | Dynacamp05 Scavenger Dogs 55-60 | Dynacamp06 Scorpiods 40-45 | Dynacamp07 Hammerbeasts 35-40 | Dynacamp08 Snakes 85-90 | Dynacamp09 Skin Spiders 75-80 | Dynacamp10 Shadowmutants 50-55 | Dynacamp11 Hammerbeasts 70-75","christmas_leets | Dynacamp01 Leets 30-35 | Dynacamp02 Shadowmutants 80-85 | Dynacamp03 Snakes 60-65 | Dynacamp04 Skin Spiders 75-80 | Dynacamp05 Scavenger Dogs 55-60 | Dynacamp06 Scorpiods 40-45 | Dynacamp07 Hammerbeasts 35-40 | Dynacamp08 Snakes 85-90 | Dynacamp09 Skin Spiders 75-80 | Dynacamp10 Shadowmutants 50-55 | Dynacamp11 Hammerbeasts 70-75","","","District:1000014"
"665","Broken Shores","creature; mutant","There was a time when one could seek shelter in these mountains, but now the creatures from the west are threatening the small population. | You are now entering the City  of Home, but beware! It isn't a nice home as long as the mutant king rules here. | Watch out for swimming out too far. Dangerous creatures are to find in the water. | You are now entering the City  of Home, but beware to call it your own Home, because the mutant king is guarding his treasure well.","","There was a time when one could seek shelter in these mountains, but now the creatures from the west are threatening the small population. | You are now entering the City  of Home, but beware! It isn't a nice home as long as the mutant king rules here. | Watch out for swimming out too far. Dangerous creatures are to find in the water. | You are now entering the City  of Home, but beware to call it your own Home, because the mutant king is guarding his treasure well.","","Area:1000029"
"670","Clondyke","bronto","Bronto pen","Bronto pen","","","District:1000014"
"685","Galway County","bronto","Bronto Burger Factory | Bronto Compound","Bronto Burger Factory | Bronto Compound","","","District:1000014"
"695","Lush Fields","mutant; bronto","Mutant Ruins 1 | Bronto Pen' | Mutant Dungeons 2 | Mutant Dungeons 3 | Mutant Domain | There is a lot of mutant activity here, but Omni-Tek has a military outpost to help fend them off. | a mutant cave | There is some mutant activity in this area.","Mutant Ruins 1 | Bronto Pen' | Mutant Dungeons 2 | Mutant Dungeons 3","Mutant Domain | There is a lot of mutant activity here, but Omni-Tek has a military outpost to help fend them off. | a mutant cave | There is some mutant activity in this area.","a mutant cave","District:1000014; Area:1000029; Statel:1000026"
"696","Mutant Domain","mutant","Mutant Ruins 2 | Mutant Dungeons 1 | Mutant Ruins 3 | Mutant Domain South | Mutant Domain Central | Mutant Domain North | There is a lot of mutant activity here, but Omni-Tek has a military outpost to help fend them off. | a mutant cave","Mutant Ruins 2 | Mutant Dungeons 1 | Mutant Ruins 3 | Mutant Domain South | Mutant Domain Central | Mutant Domain North","There is a lot of mutant activity here, but Omni-Tek has a military outpost to help fend them off. | a mutant cave","a mutant cave","District:1000014; Area:1000029; Statel:1000026"
"705","Omni1 Entertainment","mutant","9Whom-Pah to Mutant DomainLook above the entrance to see where this Whom-Pah leads.","","","9Whom-Pah to Mutant DomainLook above the entrance to see where this Whom-Pah leads.","Statel:1000026"
"716","Omni Forest","mutant; monster; leet; dynacamp; malle; biofreak; mob; flea; rhinoman; bronto","Mutant Swamps | Young Mutant Village | No Monsters District | Northern Mutant Swamp | Western Mutant Swamp | Leet Burrows | Small Mutant Hill | Dynacamp 1 - Igruana | Dynacamp 2 - Tentacle mutants | Dynacamp 3 - Blubbags | Dynacamp 5 - Malle | Dynacamp 6 - Biofreak | BMOB | Dynacamp 7 - Fleas | FMOB | Dynacamp 8 - Shadowmutants | Dynacamp 9 - Leets | Dynacamp 10 - Pareets | Dynacamp 11 - Rhinomen | SMOB | Dynacamp 12 - Aquaans | Dynacamp 13 - Nighthowler | Dynacamp 14 - Reets | Young Mutant Village Wall Entrance | Young Mutant Village Building | Minibronto Grazing Grounds | TYoung Mutant Village Wall EntranceYou wonder how this rock prevents your travels, but note that it can be moved aside. | Young Mutant Village BuildingOpen this door to enter.","Mutant Swamps | Young Mutant Village | No Monsters District | Northern Mutant Swamp | Western Mutant Swamp | Leet Burrows | Small Mutant Hill | Dynacamp 1 - Igruana | Dynacamp 2 - Tentacle mutants | Dynacamp 3 - Blubbags | Dynacamp 5 - Malle | Dynacamp 6 - Biofreak | BMOB | Dynacamp 7 - Fleas | FMOB | Dynacamp 8 - Shadowmutants | Dynacamp 9 - Leets | Dynacamp 10 - Pareets | Dynacamp 11 - Rhinomen | SMOB | Dynacamp 12 - Aquaans | Dynacamp 13 - Nighthowler | Dynacamp 14 - Reets","Young Mutant Village Wall Entrance | Young Mutant Village Building | Minibronto Grazing Grounds","TYoung Mutant Village Wall EntranceYou wonder how this rock prevents your travels, but note that it can be moved aside. | Young Mutant Village BuildingOpen this door to enter.","District:1000014; Area:1000029; Statel:1000026"
"717","Greater Omni Forest","mutant; bronto","Small Mutant Camp | Mutant Swamps | Mutant Village | Mutant Swamp Village | Mutant Swamp Village Wall Entrance | Mutant Swamp Village Caves | Mutant Swamp Village Building | Minibronto Grazing Grounds | Mutant Controlled Area | Small Mutant Village Wall Entrance | Small Mutant Village Building | Eastern Mutant Controlled Area | Mutant Village Wall Entrance | Mutant Village East Wall Entrance | Mutant Village Building | =Mutant Village Wall EntranceThis small rock is all that stands between you and Adventure! | =Mutant Village East Wall EntranceThis small rock is all that stands between you and Adventure! | 6Small Mutant Village Wall EntranceStep over this small rock to experience the adventure. | ,Mutant Swamp Village Wall EntranceProceed in an orderly manner past this rock. | 7Mutant Swamp Village CavesThis rock bars your way, but can be easily moved aside. | Mutant Village BuildingOpen this door to enter. | Small Mutant Village BuildingOpen this door to enter. | Mutant Swamp Village BuildingOpen this door to enter.","Small Mutant Camp | Mutant Swamps | Mutant Village | Mutant Swamp Village","Mutant Swamp Village Wall Entrance | Mutant Swamp Village Caves | Mutant Swamp Village Building | Minibronto Grazing Grounds | Mutant Controlled Area | Small Mutant Village Wall Entrance | Small Mutant Village Building | Eastern Mutant Controlled Area | Mutant Village Wall Entrance | Mutant Village East Wall Entrance | Mutant Village Building","=Mutant Village Wall EntranceThis small rock is all that stands between you and Adventure! | =Mutant Village East Wall EntranceThis small rock is all that stands between you and Adventure! | 6Small Mutant Village Wall EntranceStep over this small rock to experience the adventure. | ,Mutant Swamp Village Wall EntranceProceed in an orderly manner past this rock. | 7Mutant Swamp Village CavesThis rock bars your way, but can be easily moved aside. | Mutant Village BuildingOpen this door to enter. | Small Mutant Village BuildingOpen this door to enter. | Mutant Swamp Village BuildingOpen this door to enter.","District:1000014; Area:1000029; Statel:1000026"
"730","Rome Park","leet","christmas_leets","christmas_leets","","","District:1000014"
"790","Stret West Bank","snake; hound; bronto; mutant","Snake Land | Hound Land | Bronto Place | Snake Valley | Bronto Shore | Hound Notum Field | mutant lair","Snake Land | Hound Land | Bronto Place | Snake Valley | Bronto Shore | Hound Notum Field","mutant lair","mutant lair","District:1000014; Area:1000029; Statel:1000026"
"791","Holes in the Wall","hound; mutant; snake","Hound Land | Mutant Land | Snake Mountain | Snake Valley | Hound Land Mining","Hound Land | Mutant Land | Snake Mountain | Snake Valley | Hound Land Mining","","","District:1000014"
"795","The Longest Road","scorpiod","Scorpiod Den | Scorpiod Cave | Scorpiods hide among the sand dunes","Scorpiod Den | Scorpiod Cave","Scorpiods hide among the sand dunes","","District:1000014; Area:1000029"
"800","Borealis","leet; mutant","christmas_leets | Mutant Village&","christmas_leets | Mutant Village&","","","District:1000014"
"952","Clan Training","monster","Level 1 Monsters | No Monsters Border District | Level 1-4 Monsters | Level 1-3 Monsters | Level 1-2 Monsters","Level 1 Monsters | No Monsters Border District | Level 1-4 Monsters | Level 1-3 Monsters | Level 1-2 Monsters","","","District:1000014"
"954","Neutral Training","monster; mob","No Monster District | JMOB","No Monster District | JMOB","","","District:1000014"
"1510","Neutral Insurance building","spider","A Twice Augmented Waist Implant of Endurance - NimblenessThis A Twice Augmented Waist Implant of Endurance - Nimbleness is a large spider-like contraption of wires and flesh-friendly plastic fitting around and strengthening your waist.This implant enhances Stamina. and Agility.","","","A Twice Augmented Waist Implant of Endurance - NimblenessThis A Twice Augmented Waist Implant of Endurance - Nimbleness is a large spider-like contraption of wires and flesh-friendly plastic fitting around and strengthening your waist.This implant enhances Stamina. and Agility.","Statel:1000026"
"1833","Dng: Cyborg Barracks","cyborg","Cyborg Barracks","","Cyborg Barracks","","Area:1000029"
"4542","Central Elysium","spider; monster","Spiderdust District | Nomonster District I | Spiderdust Grove","Spiderdust District | Nomonster District I","Spiderdust Grove","","District:1000014; Area:1000029"
"4543","East of Elysium","monster; anun","Nomonster District I | Nomonster district II | Anunite Reservoir","Nomonster District I | Nomonster district II","Anunite Reservoir","","District:1000014; Area:1000029"
"4544","North of Elysium","spider; monster","Spidersand District | No district monsters","Spidersand District | No district monsters","","","District:1000014"
"4898","Broken Shores AI movie","creature; mutant","There was a time when one could seek shelter in these mountains, but now the creatures from the west are threatening the small population. | You are now entering the City  of Home, but beware! It isn't a nice home as long as the mutant king rules here. | Watch out for swimming out too far. Dangerous creatures are to find in the water. | You are now entering the City  of Home, but beware to call it your own Home, because the mutant king is guarding his treasure well.","","There was a time when one could seek shelter in these mountains, but now the creatures from the west are threatening the small population. | You are now entering the City  of Home, but beware! It isn't a nice home as long as the mutant king rules here. | Watch out for swimming out too far. Dangerous creatures are to find in the water. | You are now entering the City  of Home, but beware to call it your own Home, because the mutant king is guarding his treasure well.","","Area:1000029"
