CanonicalEnemyKey,MonsterDataId,TemplateId,DynelType,DisplayName,InternalName,EnemyFamily,EnemyArchetype,Faction,Side,ExpansionOrDataset,IsAttackable,IsHostileByDefault,IsBoss,IsUnique,IsQuestEnemy,IsMissionOnly,IsPetLike,IsTurret,MinimumLevel,MaximumLevel,ExactLevel,LevelSource,PlayfieldIds,PlayfieldNames,ZoneNames,DungeonNames,SpawnDefinitionIds,SpawnCoordinatesWhenAvailable,WeaponTemplateIds,WeaponNames,WeaponCategories,VisibleWeapon,AttackTemplateIds,AttackTypes,DamageTypes,AttackRange,AttackTime,RechargeTime,SpecialAttacks,NanoProgramIds,NanoProgramNames,SourceRecordIds,SourceDatFiles,EvidenceQuality,UnresolvedFields
external-aries,,,EXTERNAL_DOCUMENTED_ENEMY,Aries,,,named boss,,,,True,,True,True,,,False,False,,,,,[],"[""Pandemonium""]",[],[],[],[],[],[],"[""UNKNOWN""]",,[],[],[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""weapon or natural attack""]"
external-aztur-the-immortal,,,EXTERNAL_DOCUMENTED_ENEMY,Aztur the Immortal,,,named boss,,,,True,,True,True,,,False,False,,,,,[],[],[],[],[],[],[],[],"[""UNKNOWN""]",,[],[],[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""weapon or natural attack""]"
external-betrayer-of-memory,,,EXTERNAL_DOCUMENTED_ENEMY,Betrayer of Memory,,betrayer of memory,ordinary enemy,,,,True,,False,False,,,False,False,1,50,,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/low-level-encounter/steps-of-madness,[],"[""Steps of Madness""]","[""Steps of Madness""]",[],[],[],[],[],"[""MIXED_MELEE_AND_NANO""]",,[],"[""mixed melee and nano""]",[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""exact weapon or attack template""]"
external-bloodcreeper,,,EXTERNAL_DOCUMENTED_ENEMY,Bloodcreeper,,bloodcreeper,ordinary enemy,,,,True,,False,False,,,False,False,15,25,,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/low-level-encounter/condemned-subway,[],"[""Condemned Subway""]","[""Condemned Subway""]",[],[],[],[],[],"[""NATURAL_MELEE""]",,[],"[""natural melee""]",[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""exact weapon or attack template""]"
external-buckethead-techno-scavenger,,,EXTERNAL_DOCUMENTED_ENEMY,Buckethead Techno Scavenger,,techno scavenger,ordinary enemy,,,,True,,False,False,,,False,False,1,200,,https://www.ao-universe.com/guides/classic-ao/quests-guides-3/shoulderpads-quests,[],"[""Athen Shire"", ""Newland"", ""Wartorn Valley""]","[""Athen Shire"", ""Newland"", ""Wartorn Valley""]",[],[],[],[],[],"[""UNKNOWN_RANGED_WEAPON""]",,[],"[""unknown ranged weapon""]",[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""exact weapon or attack template""]"
external-buzzsaw-techno-scavenger,,,EXTERNAL_DOCUMENTED_ENEMY,Buzzsaw Techno Scavenger,,techno scavenger,ordinary enemy,,,,True,,False,False,,,False,False,1,200,,https://www.ao-universe.com/guides/classic-ao/quests-guides-3/shoulderpads-quests,[],"[""Athen Shire"", ""Newland"", ""Wartorn Valley""]","[""Athen Shire"", ""Newland"", ""Wartorn Valley""]",[],[],[],[],[],"[""UNKNOWN_RANGED_WEAPON""]",,[],"[""unknown ranged weapon""]",[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""exact weapon or attack template""]"
external-cancer,,,EXTERNAL_DOCUMENTED_ENEMY,Cancer,,,named boss,,,,True,,True,True,,,False,False,,,,,[],"[""Pandemonium""]",[],[],[],[],[],[],"[""UNKNOWN""]",,[],[],[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""weapon or natural attack""]"
external-capricorn,,,EXTERNAL_DOCUMENTED_ENEMY,Capricorn,,,named boss,,,,True,,True,True,,,False,False,,,,,[],"[""Pandemonium""]",[],[],[],[],[],[],"[""UNKNOWN""]",,[],[],[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""weapon or natural attack""]"
external-clan-modified-a-4000,,,EXTERNAL_DOCUMENTED_ENEMY,Clan Modified A-4000,,,named boss,,,,True,,True,True,,,False,False,,,,,[],[],[],[],[],[],[],[],"[""UNKNOWN""]",,[],[],[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""weapon or natural attack""]"
external-clan-modified-a-4001,,,EXTERNAL_DOCUMENTED_ENEMY,Clan Modified A-4001,,,named boss,,,,True,,True,True,,,False,False,,,,,[],[],[],[],[],[],[],[],"[""UNKNOWN""]",,[],[],[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""weapon or natural attack""]"
external-clawfinger-forefather,,,EXTERNAL_DOCUMENTED_ENEMY,Clawfinger Forefather,,,named boss,,,,True,,True,True,,,False,False,,,,,[],[],[],[],[],[],[],[],"[""UNKNOWN""]",,[],[],[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""weapon or natural attack""]"
external-commander-jocasta,,,EXTERNAL_DOCUMENTED_ENEMY,Commander Jocasta,,,named boss,,,,True,,True,True,,,False,False,,,,,[],[],[],[],[],[],[],[],"[""UNKNOWN""]",,[],[],[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""weapon or natural attack""]"
external-commander-kelly-frederickson,,,EXTERNAL_DOCUMENTED_ENEMY,Commander Kelly Frederickson,,,named boss,,,,True,,True,True,,,False,False,,,,,[],[],[],[],[],[],[],[],"[""UNKNOWN""]",,[],[],[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""weapon or natural attack""]"
external-cultist,,,EXTERNAL_DOCUMENTED_ENEMY,Cultist,,cultist,ordinary enemy,,,,True,,False,False,,,False,False,25,60,,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/low-level-encounter/temple-of-three-winds,[],"[""Temple of Three Winds""]","[""Temple of Three Winds""]",[],[],[],[],[],"[""UNKNOWN_MELEE_WEAPON""]",,[],"[""unknown melee weapon""]",[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""exact weapon or attack template""]"
external-cuty,,,EXTERNAL_DOCUMENTED_ENEMY,Cuty,,,named boss,,,,True,,True,True,,,False,False,,,,,[],[],[],[],[],[],[],[],"[""UNKNOWN""]",,[],[],[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""weapon or natural attack""]"
external-defender-of-the-three,,,EXTERNAL_DOCUMENTED_ENEMY,Defender of the Three,,,ordinary enemy,,,,True,,False,False,,,False,False,,,,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3,[],[],[],[],[],[],[],[],"[""UNKNOWN""]",,[],"[""unknown""]",[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""exact weapon or attack template""]"
external-den-hive-guardian,,,EXTERNAL_DOCUMENTED_ENEMY,Den Hive Guardian,,den hive guardian,ordinary enemy,,,,True,,False,False,,,False,False,180,180,,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/mid-level-encounter/the-mantis-and-smugglers-den,[],"[""Smuggler's Den""]","[""Smuggler's Den""]",[],[],[],[],[],"[""CLAWS""]",,[],"[""claws""]",[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""exact weapon or attack template""]"
external-den-mantis,,,EXTERNAL_DOCUMENTED_ENEMY,Den Mantis,,den mantis,ordinary enemy,,,,True,,False,False,,,False,False,90,180,,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/mid-level-encounter/the-mantis-and-smugglers-den,[],"[""Smuggler's Den""]","[""Smuggler's Den""]",[],[],[],[],[],"[""CLAWS""]",,[],"[""claws""]",[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""exact weapon or attack template""]"
external-den-mantis-breeder,,,EXTERNAL_DOCUMENTED_ENEMY,Den Mantis Breeder,,den mantis,ordinary enemy,,,,True,,False,False,,,False,False,90,180,,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/mid-level-encounter/the-mantis-and-smugglers-den,[],"[""Smuggler's Den""]","[""Smuggler's Den""]",[],[],[],[],[],"[""CLAWS""]",,[],"[""claws""]",[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""exact weapon or attack template""]"
external-den-smuggler,,,EXTERNAL_DOCUMENTED_ENEMY,Den Smuggler,,den smuggler,ordinary enemy,,,,True,,False,False,,,False,False,110,150,,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/mid-level-encounter/the-mantis-and-smugglers-den,[],"[""Smuggler's Den""]","[""Smuggler's Den""]",[],[],[],[],[],"[""UNKNOWN_RANGED_WEAPON""]",,[],"[""unknown ranged weapon""]",[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""exact weapon or attack template""]"
external-den-smuggler-pilot,,,EXTERNAL_DOCUMENTED_ENEMY,Den Smuggler Pilot,,den smuggler,ordinary enemy,,,,True,,False,False,,,False,False,110,150,,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/mid-level-encounter/the-mantis-and-smugglers-den,[],"[""Smuggler's Den""]","[""Smuggler's Den""]",[],[],[],[],[],"[""UNKNOWN_RANGED_WEAPON""]",,[],"[""unknown ranged weapon""]",[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""exact weapon or attack template""]"
external-diamondine-soldier,,,EXTERNAL_DOCUMENTED_ENEMY,Diamondine Soldier,,,named boss,,,,True,,True,True,,,False,False,,,,,[],[],[],[],[],[],[],[],"[""UNKNOWN""]",,[],[],[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""weapon or natural attack""]"
external-diamondine-trainee,,,EXTERNAL_DOCUMENTED_ENEMY,Diamondine Trainee,,,named boss,,,,True,,True,True,,,False,False,,,,,[],[],[],[],[],[],[],[],"[""UNKNOWN""]",,[],[],[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""weapon or natural attack""]"
external-ding,,,EXTERNAL_DOCUMENTED_ENEMY,Ding,,,named boss,,,,True,,True,True,,,False,False,,,,,[],[],[],[],[],[],[],[],"[""UNKNOWN""]",,[],[],[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""weapon or natural attack""]"
external-dominus-facut,,,EXTERNAL_DOCUMENTED_ENEMY,Dominus Facut,,,named boss,,,,True,,True,True,,,False,False,,,,,[],[],[],[],[],[],[],[],"[""UNKNOWN""]",,[],[],[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""weapon or natural attack""]"
external-dominus-jiannu,,,EXTERNAL_DOCUMENTED_ENEMY,Dominus Jiannu,,,named boss,,,,True,,True,True,,,False,False,,,,,[],[],[],[],[],[],[],[],"[""UNKNOWN""]",,[],[],[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""weapon or natural attack""]"
external-dominus-ummoh,,,EXTERNAL_DOCUMENTED_ENEMY,Dominus Ummoh,,,named boss,,,,True,,True,True,,,False,False,,,,,[],[],[],[],[],[],[],[],"[""UNKNOWN""]",,[],[],[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""weapon or natural attack""]"
external-elian-zuwadza,,,EXTERNAL_DOCUMENTED_ENEMY,Elian Zuwadza,,,named boss,,,,True,,True,True,,,False,False,,,,,[],[],[],[],[],[],[],[],"[""UNKNOWN""]",,[],[],[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""weapon or natural attack""]"
external-emotional-sponge,,,EXTERNAL_DOCUMENTED_ENEMY,Emotional Sponge,,,ordinary enemy,,,,True,,False,False,,,False,False,,,,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3,[],[],[],[],[],[],[],[],"[""UNKNOWN""]",,[],"[""unknown""]",[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""exact weapon or attack template""]"
external-eradicator-deimos,,,EXTERNAL_DOCUMENTED_ENEMY,Eradicator Deimos,,,named boss,,,,True,,True,True,,,False,False,,,,,[],[],[],[],[],[],[],[],"[""UNKNOWN""]",,[],[],[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""weapon or natural attack""]"
external-escaped-gargantula,,,EXTERNAL_DOCUMENTED_ENEMY,Escaped Gargantula,,,named boss,,,,True,,True,True,,,False,False,,,,,[],[],[],[],[],[],[],[],"[""UNKNOWN""]",,[],[],[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""weapon or natural attack""]"
external-eternal-guardian,,,EXTERNAL_DOCUMENTED_ENEMY,Eternal Guardian,,,ordinary enemy,,,,True,,False,False,,,False,False,,,,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3,[],[],[],[],[],[],[],[],"[""UNKNOWN""]",,[],"[""unknown""]",[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""exact weapon or attack template""]"
external-eternal-sentinel,,,EXTERNAL_DOCUMENTED_ENEMY,Eternal Sentinel,,,ordinary enemy,,,,True,,False,False,,,False,False,,,,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3,[],[],[],[],[],[],[],[],"[""UNKNOWN""]",,[],"[""unknown""]",[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""exact weapon or attack template""]"
external-exarch,,,EXTERNAL_DOCUMENTED_ENEMY,Exarch,,exarch,ordinary enemy,,,,True,,False,False,,,False,False,25,60,,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/low-level-encounter/temple-of-three-winds,[],"[""Temple of Three Winds""]","[""Temple of Three Winds""]",[],[],[],[],[],"[""UNKNOWN_MELEE_WEAPON""]",,[],"[""unknown melee weapon""]",[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""exact weapon or attack template""]"
external-exarch-truan,,,EXTERNAL_DOCUMENTED_ENEMY,Exarch Truan,,exarch,ordinary enemy,,,,True,,False,False,,,False,False,25,60,,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/low-level-encounter/temple-of-three-winds,[],"[""Temple of Three Winds""]","[""Temple of Three Winds""]",[],[],[],[],[],"[""UNKNOWN_MELEE_WEAPON""]",,[],"[""unknown melee weapon""]",[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""exact weapon or attack template""]"
external-fiery-soldier,,,EXTERNAL_DOCUMENTED_ENEMY,Fiery Soldier,,,named boss,,,,True,,True,True,,,False,False,,,,,[],[],[],[],[],[],[],[],"[""UNKNOWN""]",,[],[],[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""weapon or natural attack""]"
external-gartua-the-doorkeeper,,,EXTERNAL_DOCUMENTED_ENEMY,Gartua the Doorkeeper,,,named boss,,,,True,,True,True,,,False,False,,,,,[],[],[],[],[],[],[],[],"[""UNKNOWN""]",,[],[],[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""weapon or natural attack""]"
external-gemini,,,EXTERNAL_DOCUMENTED_ENEMY,Gemini,,,named boss,,,,True,,True,True,,,False,False,,,,,[],"[""Pandemonium""]",[],[],[],[],[],[],"[""UNKNOWN""]",,[],[],[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""weapon or natural attack""]"
external-general-kaehler-jr,,,EXTERNAL_DOCUMENTED_ENEMY,General Kaehler Jr,,,named boss,,,,True,,True,True,,,False,False,,,,,[],[],[],[],[],[],[],[],"[""UNKNOWN""]",,[],[],[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""weapon or natural attack""]"
external-general-kronilis,,,EXTERNAL_DOCUMENTED_ENEMY,General Kronilis,,,named boss,,,,True,,True,True,,,False,False,,,,,[],[],[],[],[],[],[],[],"[""UNKNOWN""]",,[],[],[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""weapon or natural attack""]"
external-general-nirtox,,,EXTERNAL_DOCUMENTED_ENEMY,General Nirtox,,,named boss,,,,True,,True,True,,,False,False,,,,,[],[],[],[],[],[],[],[],"[""UNKNOWN""]",,[],[],[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""weapon or natural attack""]"
external-general-serverus,,,EXTERNAL_DOCUMENTED_ENEMY,General Serverus,,,named boss,,,,True,,True,True,,,False,False,,,,,[],[],[],[],[],[],[],[],"[""UNKNOWN""]",,[],[],[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""weapon or natural attack""]"
external-general-vivyan,,,EXTERNAL_DOCUMENTED_ENEMY,General Vivyan,,,named boss,,,,True,,True,True,,,False,False,,,,,[],[],[],[],[],[],[],[],"[""UNKNOWN""]",,[],[],[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""weapon or natural attack""]"
external-george,,,EXTERNAL_DOCUMENTED_ENEMY,George,,,named boss,,,,True,,True,True,,,False,False,,,,,[],[],[],[],[],[],[],[],"[""UNKNOWN""]",,[],[],[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""weapon or natural attack""]"
external-guardian-of-tomorrow,,,EXTERNAL_DOCUMENTED_ENEMY,Guardian of Tomorrow,,,named boss,,,,True,,True,True,,,False,False,,,,,[],[],[],[],[],[],[],[],"[""UNKNOWN""]",,[],[],[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""weapon or natural attack""]"
external-heckler-of-elements,,,EXTERNAL_DOCUMENTED_ENEMY,Heckler of Elements,,heckler,ordinary enemy,,,,True,,False,False,,,False,False,1,250,,https://wiki.aodb.us/wiki/Shadowlands_Missions,[],"[""Shadowlands""]","[""Shadowlands""]",[],[],[],[],[],"[""NATURAL_MELEE""]",,[],"[""natural melee""]",[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""exact weapon or attack template""]"
external-hezak-the-immortal,,,EXTERNAL_DOCUMENTED_ENEMY,Hezak the Immortal,,,named boss,,,,True,,True,True,,,False,False,,,,,[],[],[],[],[],[],[],[],"[""UNKNOWN""]",,[],[],[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""weapon or natural attack""]"
external-high-commander-frederickson,,,EXTERNAL_DOCUMENTED_ENEMY,High Commander Frederickson,,,named boss,,,,True,,True,True,,,False,False,,,,,[],[],[],[],[],[],[],[],"[""UNKNOWN""]",,[],[],[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""weapon or natural attack""]"
external-ian-warr,,,EXTERNAL_DOCUMENTED_ENEMY,Ian Warr,,,named boss,,,,True,,True,True,,,False,False,,,,,[],[],[],[],[],[],[],[],"[""UNKNOWN""]",,[],[],[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""weapon or natural attack""]"
external-infector,,,EXTERNAL_DOCUMENTED_ENEMY,Infector,,infector,ordinary enemy,,,,True,,False,False,,,False,False,15,25,,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/low-level-encounter/condemned-subway,[],"[""Condemned Subway""]","[""Condemned Subway""]",[],[],[],[],[],"[""NATURAL_MELEE""]",,[],"[""natural melee""]",[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""exact weapon or attack template""]"
external-inobak-the-gelid,,,EXTERNAL_DOCUMENTED_ENEMY,Inobak the Gelid,,,named boss,,,,True,,True,True,,,False,False,,,,,[],[],[],[],[],[],[],[],"[""UNKNOWN""]",,[],[],[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""weapon or natural attack""]"
external-iskop-the-idolator,,,EXTERNAL_DOCUMENTED_ENEMY,Iskop the Idolator,,,named boss,,,,True,,True,True,,,False,False,,,,,[],[],[],[],[],[],[],[],"[""UNKNOWN""]",,[],[],[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""weapon or natural attack""]"
external-jealousy,,,EXTERNAL_DOCUMENTED_ENEMY,Jealousy,,jealousy,ordinary enemy,,,,True,,False,False,,,False,False,1,50,,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/low-level-encounter/steps-of-madness,[],"[""Steps of Madness""]","[""Steps of Madness""]",[],[],[],[],[],"[""MIXED_MELEE_AND_NANO""]",,[],"[""mixed melee and nano""]",[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""exact weapon or attack template""]"
external-jeru-the-defiler,,,EXTERNAL_DOCUMENTED_ENEMY,Jeru the Defiler,,,named boss,,,,True,,True,True,,,False,False,,,,,[],[],[],[],[],[],[],[],"[""UNKNOWN""]",,[],[],[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""weapon or natural attack""]"
external-joo,,,EXTERNAL_DOCUMENTED_ENEMY,Joo,,,named boss,,,,True,,True,True,,,False,False,,,,,[],[],[],[],[],[],[],[],"[""UNKNOWN""]",,[],[],[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""weapon or natural attack""]"
external-junkbot-tech-scavenger,,,EXTERNAL_DOCUMENTED_ENEMY,Junkbot Tech Scavenger,,,ordinary enemy,,,,True,,False,False,,,False,False,,,,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3,[],[],[],[],[],[],[],[],"[""UNKNOWN""]",,[],"[""unknown""]",[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""exact weapon or attack template""]"
external-khalum,,,EXTERNAL_DOCUMENTED_ENEMY,Khalum,,,named boss,,,,True,,True,True,,,False,False,,,,,[],[],[],[],[],[],[],[],"[""UNKNOWN""]",,[],[],[],,,,[],[],[],[],[],COMMUNITY_DOCUMENTED,"[""RDB mapping"", ""weapon or natural attack""]"
