CanonicalEnemyKey,EnemyName,Configuration,WeaponCategory,Source,Confidence,Notes
external-34-ii-handyman,34-II Handyman,unknown,UNKNOWN,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-jealousy,Jealousy,mixed melee and nano,MIXED_MELEE_AND_NANO,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/low-level-encounter/steps-of-madness,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-junkbot-tech-scavenger,Junkbot Tech Scavenger,unknown,UNKNOWN,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-legionnaire,Legionnaire,unknown melee weapon,UNKNOWN_MELEE_WEAPON,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/low-level-encounter/temple-of-three-winds,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-melded-pattern,Melded Pattern,unknown,UNKNOWN,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-mind-shard,Mind Shard,nano caster,NANO_CASTER,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/low-level-encounter/steps-of-madness,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-notum-habit,Notum Habit,nano caster,NANO_CASTER,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/low-level-encounter/steps-of-madness,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-patrol-mech-dog,Patrol Mech Dog,bite,BITE,https://www.ao-universe.com/guides/classic-ao/quests-guides-3/shoulderpads-quests,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-preceptor-brell,Preceptor Brell,mixed melee and nano,MIXED_MELEE_AND_NANO,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/high-level-encounter-2/the-inner-sanctum,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-preceptor-coshi,Preceptor Coshi,mixed melee and nano,MIXED_MELEE_AND_NANO,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/high-level-encounter-2/the-inner-sanctum,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-pulsing-hatred,Pulsing Hatred,natural melee,NATURAL_MELEE,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/low-level-encounter/steps-of-madness,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-redeemed-custodian,Redeemed Custodian,mixed melee and nano,MIXED_MELEE_AND_NANO,https://wiki.aodb.us/wiki/Shadowlands_Missions,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-regeneration-conduit,Regeneration Conduit,nano caster,NANO_CASTER,https://www.ao-universe.com/guides/alien-invasion/quests-guides/sector-10-alien-playfield,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-reverend-gulard,Reverend Gulard,unknown,UNKNOWN,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-reverend-hyuan,Reverend Hyuan,unknown,UNKNOWN,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-shadow,Shadow,natural melee,NATURAL_MELEE,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/low-level-encounter/condemned-subway,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-sizzling-synaptid,Sizzling Synaptid,energy attack,ENERGY_ATTACK,https://wiki.aodb.us/wiki/Shadowlands_Missions,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-slum-runner,Slum Runner,unknown melee weapon,UNKNOWN_MELEE_WEAPON,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/low-level-encounter/condemned-subway,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-smuggler-droid,Smuggler Droid,unknown,UNKNOWN,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-smuggler-frother,Smuggler Frother,unknown melee weapon,UNKNOWN_MELEE_WEAPON,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/mid-level-encounter/the-mantis-and-smugglers-den,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-smuggler-outcast,Smuggler Outcast,unknown ranged weapon,UNKNOWN_RANGED_WEAPON,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/mid-level-encounter/the-mantis-and-smugglers-den,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-smuggler-turret,Smuggler Turret,unknown,UNKNOWN,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-stinger,Stinger,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Shadowlands_Missions,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-suppressed-emotion,Suppressed Emotion,mixed melee and nano,MIXED_MELEE_AND_NANO,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/low-level-encounter/steps-of-madness,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-the-re-animator,The Re-Animator,unknown,UNKNOWN,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-uncontrollable-anger,Uncontrollable Anger,unknown,UNKNOWN,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-unhallowed-soul,Unhallowed Soul,energy attack,ENERGY_ATTACK,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/high-level-encounter-2/the-inner-sanctum,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-unredeemed-custodian,Unredeemed Custodian,mixed melee and nano,MIXED_MELEE_AND_NANO,https://wiki.aodb.us/wiki/Shadowlands_Missions,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-waste-collector,Waste Collector,unknown melee weapon,UNKNOWN_MELEE_WEAPON,https://www.ao-universe.com/guides/classic-ao/quests-guides-3/shoulderpads-quests,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-waste-disposer,Waste Disposer,unknown melee weapon,UNKNOWN_MELEE_WEAPON,https://www.ao-universe.com/guides/classic-ao/quests-guides-3/shoulderpads-quests,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-windcaller-rendal,Windcaller Rendal,unknown,UNKNOWN,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
external-windcaller-yatila,Windcaller Yatila,unknown,UNKNOWN,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-116714,home guard,unknown ranged weapon,UNKNOWN_RANGED_WEAPON,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-154698,ninjadroid boss,unknown melee weapon,UNKNOWN_MELEE_WEAPON,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-155071,rhinoman albino,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-157180,leet2,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-157321,mantis boss,claws,CLAWS,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-158177,mantis baby,claws,CLAWS,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-159085,atrox thin male brute,natural melee,NATURAL_MELEE,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-159086,solitus thin female brute,natural melee,NATURAL_MELEE,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-165193,nanofemale_ah_curiouscolonist,natural melee,NATURAL_MELEE,https://www.ao-universe.com/guides/alien-invasion/quests-guides/sector-10-alien-playfield,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-17627,protodroid,unknown ranged weapon,UNKNOWN_RANGED_WEAPON,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-17637,cyborg soldier - female bader,unknown ranged weapon,UNKNOWN_RANGED_WEAPON,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-17639,cyborg soldier - male bader,unknown ranged weapon,UNKNOWN_RANGED_WEAPON,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-17641,cyborg soldier - felmale bad,unknown ranged weapon,UNKNOWN_RANGED_WEAPON,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-17643,cyborg soldier - male,unknown ranged weapon,UNKNOWN_RANGED_WEAPON,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-17645,cyborg soldier - male bad,unknown ranged weapon,UNKNOWN_RANGED_WEAPON,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-17647,cyborg soldier - female,unknown ranged weapon,UNKNOWN_RANGED_WEAPON,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-17649,android,unknown ranged weapon,UNKNOWN_RANGED_WEAPON,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-17655,leet,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-17660,malle,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-17664,rhinoman,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-17687,rollerrat,bite,BITE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-17710,pit lizard,bite,BITE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-17712,sandworm,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-17714,organic waste collector,unknown melee weapon,UNKNOWN_MELEE_WEAPON,https://www.ao-universe.com/guides/classic-ao/quests-guides-3/shoulderpads-quests,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-17716,enigma,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-201533,lctower_guard_small,unknown ranged weapon,UNKNOWN_RANGED_WEAPON,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-201634,lctower_guard_big,unknown ranged weapon,UNKNOWN_RANGED_WEAPON,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-203724,high commander hoover,unknown ranged weapon,UNKNOWN_RANGED_WEAPON,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-203730,neural burnout,nano caster,NANO_CASTER,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/low-level-encounter/condemned-subway,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-203734,mugger,unknown melee weapon,UNKNOWN_MELEE_WEAPON,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-203739,stim fiend,natural melee,NATURAL_MELEE,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/low-level-encounter/condemned-subway,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-203741,workman striker,unknown melee weapon,UNKNOWN_MELEE_WEAPON,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/low-level-encounter/condemned-subway,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-203743,architect striker(robe),unknown melee weapon,UNKNOWN_MELEE_WEAPON,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/low-level-encounter/condemned-subway,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-203745,looter(robe),unknown melee weapon,UNKNOWN_MELEE_WEAPON,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-203854,workman striker(robe),unknown melee weapon,UNKNOWN_MELEE_WEAPON,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/low-level-encounter/condemned-subway,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-205940,crypt guardian,unknown ranged weapon,UNKNOWN_RANGED_WEAPON,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-205943,awakened pit demon,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-206792,vanguard commander_female,unknown ranged weapon,UNKNOWN_RANGED_WEAPON,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-206793,vanguard commander_male,unknown ranged weapon,UNKNOWN_RANGED_WEAPON,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-206794,vanguard watcher,unknown ranged weapon,UNKNOWN_RANGED_WEAPON,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-207475,turret,turret weapon,TURRET_WEAPON,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-209143,sl_essence eremite,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Shadowlands_Missions,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-209150,sl_rotting eremite,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Shadowlands_Missions,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-209158,sl_rippled eremite,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Shadowlands_Missions,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-209165,sl_sparkling eremite,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Shadowlands_Missions,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-209319,sl_croaker of night,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Shadowlands_Missions,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-209326,sl_croaker of light,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Shadowlands_Missions,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-209347,sl_weaver of shadow,natural melee,NATURAL_MELEE,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/low-level-encounter/condemned-subway,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-209361,sl_weaver of spirits,energy attack,ENERGY_ATTACK,https://wiki.aodb.us/wiki/Shadowlands_Missions,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-209368,sl_mortiig,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Shadowlands_Missions,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-209395,sl_mortiig predator,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Shadowlands_Missions,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-210237,security camera,natural melee,NATURAL_MELEE,https://www.ao-universe.com/guides/alien-invasion/quests-guides/sector-10-alien-playfield,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-210238,security guard,natural melee,NATURAL_MELEE,https://www.ao-universe.com/guides/alien-invasion/quests-guides/sector-10-alien-playfield,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-210582,guardian_of_shadows,natural melee,NATURAL_MELEE,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/low-level-encounter/condemned-subway,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-214119,sl_redeemed2_fire_suir,mixed melee and nano,MIXED_MELEE_AND_NANO,https://wiki.aodb.us/wiki/Shadowlands_Missions,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-214121,sl_redeemed2_water_suir,mixed melee and nano,MIXED_MELEE_AND_NANO,https://wiki.aodb.us/wiki/Shadowlands_Missions,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-214122,sl_redeemed2_earth_suir,mixed melee and nano,MIXED_MELEE_AND_NANO,https://wiki.aodb.us/wiki/Shadowlands_Missions,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-214123,sl_redeemed2_air_suir,mixed melee and nano,MIXED_MELEE_AND_NANO,https://wiki.aodb.us/wiki/Shadowlands_Missions,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-214978,sl_twisted horror,mixed melee and nano,MIXED_MELEE_AND_NANO,https://wiki.aodb.us/wiki/Shadowlands_Missions,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-215847,psionic_eremite_nomove,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Shadowlands_Missions,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-216990,sl_spirit_redeemed female,mixed melee and nano,MIXED_MELEE_AND_NANO,https://wiki.aodb.us/wiki/Shadowlands_Missions,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-217006,sl_spirit_redeemed_female,mixed melee and nano,MIXED_MELEE_AND_NANO,https://wiki.aodb.us/wiki/Shadowlands_Missions,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-217007,sl_spirits_unredeemed_male,mixed melee and nano,MIXED_MELEE_AND_NANO,https://wiki.aodb.us/wiki/Pandemonium,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-217008,sl_spirit_unredeemed_female,mixed melee and nano,MIXED_MELEE_AND_NANO,https://wiki.aodb.us/wiki/Pandemonium,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-217019,sl_spirits_redeemed_male,mixed melee and nano,MIXED_MELEE_AND_NANO,https://wiki.aodb.us/wiki/Shadowlands_Missions,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-217022,sl_spirits_redeemed_female_,mixed melee and nano,MIXED_MELEE_AND_NANO,https://wiki.aodb.us/wiki/Shadowlands_Missions,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-218695,sl_pet_predators,natural melee,NATURAL_MELEE,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-218783,sl_pet_slayers,unknown melee weapon,UNKNOWN_MELEE_WEAPON,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-223561,sl_prime devorer_bileswarm colossus,natural ranged,NATURAL_RANGED,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-225815,sl_redeemed_guardtower,mixed melee and nano,MIXED_MELEE_AND_NANO,https://wiki.aodb.us/wiki/Shadowlands_Missions,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-225818,sl_redeemed_controltower,mixed melee and nano,MIXED_MELEE_AND_NANO,https://wiki.aodb.us/wiki/Shadowlands_Missions,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-226880,shadowleet,natural melee,NATURAL_MELEE,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/low-level-encounter/condemned-subway,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-227701,sl_corporate guardian,unknown ranged weapon,UNKNOWN_RANGED_WEAPON,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
