Level,Q0,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Tokens
40,28,30,32,34,36,40,44,48,52,60,71,2
41,28,30,32,34,36,41,45,49,53,61,73,2
42,29,31,33,35,37,42,46,50,54,63,75,2
43,30,32,34,36,38,43,47,51,55,64,77,2
44,30,33,35,37,39,44,48,52,57,66,78,2
45,31,33,36,38,40,45,49,54,58,67,80,2
46,32,34,36,39,41,46,50,55,59,69,82,2
47,32,35,37,39,42,47,51,56,61,70,84,2
48,33,36,38,40,43,48,52,57,62,72,85,2
49,34,36,39,41,44,49,53,58,63,73,87,2
50,35,37,40,42,45,50,55,60,65,75,89,3
51,35,38,40,43,45,51,56,61,66,76,91,3
52,36,39,41,44,46,52,57,62,67,78,92,3
53,37,39,42,45,47,53,58,63,68,79,95,3
54,37,40,43,45,48,54,59,64,70,81,97,3
55,38,41,44,46,49,55,60,66,71,82,98,3
56,39,42,44,47,50,56,61,67,72,84,100,3
57,39,42,45,48,51,57,62,68,74,85,102,3
58,40,43,46,49,52,58,63,69,75,87,103,3
59,41,44,47,50,53,59,64,70,76,88,105,3
60,42,45,48,51,54,60,66,72,78,90,108,3
61,42,45,48,51,54,61,67,73,79,91,109,3
62,43,46,49,52,55,62,68,74,80,93,110,3
63,44,47,50,53,56,63,69,75,81,94,112,3
64,44,48,51,54,57,64,70,76,83,96,114,3
65,45,48,52,55,58,65,71,78,84,97,116,3
66,46,49,52,56,59,66,72,79,85,99,118,3
67,46,50,53,56,60,67,73,80,87,100,120,3
68,47,51,54,57,61,68,74,81,88,102,121,3
69,48,51,55,58,62,69,75,82,89,103,123,3
70,49,52,56,59,63,70,77,84,91,105,125,3
71,49,53,56,60,63,71,78,85,92,106,127,3
72,50,54,57,61,64,72,79,86,93,108,128,3
73,51,54,58,62,65,73,80,87,94,109,130,3
74,51,55,59,62,66,74,81,88,96,111,132,3
75,52,56,60,63,67,75,82,90,97,112,134,4
76,53,57,60,64,68,76,83,91,98,114,135,4
77,53,57,60,64,69,77,84,91,100,115,137,4
78,54,58,62,66,70,78,85,93,101,117,138,4
79,55,59,63,67,71,79,86,94,102,118,139,4
80,56,60,64,68,72,80,88,96,104,120,144,4
81,56,60,64,68,72,81,89,97,105,121,145,4
82,57,61,65,69,73,82,90,98,106,123,146,4
83,58,62,66,70,74,83,91,99,107,124,148,4
84,58,63,67,71,75,84,92,100,109,126,149,4
85,59,63,68,72,76,85,93,102,110,127,151,4
86,60,64,68,73,77,86,94,103,111,129,154,4
87,60,65,69,73,78,87,95,104,113,130,155,4
88,61,66,70,74,79,88,96,105,114,132,157,4
89,62,66,71,75,80,89,97,106,115,133,159,4
90,63,67,72,76,81,90,99,108,117,135,161,4
91,63,68,72,77,81,91,100,109,118,136,163,4
92,64,69,73,78,82,92,101,110,119,138,164,4
93,65,69,74,79,83,93,102,111,120,139,166,4
94,65,70,75,79,84,94,103,112,122,141,168,4
95,66,71,76,80,85,95,104,114,123,142,170,4
96,67,72,76,81,86,96,105,115,124,144,171,4
97,67,72,77,82,87,97,106,116,126,145,173,4
98,68,73,78,83,88,98,107,117,127,147,175,4
99,69,74,79,84,89,99,108,118,128,148,177,4
100,70,75,80,85,90,100,110,120,130,150,179,5
101,70,75,80,85,90,101,111,121,131,151,184,5
102,71,76,81,86,91,102,112,122,132,153,186,5
103,72,77,82,87,92,103,113,123,133,154,185,5
104,72,78,83,88,93,104,114,124,135,156,187,5
105,73,78,84,89,94,105,115,126,136,157,188,5
106,74,79,84,90,95,106,116,127,137,159,189,5
107,74,80,85,90,96,107,117,128,139,160,191,5
108,75,81,86,91,97,108,118,129,140,162,193,5
109,76,81,87,92,98,109,119,130,141,163,195,5
110,77,82,88,93,99,110,121,132,143,165,197,5
111,77,83,88,94,99,111,122,133,144,166,198,5
112,78,84,89,95,100,112,122,134,145,168,200,5
113,79,84,90,96,101,113,124,135,146,169,202,5
114,79,85,91,96,102,114,125,136,148,171,204,5
115,80,86,92,97,103,115,126,138,149,172,206,5
116,81,87,92,98,104,116,127,139,150,174,208,5
117,81,87,93,99,105,117,128,140,152,175,210,5
118,82,88,94,100,106,118,129,141,153,177,211,5
119,83,89,95,101,107,119,130,142,154,178,214,5
120,84,90,96,102,108,120,132,144,156,180,215,5
121,84,90,96,102,108,121,133,145,157,181,217,5
122,85,91,97,103,109,122,134,146,158,183,218,5
123,86,92,98,104,110,123,135,147,159,184,220,5
124,86,93,99,105,111,124,136,148,161,186,222,5
125,87,93,100,106,112,125,137,150,162,187,224,6
126,88,94,100,107,113,126,138,151,163,189,225,6
127,88,95,101,107,114,127,139,152,165,190,225,6
128,89,96,102,108,115,128,140,153,166,192,226,6
129,90,96,103,109,116,129,141,154,167,193,227,6
130,91,97,104,110,117,130,143,156,169,195,232,6
131,91,98,104,111,117,131,144,157,170,196,235,6
132,92,99,105,112,118,132,145,158,171,198,236,6
133,93,99,106,113,119,133,146,159,172,199,237,6
134,93,100,107,113,120,134,147,160,174,201,238,6
135,94,101,108,114,121,135,148,162,175,202,239,6
136,95,102,108,115,122,136,149,163,176,204,243,6
137,95,102,109,116,123,137,150,164,178,205,245,6
138,96,103,110,117,124,138,151,165,179,207,246,6
139,97,104,111,118,125,139,152,166,180,208,248,6
140,98,105,112,119,126,140,154,168,182,210,250,6
141,98,105,112,119,126,141,155,169,183,211,250,6
142,99,106,113,120,127,142,156,170,184,212,250,6
143,100,107,114,121,128,143,157,171,185,214,250,6
144,100,108,115,122,129,144,158,172,187,216,250,6
145,101,108,116,123,130,145,159,174,188,217,250,6
146,102,109,116,124,131,146,160,175,189,219,250,6
147,102,110,117,124,132,147,161,176,191,220,250,6
148,103,111,118,125,133,148,162,177,192,222,250,6
149,104,111,119,126,134,149,163,178,193,223,250,6
150,105,112,120,127,135,150,165,180,195,225,250,7
151,105,113,120,128,135,151,166,181,196,226,250,7
152,106,114,121,129,136,152,167,182,197,228,250,7
153,107,114,122,130,137,153,168,183,198,229,250,7
154,107,115,123,130,138,154,169,184,200,231,250,7
155,108,116,124,131,139,155,170,186,201,232,250,7
156,109,117,124,132,140,156,171,187,202,234,250,7
157,109,117,125,133,141,157,172,188,204,235,250,7
158,110,118,126,134,142,158,173,189,205,237,250,7
159,111,119,127,135,143,159,174,190,206,238,250,7
160,112,120,128,136,144,160,176,192,208,240,250,7
161,112,120,128,136,144,161,177,193,209,241,250,7
162,113,121,129,137,145,162,178,194,210,243,250,7
163,114,122,130,138,146,163,179,195,211,244,250,7
164,114,123,131,139,147,164,180,196,213,246,250,7
165,115,123,132,140,148,165,181,198,214,247,250,7
166,116,124,132,141,149,166,182,199,215,249,250,7
167,116,125,133,141,150,167,183,200,217,250,250,7
168,117,126,134,142,151,168,184,201,218,250,250,7
169,118,126,135,143,152,169,185,202,219,250,250,7
170,119,127,136,144,153,170,187,204,220,250,250,7
171,119,128,136,145,153,171,188,205,222,250,250,7
172,120,129,137,146,154,172,189,206,223,250,250,7
173,121,129,138,147,155,173,190,207,224,250,250,7
174,121,130,139,147,156,174,191,208,226,250,250,7
175,122,131,140,148,157,175,192,210,227,250,250,8
176,123,132,140,149,158,176,193,211,228,250,250,8
177,123,132,141,150,159,177,194,212,230,250,250,8
178,124,133,142,151,160,178,195,213,231,250,250,8
179,125,134,143,152,161,179,196,214,232,250,250,8
180,126,135,144,153,162,180,198,216,233,250,250,8
181,126,135,144,153,162,181,199,217,235,250,250,8
182,127,136,145,154,163,182,200,218,236,250,250,8
183,128,137,146,155,164,183,201,219,237,250,250,8
184,128,138,147,156,165,184,202,220,239,250,250,8
185,129,138,148,157,166,185,203,222,240,250,250,8
186,130,139,148,158,167,186,204,223,241,250,250,8
187,130,140,149,158,168,187,205,224,243,250,250,8
188,131,141,150,159,169,188,206,225,244,250,250,8
189,132,141,151,160,170,189,207,226,245,250,250,8
190,133,142,152,161,171,190,209,228,246,250,250,9
191,133,143,152,162,171,191,210,229,248,250,250,9
192,134,144,153,163,172,192,211,230,249,250,250,9
193,135,144,154,164,173,193,212,231,250,250,250,9
194,135,145,155,164,174,194,213,232,250,250,250,9
195,136,146,156,165,175,195,214,234,250,250,250,9
196,137,147,156,166,176,196,215,235,250,250,250,9
197,137,147,157,167,177,197,216,236,250,250,250,9
198,138,148,158,168,178,198,217,237,250,250,250,9
199,139,149,159,169,179,199,218,238,250,250,250,9
200,140,150,160,170,180,200,220,240,250,250,250,9
201,140,150,160,170,180,201,221,241,250,250,250,9
202,141,151,161,171,181,202,222,242,250,250,250,9
203,142,152,162,172,182,203,223,243,250,250,250,9
204,142,153,163,173,183,204,224,244,250,250,250,9
205,143,153,164,174,184,205,225,246,250,250,250,9
206,144,154,164,175,185,206,226,247,250,250,250,9
207,144,155,165,175,186,207,227,248,250,250,250,9
208,145,156,166,176,187,208,228,249,250,250,250,9
209,146,156,167,177,188,209,229,250,250,250,250,9
210,147,157,168,178,189,210,231,250,250,250,250,9
211,147,158,168,179,189,211,232,250,250,250,250,9
212,148,159,169,180,190,212,233,250,250,250,250,9
213,149,159,170,181,191,213,234,250,250,250,250,9
214,149,160,171,181,192,214,235,250,250,250,250,9
215,150,161,172,182,193,215,236,250,250,250,250,9
216,151,162,172,183,194,216,237,250,250,250,250,9
217,151,162,173,184,195,217,238,250,250,250,250,9
218,152,163,174,185,196,218,239,250,250,250,250,9
219,153,164,175,186,197,219,240,250,250,250,250,9
220,154,165,176,187,198,220,242,250,250,250,250,9
