PacketId,Aoid,ActionTemplateId,ActionHash,SlotId,Name
556,211937,225470,SHRM,10556,"Nano Doctorate 7"
559,229960,225471,SURE,10559,"Nano Doctorate 10"
560,211941,227036,EHHA,10560,"Nano Surgeon 1"
563,211944,214129,TAHA,10563,"Nano Surgeon 4"
564,211945,227040,MAPO,10564,"Nano Surgeon 5"
565,211946,214120,TRTR,10565,"Nano Surgeon 6"
580,212133,227500,ZANA,10580,"Notum Repulsor 1"
582,212135,227194,NNSH,10582,"Notum Repulsor 3"
585,212138,227219,STNA,10585,"Notum Repulsor 6"
587,212140,227218,AINO,10587,"Notum Repulsor 8"
593,223603,227634,FAAG,10593,"Notum Siphon 4"
596,223606,227221,TANT,10596,"Notum Siphon 7"
600,211947,227312,ACNO,10600,"Notum Source 1"
603,211950,227320,BLNN,10603,"Notum Source 4"
606,211953,227322,STNT,10606,"Notum Source 7"
609,211956,227324,NOOV,10609,"Notum Source 10"
612,212143,227326,ONEW,10612,"Outdoorsman 3"
620,236593,236592,ISCL,10620,"Insurance Agent 1"
630,212049,225439,CPVI,10630,"Spirit Phylactery 1"
631,212050,225465,UABL,10631,"Spirit Phylactery 2"
633,212052,225440,CPES,10633,"Spirit Phylactery 4"
634,212053,225469,UNPS,10634,"Spirit Phylactery 5"
636,212055,225455,CPSI,10636,"Spirit Phylactery 7"
638,212057,225468,UNCG,10638,"Spirit Phylactery 9"
639,212058,225456,CTVI,10639,"Spirit Phylactery 10"
641,211978,226238,QISH,10641,"Pistol Mastery 2"
644,211981,226244,DBSH,10644,"Pistol Mastery 5"
648,216633,226347,NOSM,10648,"Pistol Mastery 9"
650,211987,226852,ERGI,10650,"Power Up 1"
652,213399,225821,POVO,10652,"Power Up 3"
654,213401,225828,POSH,10654,"Power Up 5"
657,213404,226506,POBL,10657,"Power Up 8"
659,213410,226513,PWCO,10659,"Power Up 10"
662,211999,226237,FAAM,10662,"Shadowsneak 3"
665,212002,226231,SDBU,10665,"Shadowsneak 6"
669,212006,226225,NIKI,10669,"Shadowsneak 10"
671,212008,226213,SHSB,10671,"Shadowstalker 2"
673,212010,227328,BGON,10673,"Shadowstalker 4"
675,212012,226219,SHKL,10675,"Shadowstalker 6"
681,212014,226201,SNSH,10681,"Sharpshooter 2"
684,212017,226207,SPS2,10684,"Sharpshooter 5"
690,212151,216947,EXUL,10690,"Sublime Rapport 1"
691,212152,216948,ETTO,10691,"Sublime Rapport 2"
693,212154,216958,DIFI,10693,"Sublime Rapport 4"
695,212156,225266,ISOR,10695,"Sublime Rapport 6"
697,212158,225275,CNTM,10697,"Sublime Rapport 8"
699,212160,225286,YMBI,10699,"Sublime Rapport 10"
702,216637,226500,LGSH,10702,"Shotgun Mastery 3"
706,216641,225813,EASH,10706,"Shotgun Mastery 7"
709,216644,302068,JBWB,10709,"Shotgun Mastery 10"
711,212020,213438,RESL,10711,"SMG Mastery 2"
714,212023,213977,JABU,10714,"SMG Mastery 5"
716,212025,213978,SLSU,10716,"SMG Mastery 7"
719,212028,213979,NESL,10719,"SMG Mastery 10"
721,211126,241166,STOB,10721,"Soothing Spirits 2"
723,211128,241258,SPOU,10723,"Soothing Spirits 4"
730,212029,227329,FEBN,10730,"Special Forces 1"
732,212031,226184,TRAC,10732,"Special Forces 3"
735,212034,226195,CNBU,10735,"Special Forces 6"
737,212036,227336,EEED,10737,"Special Forces 8"
739,212038,227338,ARDI,10739,"Special Forces 10"
740,212039,225481,IILW,10740,"Specialist Healer 1"
742,212041,225483,MTHM,10742,"Specialist Healer 3"
744,212043,225482,MLIG,10744,"Specialist Healer 5"
746,212045,225484,STIV,10746,"Specialist Healer 7"
748,212047,225505,HAAD,10748,"Specialist Healer 9"
749,212048,225506,TEHL,10749,"Specialist Healer 10"
751,212060,226177,RAGO,10751,"Spiritual Master 2"
754,212063,226170,CICD,10754,"Spiritual Master 5"
756,212065,226169,INCA,10756,"Spiritual Master 7"
758,212067,226162,FLQI,10758,"Spiritual Master 9"
759,212068,226155,OBLI,10759,"Spiritual Master 10"
760,212107,227348,DZWI,10760,"Starfall 1"
762,212109,226148,WRTK,10762,"Starfall 3"
765,212112,226141,TEDT,10765,"Starfall 6"
769,212116,226134,PERN,10769,"Starfall 10"
770,212069,226376,DECT,10770,"Street Samurai 1"
773,212072,226853,BLWR,10773,"Street Samurai 4"
775,212074,226854,HOTH,10775,"Street Samurai 6"
778,212077,226382,QJOP,10778,"Street Samurai 9"
782,212081,227358,QUCN,10782,"Theoretical Research 3"
785,212084,226128,AEDE,10785,"Theoretical Research 6"
788,212087,227359,KNEN,10788,"Theoretical Research 9"
792,212091,214386,EJXL,10792,"Thief 3"
801,212094,212997,SAQA,10801,"Tinkerer 2"
803,212096,213010,IGFL,10803,"Tinkerer 4"
810,212097,225317,RLOD,10810,"Totemic Rites 1"
811,212098,225341,DEVI,10811,"Totemic Rites 2"
813,212100,225323,RTOZ,10813,"Totemic Rites 4"
814,212101,225347,DEES,10814,"Totemic Rites 5"
816,212103,225329,RUOS,10816,"Totemic Rites 7"
817,212104,225353,DOVI,10817,"Totemic Rites 8"
819,212106,225335,RTOB,10819,"Totemic Rites 10"
844,223614,225472,ONFP,10844,"Worm ICE 5"
849,223619,225473,UVGQ,10849,"Worm ICE 10"
861,211824,229898,ISEX,10861,"Demolitions 2"
863,211826,229920,INNO,10863,"Demolitions 4"
866,211829,227360,SRPI,10866,"Demolitions 7"
869,211832,227361,TRPR,10869,"Demolitions 10"
870,211967,225581,IXUL,10870,"Piercing Mastery 1"
871,211968,225618,DOSA,10871,"Piercing Mastery 2"
873,211970,225589,PERF,10873,"Piercing Mastery 4"
874,211971,225629,LACE,10874,"Piercing Mastery 5"
876,211973,225599,IMPA,10876,"Piercing Mastery 7"
877,211974,225641,KAWP,10877,"Piercing Mastery 8"
879,211976,225651,ECAT,10879,"Piercing Mastery 10"
880,212144,226356,TROP,10880,"Shade Touch 1"
881,212145,239839,COTS,10881,"Shade Touch 2"
883,212147,226363,DOTO,10883,"Shade Touch 4"
886,212150,226369,SPDL,10886,"Shade Touch 7"
890,225946,226032,CLEA,10890,"Reaver 1"
893,225949,226038,RANS,10893,"Reaver 4"
896,225952,226053,PALA,10896,"Reaver 7"
898,225954,226044,SAAI,10898,"Reaver 9"
901,225961,226104,PULV,10901,"Bone Crusher 2"
904,225964,227493,HMAD,10904,"Bone Crusher 5"
907,225967,226110,OEMG,10907,"Bone Crusher 8"
909,225969,226119,SMSM,10909,"Bone Crusher 10"
910,239812,239811,DCSN,10910,"Defensive Stance 1"
921,281535,281519,LIBU,10921,"Lightstalker 2"
923,281537,281526,PGOT,10923,"Lightstalker 4"
925,281539,281528,LIKL,10925,"Lightstalker 6"
931,283678,283665,TGHA,10931,"Hit and Run 2"
935,283682,283671,ETBU,10935,"Hit and Run 6"
1000,248115,248113,JJRM,11000,"Shadow 1"
1005,248120,248125,DIFF,11005,"Shadow 6"
1009,248124,248127,MKOP,11009,"Shadow 10"
1010,248130,248140,REAT,11010,"Embrace 1"
1015,248135,248144,QDAF,11015,"Embrace 6"
1019,248139,248164,NTTS,10019,"Embrace 10 [slotPacket=19]"
1020,248165,248183,SPHO,11020,"Power In Numbers 1"
1025,248170,248196,CLFE,11025,"Power In Numbers 6"
1029,248174,248201,MZOV,11029,"Power In Numbers 10"
1030,248245,248233,TAVI,11030,"Volunteer 1"
1035,248250,248242,OIOB,11035,"Volunteer 6"
1039,248254,248244,PUHE,11039,"Volunteer 10"
1040,248731,254454,REDW,11040,"Xuyun 1"
1045,248736,248727,OONM,11045,"Xuyun 6"
1049,248740,248729,REDU,11049,"Xuyun 10"
1050,248967,248818,PWBL,11050,"Dark Kin 1"
1055,248972,248962,YEQE,11055,"Dark Kin 6"
1059,248976,248966,IPPP,11059,"Dark Kin 10"
1060,250663,250649,FLFC,11060,"Ancient Matrix 1"
1065,250668,250651,UTIL,11065,"Ancient Matrix 6"
1069,250672,250661,PROV,11069,"Ancient Matrix 10"
1070,251205,251184,AUAN,11070,"Mutate 1"
1075,251210,251190,CSOA,11075,"Mutate 6"
1079,251214,251204,IGHW,11079,"Mutate 10"
1080,251244,251230,PTXJ,11080,"The Call 1"
1085,251249,251234,BISK,11085,"The Call 6"
1089,251253,251237,AWAK,11089,"The Call 10"
1090,251285,251274,ECAL,11090,"Made 1"
1095,251290,251281,SIPL,11095,"Made 6"
1099,251294,251284,TTSH,11099,"Made 10"
1100,251790,251297,PUPP,11100,"Loophole 1"
1105,251795,251766,NTIT,11105,"Loophole 6"
1109,251799,251789,VERR,11109,"Loophole 10"
1110,251906,251899,ERRU,11110,"Creative Mind 1"
1115,251911,251902,EDAL,11115,"Creative Mind 6"
1119,251915,251905,OPBO,11119,"Creative Mind 10"
1120,252301,252296,KEFI,11120,"Ancient Knowledge 1"
1125,252306,252298,KESI,11125,"Ancient Knowledge 6"
1129,252310,252300,KAMN,11129,"Ancient Knowledge 10"
1130,252332,252312,FOOP,11130,"Crusade 1"
1135,252337,252324,JGTG,11135,"Crusade 6"
1139,252341,252331,UKGF,11139,"Crusade 10"
1144,253068,253060,USVH,11144,"Champion of Heavy Infantry 5"
1149,253073,253063,GUYI,11149,"Champion of Heavy Infantry 10"
1154,253083,253075,AOQO,11154,"Champion of Light Infantry 5"
1159,253088,253078,KLVO,11159,"Champion of Light Infantry 10"
1164,253097,253090,COLL,11164,"Champion of Light Artillery 5"
1169,253102,253092,MPLO,11169,"Champion of Light Artillery 10"
1174,253112,253104,CXWZ,11174,"Champion of Heavy Artillery 5"
1179,253117,253107,FRFR,11179,"Champion of Heavy Artillery 10"
1184,253127,253119,NNFA,11184,"Champion of Nano Combat 5"
1189,253132,253122,YGXT,11189,"Champion of Nano Combat 10"
1190,252356,252344,EARS,11190,"Ranger 1"
1195,252361,252352,POPS,11195,"Ranger 6"
1199,254418,252355,RSIG,11199,"Ranger 10"
1200,252387,252367,MLOT,11200,"Nanomorph 1"
1205,252392,252383,ASTR,11205,"Nanomorph 6"
1209,252396,252386,PELA,11209,"Nanomorph 10"
1212,252405,252399,FUFR,11212,"Counterweight 3"
1215,252408,252402,NFIN,11215,"Counterweight 6"
1222,252450,252444,GUES,11222,"Illogical Patterns 3"
1227,252455,252447,MESC,11227,"Illogical Patterns 8"
1233,252466,252461,HOTA,11233,"The Unknown Factor 4"
1237,252470,252462,CTAU,11237,"The Unknown Factor 8"
1243,252482,252475,OPKN,11243,"Opportunist 4"
1245,252484,252478,COCC,11245,"Opportunist 6"
1273,253143,253134,IISR,11273,"Combat Knowledge 4"
1277,253147,253137,RELA,11277,"Combat Knowledge 8"
1292,252494,252487,OPSH,11292,"Atrox Primary Genome 3"
1299,252501,252490,MGRE,11299,"Atrox Primary Genome 10"
1302,252514,252511,WOOF,11302,"Atrox Secondary Genome 3"
1309,252521,252508,WFOT,11309,"Atrox Secondary Genome 10"
1312,252529,252523,SWYI,11312,"Opifex Primary Genome 3"
1319,252536,252526,ERIV,11319,"Opifex Primary Genome 10"
1322,252544,252539,RIVA,11322,"Opifex Secondary Genome 3"
1329,252551,252541,DIHI,11329,"Opifex Secondary Genome 10"
1332,252562,254313,FNXF,11332,"Nanobreed Primary Genome 3"
1339,252569,252559,NRQU,11339,"Nanobreed Primary Genome 10"
1342,253020,253014,PENR,11342,"Nanobreed Secondary Genome 3"
1349,253027,253017,NOSD,11349,"Nanobreed Secondary Genome 10"
1352,253036,253030,TAHC,11352,"Solitus Alpha Genome 3"
1359,253043,253033,SPHE,11359,"Solitus Alpha Genome 10"
1362,253051,253045,MOHB,11362,"Solitus Beta Genome 3"
1369,253058,253048,SURV,11369,"Solitus Beta Genome 10"
