character_level,difficulty_1,difficulty_2,difficulty_3,difficulty_4,difficulty_5,difficulty_6,difficulty_7,difficulty_8,difficulty_9,difficulty_10,difficulty_11
75,52,56,60,63,67,75,82,90,97,112,134
76,53,57,60,64,68,76,83,91,98,114,135
77,53,57,60,64,69,77,84,91,100,115,137
78,54,58,62,66,70,78,85,93,101,117,138
79,55,59,63,67,71,79,86,94,102,118,139
80,56,60,64,68,72,80,88,96,104,120,143
81,56,60,64,68,72,81,89,97,105,121,145
82,57,61,65,69,73,82,90,98,106,123,146
83,58,62,66,70,74,83,91,99,107,124,148
84,58,63,67,71,75,84,92,100,109,126,149
85,59,63,68,72,76,85,93,102,110,127,151
86,60,64,68,73,77,86,94,103,111,129,154
87,60,65,69,73,78,87,95,104,113,130,155
88,61,66,70,74,79,88,96,105,114,132,157
89,62,66,71,75,80,89,97,106,115,133,159
90,63,67,72,76,81,90,99,108,117,135,161
91,63,68,72,77,81,91,100,109,118,136,163
92,64,69,73,78,82,92,101,110,119,138,164
93,65,69,74,79,83,93,102,111,120,139,166
94,65,70,75,79,84,94,103,112,122,141,168
95,66,71,76,80,85,95,104,114,123,142,170
96,67,72,76,81,86,96,105,115,124,144,171
97,67,72,77,82,87,97,106,116,126,145,173
98,68,73,78,83,88,98,107,117,127,147,175
99,69,74,79,84,89,99,108,118,128,148,177
100,70,75,80,85,90,100,110,120,130,150,179
101,70,75,80,85,90,101,111,121,131,151,184
102,71,76,81,86,91,102,112,122,132,153,186
103,72,77,82,87,92,103,113,123,133,154,185
104,72,78,83,88,93,104,114,124,135,156,187
105,73,78,84,89,94,105,115,126,136,157,188
106,74,79,84,90,95,106,116,127,137,159,189
107,74,80,85,90,96,107,117,128,139,160,191
108,75,81,86,91,97,108,118,129,140,162,193
109,76,81,87,92,98,109,119,130,141,163,195
110,77,82,88,93,99,110,121,132,143,165,197
111,77,83,88,94,99,111,122,133,144,166,198
112,78,84,89,95,100,112,123,134,145,168,200
113,79,84,90,96,101,113,124,135,146,169,202
114,79,85,91,96,102,114,125,136,148,171,204
115,80,86,92,97,103,115,126,138,149,172,206
116,81,87,92,98,104,116,127,139,150,174,208
117,81,87,93,99,105,117,128,140,152,175,210
118,82,88,94,100,106,118,129,141,153,177,211
119,83,89,95,101,107,119,130,142,154,178,214
120,84,90,96,102,108,120,132,144,156,180,215
121,84,90,96,102,108,121,133,145,157,181,217
122,85,91,97,103,109,122,134,146,158,183,218
123,86,92,98,104,110,123,135,147,159,184,220
124,86,93,99,105,111,124,136,148,161,186,222
125,87,93,100,106,112,125,137,150,162,187,224
126,88,94,100,107,113,126,138,151,163,189,225
127,88,95,101,107,114,127,139,152,165,190,225
128,89,96,102,108,115,128,140,153,166,192,226
129,90,96,103,109,116,129,141,154,167,193,227
130,91,97,104,110,117,130,143,156,169,195,232
131,91,98,104,111,117,131,144,157,170,196,235
132,92,99,105,112,118,132,145,158,171,198,236
133,93,99,106,113,119,133,146,159,172,199,237
134,93,100,107,113,120,134,147,160,174,201,238
135,94,101,108,114,121,135,148,162,175,202,239
136,95,102,108,115,122,136,149,163,176,204,243
137,95,102,109,116,123,137,150,164,178,205,245
138,96,103,110,117,124,138,151,165,179,207,246
139,97,104,111,118,125,139,152,166,180,208,248
140,98,105,112,119,126,140,154,168,182,210,250
141,98,105,112,119,126,141,155,169,183,211,250
142,99,106,113,120,127,142,156,170,184,212,250
143,100,107,114,121,128,143,157,171,185,214,250
144,100,108,115,122,129,144,158,172,187,216,250
145,101,108,116,123,130,145,159,174,188,217,250
146,102,109,116,124,131,146,160,175,189,219,250
147,102,110,117,124,132,147,161,176,191,220,250
148,103,111,118,125,133,148,162,177,192,222,250
149,104,111,119,126,134,149,163,178,193,223,250
150,105,112,120,127,135,150,165,180,195,225,250
151,105,113,120,128,135,151,166,181,196,226,250
152,106,114,121,129,136,152,167,182,197,228,250
153,107,114,122,130,137,153,168,183,198,229,250
154,107,115,123,130,138,154,169,184,200,231,250
155,108,116,124,131,139,155,170,186,201,232,250
156,109,117,124,132,140,156,171,187,202,234,250
157,109,117,125,133,141,157,172,188,204,235,250
158,110,119,126,134,142,158,173,189,205,237,250
159,111,119,127,135,143,159,174,190,206,238,250
160,112,120,128,136,144,160,176,192,208,240,250
161,112,120,128,136,144,161,177,193,209,241,250
162,113,121,129,137,145,162,178,194,210,243,250
163,113,122,130,138,146,163,179,195,211,244,250
164,114,123,131,139,147,164,180,196,213,246,250
165,115,123,132,140,148,165,181,198,214,247,250
166,116,124,132,141,149,166,182,199,215,249,250
167,116,125,133,141,150,167,183,200,217,250,250
168,117,124,134,142,151,168,184,201,218,250,250
169,118,126,135,143,152,169,185,202,219,250,250
170,119,127,136,144,153,170,187,204,220,250,250
171,119,128,136,145,153,171,188,205,222,250,250
172,120,129,137,146,154,172,189,205,223,250,250
173,121,129,138,147,155,173,190,207,224,250,250
174,121,130,139,147,156,174,191,208,226,250,250
175,122,131,140,148,157,175,192,210,227,250,250
176,123,132,140,149,158,176,193,211,228,250,250
177,123,132,141,150,159,177,194,212,230,250,250
178,124,133,142,151,160,178,195,213,231,250,250
179,125,134,143,152,161,179,196,214,232,250,250
180,126,135,144,153,162,180,198,216,233,250,250
181,126,135,144,153,162,181,199,217,235,250,250
182,127,136,145,154,163,182,200,218,236,250,250
183,128,137,146,155,164,183,201,219,237,250,250
184,128,138,147,156,165,184,202,220,239,250,250
185,129,138,148,157,166,185,203,222,240,250,250
186,130,139,148,158,167,186,204,223,241,250,250
187,130,140,149,158,168,187,205,224,243,250,250
188,131,141,150,159,169,188,206,225,244,250,250
189,132,141,151,160,170,189,207,226,245,250,250
190,133,142,152,161,171,190,209,228,246,250,250
191,133,143,152,162,171,191,210,229,248,250,250
192,134,144,153,163,172,192,211,230,249,250,250
193,135,144,154,164,173,193,212,231,250,250,250
194,135,145,155,164,174,194,213,232,250,250,250
195,136,146,156,165,175,195,214,234,250,250,250
196,137,147,156,166,176,196,215,235,250,250,250
197,137,147,157,167,177,197,216,236,250,250,250
198,138,148,158,168,178,198,217,237,250,250,250
199,139,149,159,169,179,199,218,238,250,250,250
200,140,150,160,170,180,200,220,240,250,250,250
201,140,150,160,170,180,201,221,241,250,250,250
202,141,151,161,171,181,202,222,242,250,250,250
203,142,152,162,172,182,203,223,243,250,250,250
204,142,153,163,173,183,204,224,244,250,250,250
205,143,153,164,174,184,205,225,246,250,250,250
206,144,154,164,175,185,206,226,247,250,250,250
207,144,155,165,175,186,207,227,248,250,250,250
208,145,156,166,176,187,208,228,249,250,250,250
209,146,156,167,177,188,209,228,250,250,250,
210,147,157,168,178,189,210,231,250,250,250,
211,147,158,168,179,189,211,232,250,250,250,
212,148,159,169,180,190,212,233,250,250,250,
213,149,159,170,181,191,213,234,250,250,250,
214,149,160,171,181,192,214,235,250,250,250,
215,150,161,172,182,193,215,236,250,250,250,
216,151,162,172,183,194,216,237,250,250,250,
217,151,162,173,184,195,217,238,250,250,250,
218,152,163,174,185,196,218,239,250,250,250,
219,153,164,175,186,197,219,240,250,250,250,
220,154,165,176,187,198,220,242,250,250,250,250
