CapturedUtc,Direction,Sequence,TerminalIdentity,Slot,LowId,HighId,Quality
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",52,287618,287618,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",53,287420,287420,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",54,287443,287443,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",55,287444,287444,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",56,287445,287445,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",57,287446,287446,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",58,287619,287619,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",59,287447,287447,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",60,287620,287620,1
"2026-07-19T07:16:31.2488312Z","IN-N3",101,"(VendingMachine:12F62854)",61,287448,287448,1
"2026-07-19T07:16:39.0127983Z","IN-N3",155,"(VendingMachine:12F62852)",0,204267,204267,1
"2026-07-19T07:16:39.0127983Z","IN-N3",155,"(VendingMachine:12F62852)",1,204267,204268,5
"2026-07-19T07:16:39.0127983Z","IN-N3",155,"(VendingMachine:12F62852)",2,204267,204268,10
"2026-07-19T07:16:39.0127983Z","IN-N3",155,"(VendingMachine:12F62852)",3,204267,204268,15
"2026-07-19T07:16:39.0127983Z","IN-N3",155,"(VendingMachine:12F62852)",4,204267,204268,20
"2026-07-19T07:16:39.0127983Z","IN-N3",155,"(VendingMachine:12F62852)",5,204270,204270,1
"2026-07-19T07:16:39.0127983Z","IN-N3",155,"(VendingMachine:12F62852)",6,204270,204271,5
"2026-07-19T07:16:39.0127983Z","IN-N3",155,"(VendingMachine:12F62852)",7,204270,204271,10
"2026-07-19T07:16:39.0127983Z","IN-N3",155,"(VendingMachine:12F62852)",8,204270,204271,15
"2026-07-19T07:16:39.0127983Z","IN-N3",155,"(VendingMachine:12F62852)",9,204270,204271,20
"2026-07-19T07:16:39.0127983Z","IN-N3",155,"(VendingMachine:12F62852)",10,55697,55697,1
"2026-07-19T07:16:39.0127983Z","IN-N3",155,"(VendingMachine:12F62852)",11,55697,55696,5
"2026-07-19T07:16:39.0127983Z","IN-N3",155,"(VendingMachine:12F62852)",12,55697,55696,10
"2026-07-19T07:16:39.0127983Z","IN-N3",155,"(VendingMachine:12F62852)",13,55697,55696,15
"2026-07-19T07:16:39.0127983Z","IN-N3",155,"(VendingMachine:12F62852)",14,55697,55696,20
"2026-07-19T07:16:39.0127983Z","IN-N3",155,"(VendingMachine:12F62852)",15,85368,85368,1
"2026-07-19T07:16:39.0127983Z","IN-N3",155,"(VendingMachine:12F62852)",16,85368,85369,5
"2026-07-19T07:16:39.0127983Z","IN-N3",155,"(VendingMachine:12F62852)",17,85368,85369,10
"2026-07-19T07:16:39.0127983Z","IN-N3",155,"(VendingMachine:12F62852)",18,85368,85369,15
"2026-07-19T07:16:39.0127983Z","IN-N3",155,"(VendingMachine:12F62852)",19,85368,85369,20
"2026-07-19T07:16:39.0127983Z","IN-N3",155,"(VendingMachine:12F62852)",20,204103,204103,1
"2026-07-19T07:16:39.0127983Z","IN-N3",155,"(VendingMachine:12F62852)",21,204103,204104,5
"2026-07-19T07:16:39.0127983Z","IN-N3",155,"(VendingMachine:12F62852)",22,204103,204104,10
"2026-07-19T07:16:39.0127983Z","IN-N3",155,"(VendingMachine:12F62852)",23,204103,204104,15
"2026-07-19T07:16:39.0127983Z","IN-N3",155,"(VendingMachine:12F62852)",24,204103,204104,20
"2026-07-19T07:16:39.0127983Z","IN-N3",155,"(VendingMachine:12F62852)",25,291082,291082,1
"2026-07-19T07:16:39.0127983Z","IN-N3",155,"(VendingMachine:12F62852)",26,291082,291083,5
"2026-07-19T07:16:39.0127983Z","IN-N3",155,"(VendingMachine:12F62852)",27,291082,291083,10
"2026-07-19T07:16:39.0127983Z","IN-N3",155,"(VendingMachine:12F62852)",28,291082,291083,15
"2026-07-19T07:16:39.0127983Z","IN-N3",155,"(VendingMachine:12F62852)",29,291082,291083,20
"2026-07-19T07:16:39.0127983Z","IN-N3",155,"(VendingMachine:12F62852)",30,291043,291043,1
"2026-07-19T07:16:39.0127983Z","IN-N3",155,"(VendingMachine:12F62852)",31,291043,291044,5
"2026-07-19T07:16:39.0127983Z","IN-N3",155,"(VendingMachine:12F62852)",32,291043,291044,10
"2026-07-19T07:16:39.0127983Z","IN-N3",155,"(VendingMachine:12F62852)",33,291043,291044,15
"2026-07-19T07:16:39.0127983Z","IN-N3",155,"(VendingMachine:12F62852)",34,291043,291044,20
"2026-07-19T07:16:39.0127983Z","IN-N3",155,"(VendingMachine:12F62852)",35,43552,43552,1
"2026-07-19T07:16:39.0127983Z","IN-N3",155,"(VendingMachine:12F62852)",36,43552,43551,5
"2026-07-19T07:16:39.0127983Z","IN-N3",155,"(VendingMachine:12F62852)",37,43552,43551,10
"2026-07-19T07:16:39.0127983Z","IN-N3",155,"(VendingMachine:12F62852)",38,43552,43551,15
"2026-07-19T07:16:39.0127983Z","IN-N3",155,"(VendingMachine:12F62852)",39,43552,43551,20
"2026-07-19T07:16:45.1320528Z","IN-N3",212,"(VendingMachine:12F62851)",0,85513,22313,24
"2026-07-19T07:16:45.1320528Z","IN-N3",212,"(VendingMachine:12F62851)",1,85693,27389,36
"2026-07-19T07:16:45.1320528Z","IN-N3",212,"(VendingMachine:12F62851)",2,85602,85601,46
"2026-07-19T07:16:45.1320528Z","IN-N3",212,"(VendingMachine:12F62851)",3,85481,85690,23
"2026-07-19T07:16:45.1320528Z","IN-N3",212,"(VendingMachine:12F62851)",4,85533,85532,27
"2026-07-19T07:16:45.1320528Z","IN-N3",212,"(VendingMachine:12F62851)",5,85714,85713,10
"2026-07-19T07:16:45.1320528Z","IN-N3",212,"(VendingMachine:12F62851)",6,70563,85558,9
"2026-07-19T07:16:45.1320528Z","IN-N3",212,"(VendingMachine:12F62851)",7,85633,85632,22
"2026-07-19T07:16:45.1320528Z","IN-N3",212,"(VendingMachine:12F62851)",8,85737,85736,19
"2026-07-19T07:16:45.1320528Z","IN-N3",212,"(VendingMachine:12F62851)",9,162435,162436,39
"2026-07-19T07:16:45.1320528Z","IN-N3",212,"(VendingMachine:12F62851)",10,162427,162428,4
"2026-07-19T07:16:45.1320528Z","IN-N3",212,"(VendingMachine:12F62851)",11,162427,162428,34
"2026-07-19T07:16:45.1320528Z","IN-N3",212,"(VendingMachine:12F62851)",12,162426,162437,6
"2026-07-19T07:16:45.1320528Z","IN-N3",212,"(VendingMachine:12F62851)",13,85500,85499,47
"2026-07-19T07:16:45.1320528Z","IN-N3",212,"(VendingMachine:12F62851)",14,85607,22170,33
"2026-07-19T07:16:45.1320528Z","IN-N3",212,"(VendingMachine:12F62851)",15,85526,22293,12
"2026-07-19T07:16:45.1320528Z","IN-N3",212,"(VendingMachine:12F62851)",16,85526,22293,37
"2026-07-19T07:16:45.1320528Z","IN-N3",212,"(VendingMachine:12F62851)",17,85755,21921,37
"2026-07-19T07:16:45.1320528Z","IN-N3",212,"(VendingMachine:12F62851)",18,85548,22258,12
"2026-07-19T07:16:45.1320528Z","IN-N3",212,"(VendingMachine:12F62851)",19,85731,21967,16
"2026-07-19T07:16:45.1320528Z","IN-N3",212,"(VendingMachine:12F62851)",20,85516,22301,43
"2026-07-19T07:16:45.1320528Z","IN-N3",212,"(VendingMachine:12F62851)",21,85655,22104,10
"2026-07-19T07:16:45.1320528Z","IN-N3",212,"(VendingMachine:12F62851)",22,85655,22104,43
"2026-07-19T07:16:45.1320528Z","IN-N3",212,"(VendingMachine:12F62851)",23,85612,22166,10
"2026-07-19T07:16:45.1320528Z","IN-N3",212,"(VendingMachine:12F62851)",24,85612,22166,15
"2026-07-19T07:16:45.1320528Z","IN-N3",212,"(VendingMachine:12F62851)",25,85712,22010,2
"2026-07-19T07:16:45.1320528Z","IN-N3",212,"(VendingMachine:12F62851)",26,85638,85637,28
"2026-07-19T07:16:45.1320528Z","IN-N3",212,"(VendingMachine:12F62851)",27,85557,85556,41
"2026-07-19T07:16:45.1320528Z","IN-N3",212,"(VendingMachine:12F62851)",28,85512,85511,32
"2026-07-19T07:16:52.9852663Z","IN-N3",263,"(VendingMachine:12F62850)",0,129001,129002,71
"2026-07-19T07:16:52.9852663Z","IN-N3",263,"(VendingMachine:12F62850)",1,122693,122694,25
"2026-07-19T07:16:52.9852663Z","IN-N3",263,"(VendingMachine:12F62850)",2,128676,128677,27
"2026-07-19T07:16:52.9852663Z","IN-N3",263,"(VendingMachine:12F62850)",3,201257,201258,61
"2026-07-19T07:16:52.9852663Z","IN-N3",263,"(VendingMachine:12F62850)",4,128946,128947,96
"2026-07-19T07:16:52.9852663Z","IN-N3",263,"(VendingMachine:12F62850)",5,124785,124786,69
"2026-07-19T07:16:52.9852663Z","IN-N3",263,"(VendingMachine:12F62850)",6,121939,121940,85
"2026-07-19T07:16:52.9852663Z","IN-N3",263,"(VendingMachine:12F62850)",7,123976,123977,42
"2026-07-19T07:16:52.9852663Z","IN-N3",263,"(VendingMachine:12F62850)",8,124136,124137,2
"2026-07-19T07:16:52.9852663Z","IN-N3",263,"(VendingMachine:12F62850)",9,124129,124130,94
"2026-07-19T07:16:52.9852663Z","IN-N3",263,"(VendingMachine:12F62850)",10,206289,206290,36
"2026-07-19T07:16:52.9852663Z","IN-N3",263,"(VendingMachine:12F62850)",11,123666,123666,1
"2026-07-19T07:16:52.9852663Z","IN-N3",263,"(VendingMachine:12F62850)",12,125300,125301,59
"2026-07-19T07:16:52.9852663Z","IN-N3",263,"(VendingMachine:12F62850)",13,124200,124201,34
"2026-07-19T07:16:52.9852663Z","IN-N3",263,"(VendingMachine:12F62850)",14,129014,129015,35
"2026-07-19T07:16:52.9852663Z","IN-N3",263,"(VendingMachine:12F62850)",15,129014,129015,97
"2026-07-19T07:16:52.9852663Z","IN-N3",263,"(VendingMachine:12F62850)",16,123099,123100,44
"2026-07-19T07:16:52.9852663Z","IN-N3",263,"(VendingMachine:12F62850)",17,123175,123176,59
"2026-07-19T07:16:52.9852663Z","IN-N3",263,"(VendingMachine:12F62850)",18,123137,123138,65
"2026-07-19T07:16:52.9852663Z","IN-N3",263,"(VendingMachine:12F62850)",19,121610,121610,1
"2026-07-19T07:16:52.9852663Z","IN-N3",263,"(VendingMachine:12F62850)",20,130165,130166,53
"2026-07-19T07:16:52.9852663Z","IN-N3",263,"(VendingMachine:12F62850)",21,160236,160237,79
"2026-07-19T07:16:52.9852663Z","IN-N3",263,"(VendingMachine:12F62850)",22,123311,123312,72
"2026-07-19T07:16:52.9852663Z","IN-N3",263,"(VendingMachine:12F62850)",23,128663,128664,95
"2026-07-19T07:16:52.9852663Z","IN-N3",263,"(VendingMachine:12F62850)",24,128898,128899,93
"2026-07-19T07:16:52.9852663Z","IN-N3",263,"(VendingMachine:12F62850)",25,121593,121594,33
"2026-07-19T07:16:52.9852663Z","IN-N3",263,"(VendingMachine:12F62850)",26,160489,160490,61
"2026-07-19T07:16:52.9852663Z","IN-N3",263,"(VendingMachine:12F62850)",27,150254,150255,13
"2026-07-19T07:16:52.9852663Z","IN-N3",263,"(VendingMachine:12F62850)",28,124404,124405,83
"2026-07-19T07:16:52.9852663Z","IN-N3",263,"(VendingMachine:12F62850)",29,129644,129645,72
"2026-07-19T07:16:52.9852663Z","IN-N3",263,"(VendingMachine:12F62850)",30,123879,123880,35
"2026-07-19T07:19:06.8300283Z","IN-N3",1100,"(VendingMachine:12F6284F)",0,41071,41071,1
"2026-07-19T07:19:06.8300283Z","IN-N3",1100,"(VendingMachine:12F6284F)",1,31246,31246,1
"2026-07-19T07:19:06.8300283Z","IN-N3",1100,"(VendingMachine:12F6284F)",2,296342,296342,1
"2026-07-19T07:19:06.8300283Z","IN-N3",1100,"(VendingMachine:12F6284F)",3,41031,41031,1
"2026-07-19T07:19:06.8300283Z","IN-N3",1100,"(VendingMachine:12F6284F)",4,31531,31531,1
"2026-07-19T07:19:06.8300283Z","IN-N3",1100,"(VendingMachine:12F6284F)",5,31110,31110,1
"2026-07-19T07:19:06.8300283Z","IN-N3",1100,"(VendingMachine:12F6284F)",6,41076,41076,1
"2026-07-19T07:19:06.8300283Z","IN-N3",1100,"(VendingMachine:12F6284F)",7,42347,42347,1
"2026-07-19T07:19:06.8300283Z","IN-N3",1100,"(VendingMachine:12F6284F)",8,31495,31495,1
"2026-07-19T07:19:06.8300283Z","IN-N3",1100,"(VendingMachine:12F6284F)",9,42314,42314,1
"2026-07-19T07:19:06.8300283Z","IN-N3",1100,"(VendingMachine:12F6284F)",10,41008,41008,1
"2026-07-19T07:19:06.8300283Z","IN-N3",1100,"(VendingMachine:12F6284F)",11,31248,31248,1
"2026-07-19T07:19:06.8300283Z","IN-N3",1100,"(VendingMachine:12F6284F)",12,42358,42358,1
"2026-07-19T07:19:06.8300283Z","IN-N3",1100,"(VendingMachine:12F6284F)",13,42356,42356,1
"2026-07-19T07:19:06.8300283Z","IN-N3",1100,"(VendingMachine:12F6284F)",14,41230,41230,1
"2026-07-19T07:19:06.8300283Z","IN-N3",1100,"(VendingMachine:12F6284F)",15,41061,41061,1
"2026-07-19T07:19:06.8300283Z","IN-N3",1100,"(VendingMachine:12F6284F)",16,41063,41063,1
"2026-07-19T07:19:06.8300283Z","IN-N3",1100,"(VendingMachine:12F6284F)",17,41068,41068,1
"2026-07-19T07:19:06.8300283Z","IN-N3",1100,"(VendingMachine:12F6284F)",18,41069,41069,1
"2026-07-19T07:19:06.8300283Z","IN-N3",1100,"(VendingMachine:12F6284F)",19,31516,31516,1
"2026-07-19T07:19:06.8300283Z","IN-N3",1100,"(VendingMachine:12F6284F)",20,41039,41039,1
"2026-07-19T07:19:06.8300283Z","IN-N3",1100,"(VendingMachine:12F6284F)",21,41014,41014,1
