"Id","SourcePlayfield","SourcePlayfieldName","SourceType","SourceInstanceDecimal","SourceInstanceHex","SourceStatelCount","SourceCoords","DestinationPlayfield","DestinationPlayfieldName","DestinationType","DestinationInstanceDecimal","DestinationInstanceHex","DestinationStatelCount","DestinationCoords","Warnings"
"29","505","Avalon","51016","3223454201","0xC02201F9","1","2155.276,40.105,3109.292","1423","avalon_building5","51016","3221226895","0xC000058F","1","229.002,5,149.99",""
"30","505","Avalon","51016","3223519737","0xC02301F9","1","2143.511,40.116,3129.406","1421","avalon_building3 dng","51016","3221226893","0xC000058D","1","185.005,5,155.991",""
"31","505","Avalon","51016","3223323129","0xC02001F9","1","2097.462,44.516,3138.827","2001","clan_basic_weapons_shop","51016","3221227473","0xC00007D1","1","211.001,5,154.01",""
"32","505","Avalon","51016","3223585273","0xC02401F9","1","2143.416,40.515,3117.378","2003","clan_basic_pharmasist_shop","51016","3221227475","0xC00007D3","1","197.001,5,158.01",""
"33","505","Avalon","51016","3223716345","0xC02601F9","1","1551.012,39.515,3685.409","1422","avalon_building4 dng","51016","3221226894","0xC000058E","1","199.002,5.017,171.95",""
"34","505","Avalon","51016","3223781881","0xC02701F9","1","1530.515,43.516,3746.881","1422","avalon_building4 dng","51016","3221226894","0xC000058E","1","199.002,5.017,171.95",""
"35","505","Avalon","51016","3223847417","0xC02801F9","1","1516.798,43.105,3738.637","2001","clan_basic_weapons_shop","51016","3221227473","0xC00007D1","1","211.001,5,154.01",""
"36","505","Avalon","51016","3223650809","0xC02501F9","1","1558.041,39.222,3701.738","2003","clan_basic_pharmasist_shop","51016","3221227475","0xC00007D3","1","197.001,5,158.01",""
"37","505","Avalon","51016","3223978489","0xC02A01F9","1","1849.909,26.417,1197.922","1711","Factory VP dng barracks","51016","3221227183","0xC00006AF","1","169.002,5,145.99",""
"38","505","Avalon","51016","3224044025","0xC02B01F9","1","1873.972,26.418,1185.894","1711","Factory VP dng barracks","51016","3221227183","0xC00006AF","1","169.002,5,145.99",""
"39","505","Avalon","51016","3224371705","0xC03001F9","1","1859.205,26.252,1285.846","1711","Factory VP dng barracks","51016","3221227183","0xC00006AF","1","169.002,5,145.99",""
"40","505","Avalon","51016","3224437241","0xC03101F9","1","1888.955,26.252,1273.954","1711","Factory VP dng barracks","51016","3221227183","0xC00006AF","1","169.002,5,145.99",""
"41","505","Avalon","51016","3224568313","0xC03301F9","1","1861.806,26.252,1300.808","1711","Factory VP dng barracks","51016","3221227183","0xC00006AF","1","169.002,5,145.99",""
"42","505","Avalon","51016","3224699385","0xC03501F9","1","1886.141,26.265,1300.827","1711","Factory VP dng barracks","51016","3221227183","0xC00006AF","1","169.002,5,145.99",""
"43","505","Avalon","51016","3224830457","0xC03701F9","1","1782.441,26.252,1237.967","1711","Factory VP dng barracks","51016","3221227183","0xC00006AF","1","169.002,5,145.99",""
"44","505","Avalon","51016","3225027065","0xC03A01F9","1","1782.473,26.252,1249.89","1184","ord_smarket_omni_advanced","51016","3221226656","0xC00004A0","1","213.001,5,96.01",""
"45","505","Avalon","51016","3224109561","0xC02C01F9","1","1857.912,26.448,1185.877","1183","ord_smarket_omni_basic","51016","3221226655","0xC000049F","1","187.001,5,116.01",""
"46","505","Avalon","51016","3224240633","0xC02E01F9","1","1882.122,26.418,1214.096","2031","omni_basic_armor_shop","51016","3221227503","0xC00007EF","1","113.002,5,221.99",""
"47","505","Avalon","51016","3223912953","0xC02901F9","1","1849.861,26.418,1213.933","2030","omni_basic_weapons_shop","51016","3221227502","0xC00007EE","1","115.001,5,221.99",""
"48","505","Avalon","51016","3224175097","0xC02D01F9","1","1882.154,26.418,1198.094","2032","omni_basic_pharmacist","51016","3221227504","0xC00007F0","1","117.002,5,215.99",""
"49","505","Avalon","51016","3224306169","0xC02F01F9","1","1859.173,26.252,1274.046","2041","omni_advanced_armor_shop","51016","3221227513","0xC00007F9","1","199.002,5,205.99",""
"50","505","Avalon","51016","3224633849","0xC03401F9","1","1873.861,26.252,1300.827","2040","omni_advanced_weapons_shop","51016","3221227512","0xC00007F8","1","203.001,5,199.99",""
"51","505","Avalon","51016","3224502777","0xC03201F9","1","1888.927,26.252,1285.954","2042","omni_advanced_pharmacist_shop","51016","3221227514","0xC00007FA","1","199.002,5,205.99",""
"52","505","Avalon","51016","3224961529","0xC03901F9","1","1797.981,26.252,1265.503","2042","omni_advanced_pharmacist_shop","51016","3221227514","0xC00007FA","1","199.002,5,205.99",""
"53","505","Avalon","51016","3224895993","0xC03801F9","1","1798.088,26.252,1234.461","2040","omni_advanced_weapons_shop","51016","3221227512","0xC00007F8","1","203.001,5,199.99",""
"54","505","Avalon","51016","3224764921","0xC03601F9","1","1782.484,26.265,1261.826","2041","omni_advanced_armor_shop","51016","3221227513","0xC00007F9","1","199.002,5,205.99",""
"55","505","Avalon","51016","3225223673","0xC03D01F9","1","833.787,31.265,1681.409","1711","Factory VP dng barracks","51016","3221227183","0xC00006AF","1","169.002,5,145.99",""
"56","505","Avalon","51016","3225289209","0xC03E01F9","1","822.079,31.252,1681.427","1711","Factory VP dng barracks","51016","3221227183","0xC00006AF","1","169.002,5,145.99",""
"57","505","Avalon","51016","3225551353","0xC04201F9","1","764.94,31.418,1605.895","1711","Factory VP dng barracks","51016","3221227183","0xC00006AF","1","169.002,5,145.99",""
"58","505","Avalon","51016","3225682425","0xC04401F9","1","764.946,31.448,1637.95","1711","Factory VP dng barracks","51016","3221227183","0xC00006AF","1","169.002,5,145.99",""
"59","505","Avalon","51016","3225747961","0xC04501F9","1","791.145,31.418,1606.143","1711","Factory VP dng barracks","51016","3221227183","0xC00006AF","1","169.002,5,145.99",""
"60","505","Avalon","51016","3225813497","0xC04601F9","1","791.187,31.417,1638.032","1711","Factory VP dng barracks","51016","3221227183","0xC00006AF","1","169.002,5,145.99",""
"61","505","Avalon","51016","3225616889","0xC04301F9","1","764.898,31.449,1621.898","1183","ord_smarket_omni_basic","51016","3221226655","0xC000049F","1","187.001,5,116.01",""
"62","505","Avalon","51016","3225354745","0xC03F01F9","1","834.054,31.252,1650.476","2040","omni_advanced_weapons_shop","51016","3221227512","0xC00007F8","1","203.001,5,199.99",""
"63","505","Avalon","51016","3225420281","0xC04001F9","1","822.054,31.252,1650.486","2042","omni_advanced_pharmacist_shop","51016","3221227514","0xC00007FA","1","199.002,5,205.99",""
"64","505","Avalon","51016","3225485817","0xC04101F9","1","778.11,31.449,1596.814","2030","omni_basic_weapons_shop","51016","3221227502","0xC00007EE","1","115.001,5,221.99",""
"65","505","Avalon","51016","3225879033","0xC04701F9","1","778.045,31.418,1647.099","2032","omni_basic_pharmacist","51016","3221227504","0xC00007F0","1","117.002,5,215.99",""
"66","540","Old Athen","51016","3223716380","0xC026021C","1","428.201,11.617,532.374","1180","ord_smarket_clan_basic","51016","3221226652","0xC000049C","1","201.001,3.01,154.015",""
"67","540","Old Athen","51016","3223126556","0xC01D021C","1","317.799,11.617,414.626","1180","ord_smarket_clan_basic","51016","3221226652","0xC000049C","1","201.001,3.01,154.015",""
"68","540","Old Athen","51016","3223192092","0xC01E021C","1","419.799,11.618,547.626","1180","ord_smarket_clan_basic","51016","3221226652","0xC000049C","1","201.001,3.01,154.015",""
"69","540","Old Athen","51016","3223257628","0xC01F021C","1","336.799,11.617,435.626","1181","ord_smarket_clan_advanced","51016","3221226653","0xC000049D","1","187.001,5,152.01",""
"70","540","Old Athen","51016","3223323164","0xC020021C","1","406.799,11.618,534.626","1181","ord_smarket_clan_advanced","51016","3221226653","0xC000049D","1","187.001,5,152.01",""
"71","540","Old Athen","51016","3223061020","0xC01C021C","1","435.948,11.616,561.396","1181","ord_smarket_clan_advanced","51016","3221226653","0xC000049D","1","187.001,5,152.01",""
"72","540","Old Athen","51016","3223585308","0xC024021C","1","388.799,11.617,516.626","1182","ord_smarket_clan_sup","51016","3221226654","0xC000049E","1","187,6.101,152.012",""
"73","540","Old Athen","51016","3223519772","0xC023021C","1","353.799,11.617,453.626","1182","ord_smarket_clan_sup","51016","3221226654","0xC000049E","1","187,6.101,152.012",""
"74","540","Old Athen","51016","3223454236","0xC022021C","1","415.201,11.617,519.374","1189","spec_smarket_clan_advanced","51016","3221226661","0xC00004A5","1","181.001,5,118.01",""
"75","540","Old Athen","51016","3223388700","0xC021021C","1","361.123,11.617,473.594","1189","spec_smarket_clan_advanced","51016","3221226661","0xC00004A5","1","181.001,5,118.01",""
"76","540","Old Athen","51016","3223650844","0xC025021C","1","369.799,11.617,497.626","1190","spec_smarket_clan_sup","51016","3221226662","0xC00004A6","1","179.001,5,120.01",""
"77","540","Old Athen","51016","3223781916","0xC027021C","1","313.406,11.617,295.123","1136","Mir shop clan","51016","3221226608","0xC0000470","1","151.001,5,186.015",""
"78","540","Old Athen","51016","3223847452","0xC028021C","1","311.374,11.617,374.799","1136","Mir shop clan","51016","3221226608","0xC0000470","1","151.001,5,186.015",""
"79","540","Old Athen","51016","3224044060","0xC02B021C","1","479.913,9.174,282.706","4704","Tower Shop (dungeon)","51016","3221230176","0xC0001260","1","193.988,9.006,153.992",""
"1248","540","Old Athen","51016","3224109596","0xC02C021C","1","454.033,8.017,312.988","4530","Jobe Platform","51016","3221426610","0xC00311B2","1","300.622,201.36,620.863",""
"80","545","West Athens","51016","3222864417","0xC0190221","1","443.592,17.519,431.009","1602","athens_clanhouse3 VP dng","51016","3221227074","0xC0000642","1","195.002,5,163.99",""
"81","545","West Athens","51016","3222929953","0xC01A0221","1","452.513,9.719,416.277","1893","The Cup","51016","3221227365","0xC0000765","1","215.001,5,221.985",""
"82","545","West Athens","51016","3221357089","0xC0020221","1","483.94,17.517,453.545","2012","clan_advanced_pharmacist_shop","51016","3221227484","0xC00007DC","1","201.001,5,190.01",""
"83","545","West Athens","51016","3222995489","0xC01B0221","1","497.491,17.517,443.278","1602","athens_clanhouse3 VP dng","51016","3221227074","0xC0000642","1","195.002,5,163.99",""
"84","545","West Athens","51016","3223061025","0xC01C0221","1","482.665,3.621,390.44","1603","athens_clanhouse4 VP dng","51016","3221227075","0xC0000643","1","207.002,5,171.99",""
"85","545","West Athens","51016","3223126561","0xC01D0221","1","460.084,17.095,453.083","1603","athens_clanhouse4 VP dng","51016","3221227075","0xC0000643","1","207.002,5,171.99",""
"86","545","West Athens","51016","3223519777","0xC0230221","1","482.808,24.904,455.857","1604","athens_clanhouse12 VP dng","51016","3221227076","0xC0000644","1","181.002,5,143.99",""
"87","545","West Athens","51016","3223585313","0xC0240221","1","442.724,24.904,455.892","1604","athens_clanhouse12 VP dng","51016","3221227076","0xC0000644","1","181.002,5,143.99",""
"88","545","West Athens","51016","3223650849","0xC0250221","1","438.285,16.904,453.442","1604","athens_clanhouse12 VP dng","51016","3221227076","0xC0000644","1","181.002,5,143.99",""
"89","545","West Athens","51016","3223716385","0xC0260221","1","490.774,9.204,416.69","1604","athens_clanhouse12 VP dng","51016","3221227076","0xC0000644","1","181.002,5,143.99",""
"90","545","West Athens","51016","3222733345","0xC0170221","1","453.226,4.205,394.079","1180","ord_smarket_clan_basic","51016","3221226652","0xC000049C","1","201.001,3.01,154.015",""
"91","545","West Athens","51016","3223781921","0xC0270221","1","453.317,8.204,397.339","1604","athens_clanhouse12 VP dng","51016","3221227076","0xC0000644","1","181.002,5,143.99",""
"92","545","West Athens","51016","3221488161","0xC0040221","1","341.303,13.304,480.041","1136","Mir shop clan","51016","3221226608","0xC0000470","1","151.001,5,186.015",""
"93","545","West Athens","51016","3223847457","0xC0280221","1","357.861,21.204,484.476","1604","athens_clanhouse12 VP dng","51016","3221227076","0xC0000644","1","181.002,5,143.99",""
"94","545","West Athens","51016","3221553697","0xC0050221","1","350.6,13.404,462.146","2010","clan_advanced_weapons_shop","51016","3221227482","0xC00007DA","1","195.001,5,186.01",""
"95","545","West Athens","51016","3223912993","0xC0290221","1","370.284,13.408,454.998","1603","athens_clanhouse4 VP dng","51016","3221227075","0xC0000643","1","207.002,5,171.99",""
"96","545","West Athens","51016","3224175137","0xC02D0221","1","355.905,29.105,487.814","1604","athens_clanhouse12 VP dng","51016","3221227076","0xC0000644","1","181.002,5,143.99",""
"97","545","West Athens","51016","3222798881","0xC0180221","1","359.734,1.604,412.692","1181","ord_smarket_clan_advanced","51016","3221226653","0xC000049D","1","187.001,5,152.01",""
"98","545","West Athens","51016","3222667809","0xC0160221","1","328.06,1.604,431.629","1182","ord_smarket_clan_sup","51016","3221226654","0xC000049E","1","187,6.101,152.012",""
"99","545","West Athens","51016","3221226017","0xC0000221","1","357.32,13.304,483.406","2011","clan_advanced_armor_shop","51016","3221227483","0xC00007DB","1","205.001,5,178.01",""
"100","545","West Athens","51016","3224437281","0xC0310221","1","398.221,13.402,440.72","1604","athens_clanhouse12 VP dng","51016","3221227076","0xC0000644","1","181.002,5,143.99",""
"101","545","West Athens","51016","3221291553","0xC0010221","1","484.77,17.004,429.641","2013","clan_advanced_implants_shop","51016","3221227485","0xC00007DD","1","197.004,5,192.009",""
"102","545","West Athens","51016","3222012449","0xC00C0221","1","560.688,24.006,584.464","2005","clan_basic_implants_shop","51016","3221227477","0xC00007D5","1","193.004,5,162.009",""
"103","545","West Athens","51016","3222077985","0xC00D0221","1","536.688,24.006,584.458","2004","clan_basic_clothes_shop","51016","3221227476","0xC00007D4","1","217.004,5,154.009",""
"104","545","West Athens","51016","3222143521","0xC00E0221","1","512.719,24.006,584.457","2003","clan_basic_pharmasist_shop","51016","3221227475","0xC00007D3","1","197.001,5,158.01",""
"105","545","West Athens","51016","3222209057","0xC00F0221","1","488.802,24.006,584.458","2002","clan_basic_armor_shop","51016","3221227474","0xC00007D2","1","229.001,5,162.01",""
"106","545","West Athens","51016","3222274593","0xC0100221","1","470.466,24.005,569.27","2001","clan_basic_weapons_shop","51016","3221227473","0xC00007D1","1","211.001,5,154.01",""
"107","545","West Athens","51016","3223192097","0xC01E0221","1","391.986,1.464,395.047","127","Condemned Subway (dng)","51016","3221618815","0xC006007F","1","64.008,115.694,318.988",""
"108","550","Athen Shire","51016","3221226022","0xC0000226","1","1538.995,36.695,344.08","2003","clan_basic_pharmasist_shop","51016","3221227475","0xC00007D3","1","197.001,5,158.01",""
"109","550","Athen Shire","51016","3221291558","0xC0010226","1","1595.556,36.609,332.021","2001","clan_basic_weapons_shop","51016","3221227473","0xC00007D1","1","211.001,5,154.01",""
"110","550","Athen Shire","51016","3221357094","0xC0020226","1","1567.521,36.609,357.444","2002","clan_basic_armor_shop","51016","3221227474","0xC00007D2","1","229.001,5,162.01",""
"111","550","Athen Shire","51016","3221422630","0xC0030226","1","1577.854,37.132,358.778","2004","clan_basic_clothes_shop","51016","3221227476","0xC00007D4","1","217.004,5,154.009",""
"112","551","Wailing Wastes","51016","3221357095","0xC0020227","1","1329.242,25.743,1715.809","1181","ord_smarket_clan_advanced","51016","3221226653","0xC000049D","1","187.001,5,152.01",""
"113","560","Mort","51016","3222078000","0xC00D0230","1","2835.162,37.167,1931.276","4102","Beer And Booze (dng)","51016","3221229574","0xC0001006","1","163.004,6.001,166.015",""
"114","560","Mort","51016","3221684784","0xC0070230","1","1866.855,47.695,1102.495","1181","ord_smarket_clan_advanced","51016","3221226653","0xC000049D","1","187.001,5,152.01",""
"115","560","Mort","51016","3221750320","0xC0080230","1","1874.302,48.142,1110.562","1180","ord_smarket_clan_basic","51016","3221226652","0xC000049C","1","201.001,3.01,154.015",""
"116","560","Mort","51016","3221815856","0xC0090230","1","2829.719,36.792,1891.635","1187","Neutral Supermarket Advanced","51016","3221357731","0xC00204A3","1","205.001,5.01,120.015",""
"117","560","Mort","51016","3221881392","0xC00A0230","1","2844.081,36.995,1888.5","1186","Neutral Supermarket Basic","51016","3221488802","0xC00404A2","1","175.001,5.01,108.015",""
"118","560","Mort","51016","3221946928","0xC00B0230","1","1858.855,47.609,1110.457","2010","clan_advanced_weapons_shop","51016","3221227482","0xC00007DA","1","195.001,5,186.01",""
"119","565","Newland Desert","51016","3221226037","0xC0000235","1","1546.475,31.502,2717.811","4354","Uncle Bazzits Workshop (Dng)","51016","3221229826","0xC0001102","1","183.002,6.02,155.985",""
"120","565","Newland Desert","51016","3221684789","0xC0070235","1","2210.813,22.74,1567.062","1187","Neutral Supermarket Advanced","51016","3221357731","0xC00204A3","1","205.001,5.01,120.015",""
"121","566","Newland City","51016","3221684790","0xC0070236","1","305.851,34.813,305.458","1137","mir shop omni","51016","3221226609","0xC0000471","1","151.001,5,180.015",""
"122","566","Newland City","51016","3221815862","0xC0090236","1","295.808,32.665,323.171","1187","Neutral Supermarket Advanced","51016","3221357731","0xC00204A3","1","205.001,5.01,120.015",""
"123","566","Newland City","51016","3221750326","0xC0080236","1","287.108,32.673,327.558","1186","Neutral Supermarket Basic","51016","3221488802","0xC00404A2","1","175.001,5.01,108.015",""
"124","566","Newland City","51016","3221488182","0xC0040236","1","289.804,32.585,313.208","1193","spec_smarket_neut_basic","51016","3221226665","0xC00004A9","1","201.001,5,112.01",""
"125","566","Newland City","51016","3221357110","0xC0020236","1","330.081,32.813,313.895","2063","neut_basic_clothes_shop","51016","3221227535","0xC000080F","1","217.002,5,179.99",""
"126","566","Newland City","51016","3221619254","0xC0060236","1","256.119,34.813,325.373","2064","neut_basic_implants_shop","51016","3221293072","0xC0010810","1","191.004,5.01,163.985",""
"127","566","Newland City","51016","3223323190","0xC0200236","1","444.443,25.217,340.344","1902","Neuters 'R' Us","51016","3221358446","0xC002076E","1","159.007,0.011,219.993",""
"128","570","The Perpetual Wastelands ","51016","3222471226","0xC013023A","1","4036.847,40.552,2775.006","1711","Factory VP dng barracks","51016","3221227183","0xC00006AF","1","169.002,5,145.99",""
"129","570","The Perpetual Wastelands ","51016","3222536762","0xC014023A","1","4044.383,41.712,2800.568","1711","Factory VP dng barracks","51016","3221227183","0xC00006AF","1","169.002,5,145.99",""
"130","570","The Perpetual Wastelands ","51016","3222602298","0xC015023A","1","3934.049,41.3,2799.935","1712","Factory VP dng factory","51016","3221227184","0xC00006B0","1","173.001,5,153.99",""
"131","570","The Perpetual Wastelands ","51016","3222733370","0xC017023A","1","3892.161,42.368,2805.357","1712","Factory VP dng factory","51016","3221227184","0xC00006B0","1","173.001,5,153.99",""
"132","570","The Perpetual Wastelands ","51016","3222798906","0xC018023A","1","3904.812,42.368,2769.584","1712","Factory VP dng factory","51016","3221227184","0xC00006B0","1","173.001,5,153.99",""
"133","570","The Perpetual Wastelands ","51016","3232039482","0xC0A5023A","1","3444.043,46.653,2941.535","1503","omnimine_hq_building_04","51016","3221226975","0xC00005DF","1","205.008,5,143.994",""
"134","570","The Perpetual Wastelands ","51016","3232105018","0xC0A6023A","1","3492.735,46.757,2934.342","1501","omnimine_hq_building_06","51016","3221358045","0xC00205DD","1","177.005,10.01,192.009",""
"135","570","The Perpetual Wastelands ","51016","3232236090","0xC0A8023A","1","3468.119,46.563,2927.594","1505","omnimine_hq_building_08","51016","3221226977","0xC00005E1","1","189.001,5,183.99",""
"136","570","The Perpetual Wastelands ","51016","3226403386","0xC04F023A","1","3074.643,63.053,1917.514","1622","wood_shack_02 VP dng","51016","3221227094","0xC0000656","1","195.006,10,159.992",""
"137","570","The Perpetual Wastelands ","51016","3226468922","0xC050023A","1","3076.629,63.284,1936.381","1623","wood_shack_03 VP dng","51016","3221227095","0xC0000657","1","200.998,10,143.99",""
"138","570","The Perpetual Wastelands ","51016","3226534458","0xC051023A","1","3077.362,63.203,1945.718","1624","wood_shack_04 VP dng","51016","3221227096","0xC0000658","1","210.998,10,147.99",""
"139","570","The Perpetual Wastelands ","51016","3226599994","0xC052023A","1","3081.43,63.119,1920.32","1625","wood_shack_05 VP dng","51016","3221227097","0xC0000659","1","203.002,10,157.99",""
"140","570","The Perpetual Wastelands ","51016","3226665530","0xC053023A","1","3067.102,63.149,1924.754","1626","wood_shack_06 VP dng","51016","3221227098","0xC000065A","1","221.006,5,173.992",""
"141","570","The Perpetual Wastelands ","51016","3226731066","0xC054023A","1","3069.533,63.267,1938.631","1627","wood_shack_07 VP dng","51016","3221227099","0xC000065B","1","202.992,5,155.994",""
"142","570","The Perpetual Wastelands ","51016","3226796602","0xC055023A","1","3113.749,64.139,1908.183","1711","Factory VP dng barracks","51016","3221227183","0xC00006AF","1","169.002,5,145.99",""
"143","570","The Perpetual Wastelands ","51016","3226862138","0xC056023A","1","3070.419,63.963,1965.597","1711","Factory VP dng barracks","51016","3221227183","0xC00006AF","1","169.002,5,145.99",""
"144","570","The Perpetual Wastelands ","51016","3226927674","0xC057023A","1","3097.425,65.193,1936.923","1711","Factory VP dng barracks","51016","3221227183","0xC00006AF","1","169.002,5,145.99",""
"145","570","The Perpetual Wastelands ","51016","3227058746","0xC059023A","1","3113.837,64.157,1895.804","1711","Factory VP dng barracks","51016","3221227183","0xC00006AF","1","169.002,5,145.99",""
"146","570","The Perpetual Wastelands ","51016","3227124282","0xC05A023A","1","3113.577,64.157,1883.489","1711","Factory VP dng barracks","51016","3221227183","0xC00006AF","1","169.002,5,145.99",""
"147","570","The Perpetual Wastelands ","51016","3227189818","0xC05B023A","1","3021.817,63.267,1933.798","1627","wood_shack_07 VP dng","51016","3221227099","0xC000065B","1","202.992,5,155.994",""
"148","570","The Perpetual Wastelands ","51016","3225616954","0xC043023A","1","3033.775,62.715,1884.326","1641","lowtech_building1 VP dng","51016","3221227113","0xC0000669","1","190.998,5,173.99",""
"149","570","The Perpetual Wastelands ","51016","3225682490","0xC044023A","1","3002.172,63.576,1898.13","1642","lowtech_building2 VP dng","51016","3221227114","0xC000066A","1","169.99,5,170.998",""
"150","570","The Perpetual Wastelands ","51016","3225748026","0xC045023A","1","2998.82,63.784,1882.973","1642","lowtech_building2 VP dng","51016","3221227114","0xC000066A","1","169.99,5,170.998",""
"151","570","The Perpetual Wastelands ","51016","3225813562","0xC046023A","1","3015.131,62.694,1882.446","1643","lowtech_building3 VP dng","51016","3221227115","0xC000066B","1","151.005,5,159.991",""
"152","570","The Perpetual Wastelands ","51016","3225879098","0xC047023A","1","3031.958,62.7,1903.41","1644","lowtech_building4 VP dng","51016","3221227116","0xC000066C","1","217.002,5,167.99",""
"153","570","The Perpetual Wastelands ","51016","3225944634","0xC048023A","1","3033.189,64.273,1893.504","1645","lowtech_building5 VP dng","51016","3221227117","0xC000066D","1","222.994,5,167.992",""
"154","570","The Perpetual Wastelands ","51016","3228369466","0xC06D023A","1","1039.007,46.548,2487.391","1721","LD VP dng 1","51016","3221227193","0xC00006B9","1","187.006,5,127.992",""
"155","570","The Perpetual Wastelands ","51016","3228566074","0xC070023A","1","1042.73,46.745,2519.523","1721","LD VP dng 1","51016","3221227193","0xC00006B9","1","187.006,5,127.992",""
