"Playfield","PlayfieldName","WallSet","Segment","Start","End","DestinationPlayfield","DestinationPlayfieldName","DestinationIndex","Destination","Warnings"
"570","The Perpetual Wastelands ","0","61","200.255,3221.163","200.826,307.005","560","Mort","2","Destination Id: 0 StartCoords: 3719.99 23.82 709.70 EndCoords: 3720.00 37.30 3532.49",""
"585","Aegean","0","7","204.711,200.171","1035.607,200.171","790","Stret West Bank","4","Destination Id: 0 StartCoords: 2732.68 0.00 3480.10 EndCoords: 2006.76 48.79 3482.68",""
"585","Aegean","0","9","1098.307,200.171","2203.01,200.171","650","Upper Stret East Bank","3","Destination Id: 0 StartCoords: 1207.90 21.74 3149.46 EndCoords: 200.01 0.60 3163.01",""
"585","Aegean","0","25","2439.689,549.894","2439.643,2840.171","600","Varmint Woods","4","Destination Id: 0 StartCoords: 200.11 46.43 3109.95 EndCoords: 200.11 17.34 830.25",""
"585","Aegean","0","37","196.907,2539.774","200,1920.001","550","Athen Shire","6","Destination Id: 0 StartCoords: 2839.99 31.54 1549.00 EndCoords: 2840.00 31.20 2150.00",""
"585","Aegean","0","38","200,1920.001","280,1920.001","586","Wartorn Valley","16","Destination Id: 0 StartCoords: 280.00 39.38 999.70 EndCoords: 200.00 60.83 1000.10",""
"585","Aegean","0","39","280,1920.001","400,1990.001","586","Wartorn Valley","15","Destination Id: 0 StartCoords: 400.00 65.70 1070.00 EndCoords: 280.00 39.38 999.70",""
"585","Aegean","0","40","400,1990.001","460,2040.001","586","Wartorn Valley","14","Destination Id: 0 StartCoords: 460.00 54.60 1120.00 EndCoords: 400.00 65.70 1070.00",""
"585","Aegean","0","41","460,2040.001","560,2060.001","586","Wartorn Valley","13","Destination Id: 0 StartCoords: 560.00 51.30 1140.00 EndCoords: 460.00 54.60 1120.00",""
"585","Aegean","0","42","560,2060.001","720,2060.001","586","Wartorn Valley","12","Destination Id: 0 StartCoords: 720.00 31.20 1140.00 EndCoords: 560.00 51.30 1140.00",""
"585","Aegean","0","43","720,2060.001","793,2040.001","586","Wartorn Valley","11","Destination Id: 0 StartCoords: 793.00 51.45 1120.00 EndCoords: 720.00 31.20 1140.00",""
"585","Aegean","0","44","793,2040.001","880,1930.001","586","Wartorn Valley","10","Destination Id: 0 StartCoords: 880.00 64.05 1010.00 EndCoords: 793.00 51.45 1120.00",""
"585","Aegean","0","45","880,1930.001","970,1800.001","586","Wartorn Valley","9","Destination Id: 0 StartCoords: 970.00 61.65 880.00 EndCoords: 880.00 64.05 1010.00",""
"585","Aegean","0","46","970,1800.001","970,1720.001","586","Wartorn Valley","8","Destination Id: 0 StartCoords: 970.00 57.00 800.00 EndCoords: 970.00 61.65 880.00",""
"585","Aegean","0","47","970,1720.001","1020,1640.001","586","Wartorn Valley","7","Destination Id: 0 StartCoords: 1020.00 64.20 720.00 EndCoords: 970.00 57.00 800.00",""
"585","Aegean","0","48","1020,1640.001","980,1560.001","586","Wartorn Valley","6","Destination Id: 0 StartCoords: 980.00 46.50 640.00 EndCoords: 1020.00 64.20 720.00",""
"585","Aegean","0","49","980,1560.001","979.643,1120.171","586","Wartorn Valley","5","Destination Id: 0 StartCoords: 980.00 70.50 200.00 EndCoords: 980.00 46.50 640.00",""
"585","Aegean","0","51","949.643,1120.171","689.643,1120.171","586","Wartorn Valley","17","","invalid destination index"
"585","Aegean","0","55","539.643,1120.171","219.71,1120.255","586","Wartorn Valley","3","Destination Id: 0 StartCoords: 220.00 54.00 199.70 EndCoords: 540.00 53.40 200.00",""
"585","Aegean","0","57","199.643,1090.171","199.643,600.171","550","Athen Shire","12","","invalid destination index"
"586","Wartorn Valley","0","3","395.286,717.138","395.112,710.502","540","Old Athen","2","Destination Id: 0 StartCoords: 601.45 10.70 390.77 EndCoords: 601.45 10.70 396.87",""
"586","Wartorn Valley","0","6","200,526.2","199.7,220","550","Athen Shire","2","Destination Id: 0 StartCoords: 2840.00 28.40 765.00 EndCoords: 2839.99 7.20 1052.00",""
"586","Wartorn Valley","0","8","220,199.7","540,200","585","Aegean","7","Destination Id: 0 StartCoords: 539.64 53.40 1120.17 EndCoords: 219.71 53.68 1120.26",""
"586","Wartorn Valley","0","12","690,200.1","950.1,200","585","Aegean","21","","invalid destination index"
"586","Wartorn Valley","0","14","980,200","980,640","585","Aegean","20","","invalid destination index"
"586","Wartorn Valley","0","15","980,640","1020,720","585","Aegean","19","Destination Id: 0 StartCoords: 1020.00 64.69 1640.00 EndCoords: 980.00 46.99 1560.00",""
"586","Wartorn Valley","0","16","1020,720","970,800","585","Aegean","18","Destination Id: 0 StartCoords: 970.00 57.49 1720.00 EndCoords: 1020.00 64.69 1640.00",""
"586","Wartorn Valley","0","17","970,800","970,880","585","Aegean","17","Destination Id: 0 StartCoords: 970.00 62.14 1800.00 EndCoords: 970.00 57.49 1720.00",""
"586","Wartorn Valley","0","18","970,880","880,1010","585","Aegean","16","Destination Id: 0 StartCoords: 880.00 64.54 1930.00 EndCoords: 970.00 62.14 1800.00",""
"586","Wartorn Valley","0","19","880,1010","793,1120","585","Aegean","15","Destination Id: 0 StartCoords: 793.00 51.94 2040.00 EndCoords: 880.00 64.54 1930.00",""
"586","Wartorn Valley","0","20","793,1120","720,1140","585","Aegean","14","Destination Id: 0 StartCoords: 720.00 31.69 2060.00 EndCoords: 793.00 51.94 2040.00",""
"586","Wartorn Valley","0","21","720,1140","560,1140","585","Aegean","13","Destination Id: 0 StartCoords: 560.00 51.79 2060.00 EndCoords: 720.00 31.69 2060.00",""
"586","Wartorn Valley","0","22","560,1140","460,1120","585","Aegean","12","Destination Id: 0 StartCoords: 460.00 55.09 2040.00 EndCoords: 560.00 51.79 2060.00",""
"586","Wartorn Valley","0","23","460,1120","400,1070","585","Aegean","11","Destination Id: 0 StartCoords: 400.00 66.19 1990.00 EndCoords: 460.00 55.09 2040.00",""
"586","Wartorn Valley","0","24","400,1070","280,999.7","585","Aegean","10","Destination Id: 0 StartCoords: 280.00 40.09 1920.00 EndCoords: 400.00 66.19 1990.00",""
"586","Wartorn Valley","0","25","280,999.7","200,1000.1","585","Aegean","9","Destination Id: 0 StartCoords: 200.00 61.39 1920.00 EndCoords: 280.00 40.09 1920.00",""
"590","Central Artery Valley","0","2","236.175,198.753","3633.275,198.753","610","Southern Artery Valley ","4","Destination Id: 0 StartCoords: 3611.90 20.55 3000.79 EndCoords: 245.00 40.18 3000.22",""
"590","Central Artery Valley","0","5","3641.275,325.253","3649.179,2987.553","595","Deep Artery Valley","3","Destination Id: 0 StartCoords: 199.99 123.25 4040.02 EndCoords: 199.99 108.70 1109.02",""
"590","Central Artery Valley","0","53","198.276,3022.853","198.276,258.753","650","Upper Stret East Bank","2","Destination Id: 0 StartCoords: 2200.03 50.40 244.05 EndCoords: 2189.40 28.00 3020.56",""
"595","Deep Artery Valley","6","1","264.986,200.017","3299.986,200.017","605","Belial Forest","2","Destination Id: 0 StartCoords: 3317.17 8.33 3231.54 EndCoords: 264.54 9.51 3236.77",""
"595","Deep Artery Valley","6","11","199.986,4040.018","199.986,1109.017","590","Central Artery Valley","3","Destination Id: 0 StartCoords: 3641.28 22.76 325.25 EndCoords: 3649.18 15.00 2987.55",""
"595","Deep Artery Valley","6","13","199.986,980.017","199.986,265.017","610","Southern Artery Valley ","3","Destination Id: 0 StartCoords: 3640.00 15.30 2150.20 EndCoords: 3640.00 19.00 2898.80",""
"600","Varmint Woods","0","0","200.115,3109.949","200.115,830.249","585","Aegean","5","Destination Id: 0 StartCoords: 2439.69 19.19 549.89 EndCoords: 2439.64 53.40 2840.17",""
"600","Varmint Woods","0","2","234.708,200.344","356.169,200.7","650","Upper Stret East Bank","4","Destination Id: 0 StartCoords: 1944.23 16.75 3156.67 EndCoords: 1840.25 21.07 3159.34",""
"600","Varmint Woods","0","5","4400.486,312.349","4402.571,1455.549","646","Tir County","4","Destination Id: 0 StartCoords: 198.74 19.01 1521.29 EndCoords: 199.48 35.71 391.04",""
"600","Varmint Woods","0","7","4401.13,1492.549","4400.76,3082.3","647","Greater Tir County","1","Destination Id: 0 StartCoords: 202.53 33.25 3164.28 EndCoords: 202.19 23.20 1569.87",""
"600","Varmint Woods","0","10","3637.915,3199.849","1794.615,3199.849","565","Newland Desert","15","","invalid destination index"
"600","Varmint Woods","0","12","1731.315,3199.849","257.415,3199.859","567","Newland","17","","invalid destination index"
"605","Belial Forest","2","15","3317.167,3231.535","264.536,3236.774","595","Deep Artery Valley","2","Destination Id: 0 StartCoords: 264.99 107.35 200.02 EndCoords: 3299.99 106.45 200.02",""
"605","Belial Forest","2","20","203.768,3132.153","202.075,1889.34","610","Southern Artery Valley ","2","Destination Id: 0 StartCoords: 3640.00 30.80 750.84 EndCoords: 3639.98 12.60 2056.80",""
"610","Southern Artery Valley ","1","9","3640,750.839","3639.984,2056.802","605","Belial Forest","1","Destination Id: 0 StartCoords: 203.77 12.31 3132.15 EndCoords: 202.07 34.18 1889.34",""
"610","Southern Artery Valley ","1","11","3640,2150.2","3640,2898.8","595","Deep Artery Valley","1","Destination Id: 0 StartCoords: 199.99 109.85 980.02 EndCoords: 199.99 108.35 265.02",""
"610","Southern Artery Valley ","1","13","3611.9,3000.791","245,3000.221","590","Central Artery Valley","2","Destination Id: 0 StartCoords: 236.17 18.00 198.75 EndCoords: 3633.28 28.88 198.75",""
"610","Southern Artery Valley ","1","15","199.988,2950","200,265.15","635","Stret East Bank","2","Destination Id: 0 StartCoords: 2203.49 8.88 532.17 EndCoords: 2200.89 45.62 3212.70",""
"615","Southern Fouls Hills","0","0","2859.403,3402.584","350.614,3398.936","620","Eastern Fouls Plains","2","Destination Id: 0 StartCoords: 345.52 16.62 198.45 EndCoords: 2922.60 40.29 202.00",""
"615","Southern Fouls Hills","0","3","209.81,3270.973","203.564,2836.553","717","Greater Omni Forest","2","Destination Id: 0 StartCoords: 2402.79 14.33 2828.03 EndCoords: 2402.29 0.00 3287.66",""
"620","Eastern Fouls Plains","1","1","345.519,198.449","2922.6,202","615","Southern Fouls Hills","2","Destination Id: 0 StartCoords: 2859.40 33.45 3402.58 EndCoords: 350.61 19.40 3398.94",""
"620","Eastern Fouls Plains","1","12","199.8,3392.6","201.7,2875.1","625","Milky Way","1","Destination Id: 0 StartCoords: 5040.00 57.00 150.00 EndCoords: 5040.00 38.18 673.00",""
"620","Eastern Fouls Plains","1","14","200.7,2765.2","202.6,201.6","630","Pleasant Meadows","2","Destination Id: 0 StartCoords: 3400.00 23.65 289.70 EndCoords: 3400.00 41.49 2790.60",""
"625","Milky Way","1","1","239,200","1554.5,200","695","Lush Fields","2","Destination Id: 0 StartCoords: 3481.19 14.56 3795.94 EndCoords: 1994.39 8.44 3795.94",""
"625","Milky Way","1","3","1780,200","4855,200","630","Pleasant Meadows","3","Destination Id: 0 StartCoords: 3189.65 46.68 2884.00 EndCoords: 200.00 2.20 2884.00",""
"625","Milky Way","1","6","5040,150","5040,673","620","Eastern Fouls Plains","3","","invalid destination index"
"625","Milky Way","1","10","1260,2712","454.577,2711.999","635","Stret East Bank","1","Destination Id: 0 StartCoords: 1480.10 39.21 200.48 EndCoords: 2316.18 32.52 204.29",""
"625","Milky Way","1","12","200,2711.999","200,1595","655","Andromeda","8","Destination Id: 0 StartCoords: 4930.31 41.54 1067.61 EndCoords: 4933.05 23.70 2195.75",""
"630","Pleasant Meadows","0","24","200,2681.8","200,274","695","Lush Fields","1","Destination Id: 0 StartCoords: 3803.99 12.35 1150.94 EndCoords: 3803.99 7.00 3555.94",""
"630","Pleasant Meadows","0","28","1223.7,200","2156.5,200","716","Omni Forest","49","","invalid destination index"
"630","Pleasant Meadows","0","35","2252.3,200","3349.14,200","717","Greater Omni Forest","44","","invalid destination index"
"630","Pleasant Meadows","0","37","3400,289.7","3400,2790.6","620","Eastern Fouls Plains","1","Destination Id: 0 StartCoords: 200.70 31.83 2765.20 EndCoords: 202.60 0.00 201.60",""
"630","Pleasant Meadows","0","46","3189.647,2884","200,2884","625","Milky Way","2","Destination Id: 0 StartCoords: 1780.00 24.60 200.00 EndCoords: 4855.00 44.55 200.00",""
"635","Stret East Bank","5","6","2203.486,532.175","2200.886,3212.703","610","Southern Artery Valley ","1","Destination Id: 0 StartCoords: 199.99 32.70 2950.00 EndCoords: 200.00 16.60 265.15",""
"635","Stret East Bank","5","8","2168.241,3251.427","201.047,3236.725","650","Upper Stret East Bank","1","Destination Id: 0 StartCoords: 201.43 0.60 202.55 EndCoords: 2196.18 51.00 201.25",""
"635","Stret East Bank","5","10","203.436,3197.512","205.48,1049.74","760","4 Holes","1","Destination Id: 0 StartCoords: 2205.40 0.80 206.57 EndCoords: 2205.37 0.56 2599.92",""
"635","Stret East Bank","5","17","222.732,203.242","1197.469,200.105","655","Andromeda","2","Destination Id: 0 StartCoords: 4870.32 9.29 2198.45 EndCoords: 3992.18 0.00 2205.82",""
"635","Stret East Bank","5","19","1480.098,200.484","2316.183,204.293","625","Milky Way","3","Destination Id: 0 StartCoords: 1260.00 26.40 2712.00 EndCoords: 454.58 63.00 2712.00",""
"640","Tir","0","4","369.029,441.866","369.029,434.067","646","Tir County","3","Destination Id: 0 StartCoords: 2117.30 4.81 1074.30 EndCoords: 2117.30 4.99 1081.80",""
"640","Tir","0","7","453.153,297.074","462.064,297.024","646","Tir County","2","Destination Id: 0 StartCoords: 2209.80 4.70 936.90 EndCoords: 2202.30 4.37 936.90",""
"640","Tir","1","1","657,426.1","644,426.3","641","Tir Arena","1","Destination Id: 0 StartCoords: 644.00 7.80 426.30 EndCoords: 657.00 8.00 426.10",""
"640","Tir","1","3","582.4,427.7","582.7,439.6","641","Tir Arena","2","Destination Id: 0 StartCoords: 582.70 8.00 439.60 EndCoords: 582.40 8.00 427.70",""
"640","Tir","1","5","583.9,478.7","596.1,477.1","641","Tir Arena","3","Destination Id: 0 StartCoords: 596.10 8.30 477.40 EndCoords: 583.90 8.00 478.70",""
"640","Tir","1","7","643.9,478.5","649.8,478.5","641","Tir Arena","4","","invalid destination index"
"641","Tir Arena","6","2","649.8,478.5","643.9,478.5","640","Tir","33","","invalid destination index"
"641","Tir Arena","6","4","596.1,477.4","583.9,478.7","640","Tir","32","","invalid destination index"
"641","Tir Arena","6","6","582.7,439.6","582.4,427.7","640","Tir","31","","invalid destination index"
"641","Tir Arena","6","8","644,426.3","657,426.1","640","Tir","30","","invalid destination index"
"646","Tir County","0","2","2117.3,1074.3","2117.3,1081.8","640","Tir","2","Destination Id: 0 StartCoords: 369.03 4.86 441.87 EndCoords: 369.03 4.67 434.07",""
"646","Tir County","0","7","2209.8,936.9","2202.3,936.9","640","Tir","1","Destination Id: 0 StartCoords: 453.15 3.56 297.07 EndCoords: 462.06 3.42 297.02",""
"646","Tir County","3","1","198.743,1521.292","199.477,391.043","600","Varmint Woods","5","Destination Id: 0 StartCoords: 4400.49 38.20 312.35 EndCoords: 4402.57 22.59 1455.55",""
"646","Tir County","3","7","3419.243,1482.492","3319.243,1486.201","647","Greater Tir County","40","","invalid destination index"
"646","Tir County","3","8","3319.243,1486.201","3263.079,1439.592","647","Greater Tir County","39","","invalid destination index"
"646","Tir County","3","9","3263.079,1439.592","3199.243,1417.463","647","Greater Tir County","38","","invalid destination index"
"646","Tir County","3","10","3199.243,1417.463","3099.215,1359.592","647","Greater Tir County","37","","invalid destination index"
"646","Tir County","3","11","3099.215,1359.592","3025.687,1319.592","647","Greater Tir County","36","Destination Id: 0 StartCoords: 3028.91 19.50 1322.17 EndCoords: 3102.60 17.30 1362.17",""
"646","Tir County","3","12","3025.687,1319.592","2959.243,1299.829","647","Greater Tir County","35","Destination Id: 0 StartCoords: 2961.96 17.45 1302.87 EndCoords: 3028.91 19.50 1322.17",""
"646","Tir County","3","13","2959.243,1299.829","2900.896,1319.592","647","Greater Tir County","34","Destination Id: 0 StartCoords: 2903.65 17.27 1322.17 EndCoords: 2961.96 17.45 1302.87",""
"646","Tir County","3","14","2900.896,1319.592","2824.574,1359.592","647","Greater Tir County","33","Destination Id: 0 StartCoords: 2827.92 16.49 1362.17 EndCoords: 2903.65 17.27 1322.17",""
"646","Tir County","3","15","2824.574,1359.592","2761.857,1399.592","647","Greater Tir County","32","Destination Id: 0 StartCoords: 2764.15 15.46 1402.17 EndCoords: 2827.92 16.49 1362.17",""
"646","Tir County","3","16","2761.857,1399.592","2668.712,1439.592","647","Greater Tir County","31","Destination Id: 0 StartCoords: 2672.47 16.99 1442.17 EndCoords: 2764.15 15.46 1402.17",""
"646","Tir County","3","17","2668.712,1439.592","2540.112,1479.592","647","Greater Tir County","30","Destination Id: 0 StartCoords: 2542.36 14.73 1482.17 EndCoords: 2672.47 16.99 1442.17",""
"646","Tir County","3","18","2540.112,1479.592","2399.243,1449.808","647","Greater Tir County","29","Destination Id: 0 StartCoords: 2401.96 16.80 1452.47 EndCoords: 2542.36 14.73 1482.17",""
"646","Tir County","3","19","2399.243,1449.808","2319.243,1485.066","647","Greater Tir County","28","Destination Id: 0 StartCoords: 2321.96 19.48 1487.59 EndCoords: 2401.96 16.80 1452.47",""
"646","Tir County","3","20","2319.243,1485.066","2239.243,1525.235","647","Greater Tir County","27","Destination Id: 0 StartCoords: 2241.96 13.83 1527.95 EndCoords: 2321.96 19.48 1487.59",""
"646","Tir County","3","21","2239.243,1525.235","2179.606,1559.592","647","Greater Tir County","26","Destination Id: 0 StartCoords: 2183.07 11.70 1562.17 EndCoords: 2241.96 13.83 1527.95",""
"646","Tir County","3","22","2179.606,1559.592","2119.243,1628.371","647","Greater Tir County","25","Destination Id: 0 StartCoords: 2121.96 15.00 1630.96 EndCoords: 2183.07 11.70 1562.17",""
"646","Tir County","3","23","2119.243,1628.371","2079.243,1698.192","647","Greater Tir County","24","Destination Id: 0 StartCoords: 2081.96 15.20 1700.78 EndCoords: 2121.96 15.00 1630.96",""
"646","Tir County","3","24","2079.243,1698.192","1999.243,1736.48","647","Greater Tir County","23","Destination Id: 0 StartCoords: 2001.96 17.27 1739.27 EndCoords: 2081.96 15.20 1700.78",""
"646","Tir County","3","25","1999.243,1736.48","1959.243,1738.741","647","Greater Tir County","22","Destination Id: 0 StartCoords: 1940.92 18.14 1762.17 EndCoords: 2001.96 17.27 1739.27",""
"646","Tir County","3","26","1959.243,1738.741","1828.546,1719.592","647","Greater Tir County","21","Destination Id: 0 StartCoords: 1830.67 15.00 1722.17 EndCoords: 1940.92 18.14 1762.17",""
"646","Tir County","3","27","1828.546,1719.592","1746.389,1679.592","647","Greater Tir County","20","Destination Id: 0 StartCoords: 1748.20 20.80 1682.17 EndCoords: 1830.67 15.00 1722.17",""
"646","Tir County","3","28","1746.389,1679.592","1681.303,1639.592","647","Greater Tir County","19","Destination Id: 0 StartCoords: 1683.29 23.20 1642.17 EndCoords: 1748.20 20.80 1682.17",""
"646","Tir County","3","29","1681.303,1639.592","1639.243,1591.396","647","Greater Tir County","18","Destination Id: 0 StartCoords: 1641.96 19.86 1594.56 EndCoords: 1683.29 23.20 1642.17",""
"646","Tir County","3","30","1639.243,1591.396","1613.771,1519.592","647","Greater Tir County","17","Destination Id: 0 StartCoords: 1615.19 18.44 1522.17 EndCoords: 1641.96 19.86 1594.56",""
"646","Tir County","3","31","1613.771,1519.592","1599.243,1448.825","647","Greater Tir County","16","Destination Id: 0 StartCoords: 1601.96 21.90 1450.18 EndCoords: 1615.19 18.44 1522.17",""
"646","Tir County","3","32","1599.243,1448.825","1559.243,1391.234","647","Greater Tir County","15","Destination Id: 0 StartCoords: 1561.96 13.80 1393.61 EndCoords: 1601.96 21.90 1450.18",""
"646","Tir County","3","33","1559.243,1391.234","1479.243,1335.077","647","Greater Tir County","14","Destination Id: 0 StartCoords: 1481.96 17.01 1337.57 EndCoords: 1561.96 13.80 1393.61",""
"646","Tir County","3","34","1479.243,1335.077","1399.243,1302.1","647","Greater Tir County","13","Destination Id: 0 StartCoords: 1401.96 27.65 1304.33 EndCoords: 1481.96 17.01 1337.57",""
"646","Tir County","3","35","1399.243,1302.1","1279.243,1296.443","647","Greater Tir County","12","Destination Id: 0 StartCoords: 1281.96 26.86 1301.20 EndCoords: 1401.96 27.65 1304.33",""
"646","Tir County","3","36","1279.243,1296.443","1119.243,1298.621","647","Greater Tir County","11","Destination Id: 0 StartCoords: 1121.96 23.50 1301.63 EndCoords: 1281.96 26.86 1301.20",""
"646","Tir County","3","37","1119.243,1298.621","959.243,1302.471","647","Greater Tir County","10","Destination Id: 0 StartCoords: 961.96 11.28 1304.58 EndCoords: 1121.96 23.50 1301.63",""
"646","Tir County","3","38","959.243,1302.471","759.243,1326.403","647","Greater Tir County","9","Destination Id: 0 StartCoords: 761.96 11.10 1328.16 EndCoords: 961.96 11.28 1304.58",""
"646","Tir County","3","39","759.243,1326.403","679.243,1398.16","647","Greater Tir County","8","Destination Id: 0 StartCoords: 683.44 14.78 1402.17 EndCoords: 761.96 11.10 1328.16",""
"646","Tir County","3","40","679.243,1398.16","614.106,1479.592","647","Greater Tir County","7","Destination Id: 0 StartCoords: 617.37 18.64 1482.17 EndCoords: 683.44 14.78 1402.17",""
"646","Tir County","3","41","614.106,1479.592","519.243,1544.704","647","Greater Tir County","6","Destination Id: 0 StartCoords: 521.96 21.60 1547.11 EndCoords: 617.37 18.64 1482.17",""
"646","Tir County","3","42","519.243,1544.704","221.643,1544.592","647","Greater Tir County","5","Destination Id: 0 StartCoords: 228.36 27.72 1547.17 EndCoords: 521.96 21.60 1547.11",""
