enemy_name,monster_data,corpses,empty_corpses,levels,credits_min,credits_max,credits_avg,low_id,high_id,ql,item_name,item_label,observed_on_corpses,observed_rate_pct,total_qty
Cleanmeister Intelligence Robot,297023,3,0,2,17,17,17.0,123514,123515,2,Irreparable Khemo-Tech Model 200,123514-123515 Irreparable Khemo-Tech Model 200 QL2,1,33.3,1
Cleanmeister Intelligence Robot,297023,3,0,2,17,17,17.0,123789,123790,2,Leaking MTI VP300 Caseless,123789-123790 Leaking MTI VP300 Caseless QL2,1,33.3,1
Cleanmeister Intelligence Robot,297023,3,0,2,17,17,17.0,129064,129065,2,3rd level Ninja Tanto,129064-129065 3rd level Ninja Tanto QL2,1,33.3,1
Cleanmeister Intelligence Robot,297023,3,0,2,17,17,17.0,130042,130043,2,Apprentice G-Staff,130042-130043 Apprentice G-Staff QL2,1,33.3,1
Cleanmeister Intelligence Robot,297023,3,0,2,17,17,17.0,135719,135719,1,Omni-Tek Suit,135719 Omni-Tek Suit QL1,1,33.3,1
Cleanmeister Intelligence Robot,297023,3,0,2,17,17,17.0,154069,150213,2,Fayalite Flamberge,154069-150213 Fayalite Flamberge QL2,1,33.3,1
Cleanmeister Intelligence Robot,297023,3,0,2,17,17,17.0,160338,160339,2,Kirch Kevlar Armor Vest,160338-160339 Kirch Kevlar Armor Vest QL2,1,33.3,1
Cleanmeister Intelligence Robot,297023,3,0,2,17,17,17.0,160604,160604,20,Hologram PD: Rock Block,160604 Hologram PD: Rock Block QL20,1,33.3,1
Cleanmeister Intelligence Robot,297023,3,0,2,17,17,17.0,161609,161610,2,Fazekas Crystal I,161609-161610 Fazekas Crystal I QL2,1,33.3,1
Cleanmeister Intelligence Robot,297023,3,0,2,17,17,17.0,201045,201046,2,Omni-Scout Forest Armor Gloves,201045-201046 Omni-Scout Forest Armor Gloves QL2,1,33.3,1
Cleanmeister Intelligence Robot,297023,3,0,2,17,17,17.0,201072,201073,2,Omni-Scout Desert Armor Gloves,201072-201073 Omni-Scout Desert Armor Gloves QL2,1,33.3,1
Cleanmeister Intelligence Robot,297023,3,0,2,17,17,17.0,206656,206657,2,Boots of the Dancing King,206656-206657 Boots of the Dancing King QL2,1,33.3,1
Desert Reet,30365,9,2,"5,6",29,35,31.67,42640,42641,5,Monster Parts,42640-42641 Monster Parts QL5,3,33.3,3
Desert Reet,30365,9,2,"5,6",29,35,31.67,42640,42641,6,Monster Parts,42640-42641 Monster Parts QL6,2,22.2,2
Desert Reet,30365,9,2,"5,6",29,35,31.67,248328,248328,1,Reet Beak,248328 Reet Beak QL1,2,22.2,2
Desert Reet,30365,9,2,"5,6",29,35,31.67,42640,42641,7,Monster Parts,42640-42641 Monster Parts QL7,1,11.1,1
Desert Reet,30365,9,2,"5,6",29,35,31.67,70558,85640,5,Battered Low-Tech Armor Boots,70558-85640 Battered Low-Tech Armor Boots QL5,1,11.1,1
Desert Reet,30365,9,2,"5,6",29,35,31.67,70561,85744,6,Battered Low-Tech Armor Sleeves,70561-85744 Battered Low-Tech Armor Sleeves QL6,1,11.1,1
Garbage Flea,17657,11,6,"1,2",5,11,7.73,248322,248322,1,Venom Sample,248322 Venom Sample QL1,5,45.5,5
Garbage Flea,17657,11,6,"1,2",5,11,7.73,70560,85688,2,Battered Low-Tech Female Body Armor,70560-85688 Battered Low-Tech Female Body Armor QL2,1,9.1,1
Gnarl the Roller,17687,1,0,7,62,62,62.0,85512,85511,6,Worn Metaplast Armor Pants,85512-85511 Worn Metaplast Armor Pants QL6,1,100.0,1
Gnarl the Roller,17687,1,0,7,62,62,62.0,85750,85749,6,Battered Leather Armor Sleeves,85750-85749 Battered Leather Armor Sleeves QL6,1,100.0,1
Gnarl the Roller,17687,1,0,7,62,62,62.0,122064,122065,6,Unbalanced Clean Slay Axe,122064-122065 Unbalanced Clean Slay Axe QL6,1,100.0,1
Gnarl the Roller,17687,1,0,7,62,62,62.0,124106,124107,6,Worn Kalo-BBI Model 55,124106-124107 Worn Kalo-BBI Model 55 QL6,1,100.0,1
Gnarl the Roller,17687,1,0,7,62,62,62.0,160103,160104,6,Zastaba Velocity ST,160103-160104 Zastaba Velocity ST QL6,1,100.0,1
Gnarl the Roller,17687,1,0,7,62,62,62.0,162736,162736,7,Instruction Disc (Relieving Salve),162736 Instruction Disc (Relieving Salve) QL7,1,100.0,1
Gnarl the Roller,17687,1,0,7,62,62,62.0,201087,201088,6,Omni Life Guard Body Armor,201087-201088 Omni Life Guard Body Armor QL6,1,100.0,1
Kneebreaker Alfonzo Rizzolo,165196,1,0,4,23,23,23.0,70561,85744,4,Battered Low-Tech Armor Sleeves,70561-85744 Battered Low-Tech Armor Sleeves QL4,1,100.0,1
Malfunctioning Cleaning Robot,297023,2,2,1,5,5,5.0,,,,,(empty corpse),,,
Rollerrat,17687,26,14,"5,6",29,35,32.92,248333,248333,1,Rollerrat Intestines,248333 Rollerrat Intestines QL1,7,26.9,7
Rollerrat,17687,26,14,"5,6",29,35,32.92,70559,85689,7,Battered Low-Tech Body Armor,70559-85689 Battered Low-Tech Body Armor QL7,2,7.7,2
Rollerrat,17687,26,14,"5,6",29,35,32.92,70558,85640,6,Battered Low-Tech Armor Boots,70558-85640 Battered Low-Tech Armor Boots QL6,1,3.8,1
Rollerrat,17687,26,14,"5,6",29,35,32.92,70559,85689,5,Battered Low-Tech Body Armor,70559-85689 Battered Low-Tech Body Armor QL5,1,3.8,1
Rollerrat,17687,26,14,"5,6",29,35,32.92,70560,85688,7,Battered Low-Tech Female Body Armor,70560-85688 Battered Low-Tech Female Body Armor QL7,1,3.8,1
Rollerrat,17687,26,14,"5,6",29,35,32.92,70561,85744,7,Battered Low-Tech Armor Sleeves,70561-85744 Battered Low-Tech Armor Sleeves QL7,1,3.8,1
Rollerrat,17687,26,14,"5,6",29,35,32.92,84150,84149,4,Ring of Power - Physics,84150-84149 Ring of Power - Physics QL4,1,3.8,1
Rollerrat,17687,26,14,"5,6",29,35,32.92,84158,84157,6,Ring of Power - Elements,84158-84157 Ring of Power - Elements QL6,1,3.8,1
Supreme Collector of Waste,17714,3,0,4,35,35,35.0,160603,160603,20,Hologram PD: Mossy Rock,160603 Hologram PD: Mossy Rock QL20,2,66.7,2
Supreme Collector of Waste,17714,3,0,4,35,35,35.0,162736,162736,7,Instruction Disc (Relieving Salve),162736 Instruction Disc (Relieving Salve) QL7,2,66.7,2
Supreme Collector of Waste,17714,3,0,4,35,35,35.0,42620,42619,4,Robot Junk,42620-42619 Robot Junk QL4,1,33.3,1
Supreme Collector of Waste,17714,3,0,4,35,35,35.0,70565,85514,3,Battered Low-Tech Armor Shorts,70565-85514 Battered Low-Tech Armor Shorts QL3,1,33.3,1
Supreme Collector of Waste,17714,3,0,4,35,35,35.0,85533,85532,3,Battered Light Combat Armor Pants,85533-85532 Battered Light Combat Armor Pants QL3,1,33.3,1
Supreme Collector of Waste,17714,3,0,4,35,35,35.0,85761,85760,3,Battered Light Combat Armor Sleeves,85761-85760 Battered Light Combat Armor Sleeves QL3,1,33.3,1
Supreme Collector of Waste,17714,3,0,4,35,35,35.0,121629,121630,3,Rusty Spiked Axe,121629-121630 Rusty Spiked Axe QL3,1,33.3,1
Supreme Collector of Waste,17714,3,0,4,35,35,35.0,123038,123039,5,Ill-Treated Medium Shotgun,123038-123039 Ill-Treated Medium Shotgun QL5,1,33.3,1
Supreme Collector of Waste,17714,3,0,4,35,35,35.0,124383,124384,3,HSR Arms F-59,124383-124384 HSR Arms F-59 QL3,1,33.3,1
Supreme Collector of Waste,17714,3,0,4,35,35,35.0,124391,124392,3,OT Rancho Colonial Carbine,124391-124392 OT Rancho Colonial Carbine QL3,1,33.3,1
Supreme Collector of Waste,17714,3,0,4,35,35,35.0,135719,135719,1,Omni-Tek Suit,135719 Omni-Tek Suit QL1,1,33.3,1
Supreme Collector of Waste,17714,3,0,4,35,35,35.0,153083,153084,3,Obtuse G-Staff,153083-153084 Obtuse G-Staff QL3,1,33.3,1
Supreme Collector of Waste,17714,3,0,4,35,35,35.0,160216,160217,5,East Wind Katana,160216-160217 East Wind Katana QL5,1,33.3,1
Supreme Collector of Waste,17714,3,0,4,35,35,35.0,160704,160704,24,Nano Crystal (Total Concentration),160704 Nano Crystal (Total Concentration) QL24,1,33.3,1
Supreme Collector of Waste,17714,3,0,4,35,35,35.0,160736,160737,3,Head Skinchip - ICC Engineer,160736-160737 Head Skinchip - ICC Engineer QL3,1,33.3,1
Supreme Collector of Waste,17714,3,0,4,35,35,35.0,201068,201069,3,Omni-Scout Desert Armor Sleeves,201068-201069 Omni-Scout Desert Armor Sleeves QL3,1,33.3,1
Supreme Collector of Waste,17714,3,0,4,35,35,35.0,201076,201077,3,Omni-Scout Desert Armor Pants,201076-201077 Omni-Scout Desert Armor Pants QL3,1,33.3,1
Waste Collector,17714,16,4,2,11,11,11.0,42620,42619,2,Robot Junk,42620-42619 Robot Junk QL2,8,50.0,8
Waste Collector,17714,16,4,2,11,11,11.0,248315,248315,1,Fluid Sample,248315 Fluid Sample QL1,4,25.0,4
Waste Collector,17714,16,4,2,11,11,11.0,248319,248319,1,Fuel Chamber,248319 Fuel Chamber QL1,4,25.0,4
Waste Collector,17714,16,4,2,11,11,11.0,70558,85640,2,Battered Low-Tech Armor Boots,70558-85640 Battered Low-Tech Armor Boots QL2,2,12.5,2
Waste Collector,17714,16,4,2,11,11,11.0,248334,248334,1,Compression Chamber,248334 Compression Chamber QL1,2,12.5,2
Waste Collector,17714,16,4,2,11,11,11.0,70561,85744,2,Battered Low-Tech Armor Sleeves,70561-85744 Battered Low-Tech Armor Sleeves QL2,1,6.2,1
Waste Collector,17714,16,4,2,11,11,11.0,70562,85597,2,Battered Low-Tech Armor Gloves,70562-85597 Battered Low-Tech Armor Gloves QL2,1,6.2,1
Waste Collector,17714,16,4,2,11,11,11.0,297289,297289,1,Shiny Sword,297289 Shiny Sword QL1,1,6.2,1
