mission_ql,captured,offer_count,request_count,unique_destinations,unique_destination_playfields,new_destinations_last_100,new_destinations_last_500,new_destinations_last_1000,marginal_new_destinations_per_1000,saturation,previous_ql_destination_jaccard,next_ql_destination_jaccard,candidate_level_count,candidate_levels,candidate_detents,recommended_priority,recommendation_reason,included_in_broad_wave,probability_inference
25,True,2510,502,124,5,0,0,1,1.0,STABILIZING,0.0,0.0,10,17;21;23;25;28;30;32;34;36;37,17:10;21:8;23:7;25:6;28:5;30:4;32:3;34:2;36:1;37:1,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
26,True,1255,251,188,6,6,20,69,69.0,EXPANDING,0.0,0.0,10,15;20;22;24;26;29;31;33;35;38,15:11;20:9;22:8;24:7;26:6;29:5;31:4;33:3;35:2;38:1,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
27,True,2510,502,244,9,0,4,12,12.0,EXPANDING,0.0,0.0,12,18;21;23;25;27;30;31;32;34;36;37;39,18:10;21:9;23:8;25:7;27:6;30:5;31:5;32:4;34:3;36:2;37:2;39:1,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
28,True,1255,251,192,5,2,21,80,80.0,EXPANDING,0.0,0.432304,14,16;19;22;24;26;28;32;33;34;35;36;38;40;41,16:11;19:10;22:9;24:8;26:7;28:6;32:5;33:4;34:4;35:3;36:3;38:2;40:1;41:1,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
29,True,2510,502,411,14,5,29,99,99.0,EXPANDING,0.432304,0.443439,8,23;27;29;33;35;37;39;42,23:9;27:7;29:6;33:5;35:4;37:3;39:2;42:1,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
30,True,1255,251,227,9,3,26,103,103.0,EXPANDING,0.443439,0.475751,12,17;20;25;28;30;34;36;38;40;41;43;44,17:11;20:10;25:8;28:7;30:6;34:5;36:4;38:3;40:2;41:2;43:1;44:1,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
31,True,2510,502,412,14,6,39,104,104.0,EXPANDING,0.475751,0.339956,10,21;24;26;29;31;35;37;39;42;45,21:10;24:9;26:8;29:7;31:6;35:5;37:4;39:3;42:2;45:1,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
32,True,1255,251,195,7,3,19,73,73.0,EXPANDING,0.339956,0.897059,11,18;25;27;32;36;38;40;41;43;46;47,18:11;25:9;27:8;32:6;36:5;38:4;40:3;41:3;43:2;46:1;47:1,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
33,True,1255,251,192,7,3,19,82,82.0,EXPANDING,0.897059,0.0,11,22;26;28;30;33;37;39;42;44;45;48,22:10;26:9;28:8;30:7;33:6;37:5;39:4;42:3;44:2;45:2;48:1,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
34,False,0,0,0,0,0,0,0,,NOT_CAPTURED,0.0,0.0,11,19;23;29;31;34;38;40;41;43;46;49,19:11;23:10;29:8;31:7;34:6;38:5;40:4;41:4;43:3;46:2;49:1,P0,CLOSE_CURRENT_QL_FRONTIER_GAP,True,NOT_PERFORMED
35,True,1255,251,184,5,4,23,72,72.0,EXPANDING,0.0,0.0,9,27;32;35;39;42;44;47;50;51,27:9;32:7;35:6;39:5;42:4;44:3;47:2;50:1;51:1,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
36,False,0,0,0,0,0,0,0,,NOT_CAPTURED,0.0,0.0,14,20;24;28;30;33;36;40;41;43;45;46;48;49;52,20:11;24:10;28:9;30:8;33:7;36:6;40:5;41:5;43:4;45:3;46:3;48:2;49:2;52:1,P0,CLOSE_CURRENT_QL_FRONTIER_GAP,True,NOT_PERFORMED
37,True,2510,502,227,7,2,2,9,9.0,EXPANDING,0.0,0.0,12,21;25;29;31;34;37;42;44;47;50;53;54,21:11;25:10;29:9;31:8;34:7;37:6;42:5;44:4;47:3;50:2;53:1;54:1,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
38,True,1255,251,190,6,1,12,74,74.0,EXPANDING,0.0,0.0,9,22;32;35;38;43;45;48;51;55,22:11;32:8;35:7;38:6;43:5;45:4;48:3;51:2;55:1,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
39,False,0,0,0,0,0,0,0,,NOT_CAPTURED,0.0,0.0,13,26;30;33;36;39;44;46;47;49;52;53;56;57,26:10;30:9;33:8;36:7;39:6;44:5;46:4;47:4;49:3;52:2;53:2;56:1;57:1,P0,CLOSE_CURRENT_QL_FRONTIER_GAP,True,NOT_PERFORMED
40,True,1255,251,212,7,4,23,97,97.0,EXPANDING,0.0,0.0,11,27;31;34;37;40;45;48;50;51;54;58,27:10;31:9;34:8;37:7;40:6;45:5;48:4;50:3;51:3;54:2;58:1,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
41,False,0,0,0,0,0,0,0,,NOT_CAPTURED,0.0,0.0,9,23;32;38;41;46;49;52;55;59,23:11;32:9;38:7;41:6;46:5;49:4;52:3;55:2;59:1,P0,CLOSE_CURRENT_QL_FRONTIER_GAP,True,NOT_PERFORMED
42,True,1255,251,196,6,4,18,75,75.0,EXPANDING,0.0,0.0,13,24;28;33;35;39;42;47;50;53;56;57;60;61,24:11;28:10;33:9;35:8;39:7;42:6;47:5;50:4;53:3;56:2;57:2;60:1;61:1,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
43,False,0,0,0,0,0,0,0,,NOT_CAPTURED,0.0,0.0,8,29;36;43;48;51;54;58;62,29:10;36:8;43:6;48:5;51:4;54:3;58:2;62:1,P0,CLOSE_CURRENT_QL_FRONTIER_GAP,True,NOT_PERFORMED
44,True,2510,502,209,7,0,3,3,3.0,STABILIZING,0.0,0.0,12,25;34;37;40;44;49;52;55;56;59;63;64,25:11;34:9;37:8;40:7;44:6;49:5;52:4;55:3;56:3;59:2;63:1;64:1,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
45,True,1255,251,189,7,3,30,73,73.0,EXPANDING,0.0,0.0,13,30;35;38;41;45;50;51;53;54;57;60;61;65,30:10;35:9;38:8;41:7;45:6;50:5;51:5;53:4;54:4;57:3;60:2;61:2;65:1,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
46,False,0,0,0,0,0,0,0,,NOT_CAPTURED,0.0,,12,26;31;36;39;42;46;52;55;58;62;66;67,26:11;31:10;36:9;39:8;42:7;46:6;52:5;55:4;58:3;62:2;66:1;67:1,P0,CLOSE_CURRENT_QL_FRONTIER_GAP,True,NOT_PERFORMED
47,False,0,0,0,0,0,0,0,,NOT_CAPTURED,,0.0,7,43;47;53;56;59;63;68,43:7;47:6;53:5;56:4;59:3;63:2;68:1,P0,CLOSE_CURRENT_QL_FRONTIER_GAP,True,NOT_PERFORMED
48,True,1255,251,218,6,0,12,73,73.0,EXPANDING,0.0,0.0,13,27;32;37;40;44;48;54;57;60;61;64;65;69,27:11;32:10;37:9;40:8;44:7;48:6;54:5;57:4;60:3;61:3;64:2;65:2;69:1,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
49,False,0,0,0,0,0,0,0,,NOT_CAPTURED,0.0,,11,33;38;41;45;49;55;58;62;66;70;71,33:10;38:9;41:8;45:7;49:6;55:5;58:4;62:3;66:2;70:1;71:1,P0,CLOSE_CURRENT_QL_FRONTIER_GAP,True,NOT_PERFORMED
50,False,0,0,0,0,0,0,0,,NOT_CAPTURED,,,10,28;39;42;46;50;56;59;63;67;72,28:11;39:9;42:8;46:7;50:6;56:5;59:4;63:3;67:2;72:1,P0,CLOSE_CURRENT_QL_FRONTIER_GAP,True,NOT_PERFORMED
51,False,0,0,0,0,0,0,0,,NOT_CAPTURED,,0.0,13,29;34;43;47;51;57;60;61;64;68;69;73;74,29:11;34:10;43:8;47:7;51:6;57:5;60:4;61:4;64:3;68:2;69:2;73:1;74:1,P0,CLOSE_CURRENT_QL_FRONTIER_GAP,True,NOT_PERFORMED
52,True,1255,251,187,7,2,22,71,71.0,EXPANDING,0.0,0.0,11,35;40;44;48;52;58;62;65;66;70;75,35:10;40:9;44:8;48:7;52:6;58:5;62:4;65:3;66:3;70:2;75:1,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
53,False,0,0,0,0,0,0,0,,NOT_CAPTURED,0.0,,10,30;41;49;53;59;63;67;71;76;77,30:11;41:9;49:7;53:6;59:5;63:4;67:3;71:2;76:1;77:1,P0,CLOSE_CURRENT_QL_FRONTIER_GAP,True,NOT_PERFORMED
54,False,0,0,0,0,0,0,0,,NOT_CAPTURED,,0.0,11,36;42;45;54;60;61;64;68;72;73;78,36:10;42:9;45:8;54:6;60:5;61:5;64:4;68:3;72:2;73:2;78:1,P0,CLOSE_CURRENT_QL_FRONTIER_GAP,True,NOT_PERFORMED
55,True,1255,251,181,8,3,8,56,56.0,EXPANDING,0.0,0.0,11,31;37;43;46;50;55;62;65;69;74;79,31:11;37:10;43:9;46:8;50:7;55:6;62:5;65:4;69:3;74:2;79:1,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
56,False,0,0,0,0,0,0,0,,NOT_CAPTURED,0.0,,12,32;47;51;56;63;66;67;70;71;75;80;81,32:11;47:8;51:7;56:6;63:5;66:4;67:4;70:3;71:3;75:2;80:1;81:1,P0,CLOSE_CURRENT_QL_FRONTIER_GAP,True,NOT_PERFORMED
57,False,0,0,0,0,0,0,0,,NOT_CAPTURED,,,11,38;44;48;52;57;64;68;72;76;77;82,38:10;44:9;48:8;52:7;57:6;64:5;68:4;72:3;76:2;77:2;82:1,P0,CLOSE_CURRENT_QL_FRONTIER_GAP,True,NOT_PERFORMED
58,False,0,0,0,0,0,0,0,,NOT_CAPTURED,,,12,33;39;45;49;53;58;65;69;73;78;83;84,33:11;39:10;45:9;49:8;53:7;58:6;65:5;69:4;73:3;78:2;83:1;84:1,P0,CLOSE_CURRENT_QL_FRONTIER_GAP,True,NOT_PERFORMED
59,False,0,0,0,0,0,0,0,,NOT_CAPTURED,,,8,46;54;59;66;70;74;79;85,46:9;54:7;59:6;66:5;70:4;74:3;79:2;85:1,P0,CLOSE_CURRENT_QL_FRONTIER_GAP,True,NOT_PERFORMED
60,False,0,0,0,0,0,0,0,,NOT_CAPTURED,,,14,34;40;50;55;60;67;71;75;76;77;80;81;86;87,34:11;40:10;50:8;55:7;60:6;67:5;71:4;75:3;76:3;77:3;80:2;81:2;86:1;87:1,P0,CLOSE_CURRENT_QL_FRONTIER_GAP,True,NOT_PERFORMED
61,False,0,0,0,0,0,0,0,,NOT_CAPTURED,,0.0,9,41;47;51;56;61;68;72;82;88,41:10;47:9;51:8;56:7;61:6;68:5;72:4;82:2;88:1,P0,CLOSE_CURRENT_QL_FRONTIER_GAP,True,NOT_PERFORMED
62,True,1255,251,95,9,0,1,11,11.0,EXPANDING,0.0,0.0,11,35;48;52;57;62;69;73;74;78;83;89,35:11;48:9;52:8;57:7;62:6;69:5;73:4;74:4;78:3;83:2;89:1,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
63,False,0,0,0,0,0,0,0,,NOT_CAPTURED,0.0,,13,42;49;53;58;63;70;71;75;79;84;85;90;91,42:10;49:9;53:8;58:7;63:6;70:5;71:5;75:4;79:3;84:2;85:2;90:1;91:1,P0,CLOSE_CURRENT_QL_FRONTIER_GAP,True,NOT_PERFORMED
64,False,0,0,0,0,0,0,0,,NOT_CAPTURED,,,12,36;43;54;59;64;72;76;77;80;81;86;92,36:11;43:10;54:8;59:7;64:6;72:5;76:4;77:4;80:3;81:3;86:2;92:1,P0,CLOSE_CURRENT_QL_FRONTIER_GAP,True,NOT_PERFORMED
65,False,0,0,0,0,0,0,0,,NOT_CAPTURED,,0.0,7,50;65;73;82;87;93;94,50:9;65:6;73:5;82:3;87:2;93:1;94:1,P0,CLOSE_CURRENT_QL_FRONTIER_GAP,True,NOT_PERFORMED
66,True,1255,251,174,8,0,6,55,55.0,EXPANDING,0.0,0.0,12,37;44;51;55;60;66;74;78;83;88;89;95,37:11;44:10;51:9;55:8;60:7;66:6;74:5;78:4;83:3;88:2;89:2;95:1,P4,ALREADY_CAPTURED_NO_BROAD_REPEAT,False,NOT_PERFORMED
67,False,0,0,0,0,0,0,0,,NOT_CAPTURED,0.0,,11,45;52;56;61;67;75;79;84;90;96;97,45:10;52:9;56:8;61:7;67:6;75:5;79:4;84:3;90:2;96:1;97:1,P0,CLOSE_CURRENT_QL_FRONTIER_GAP,True,NOT_PERFORMED
68,False,0,0,0,0,0,0,0,,NOT_CAPTURED,,,12,38;53;57;62;68;76;80;81;85;86;91;98,38:11;53:9;57:8;62:7;68:6;76:5;80:4;81:4;85:3;86:3;91:2;98:1,P2,DEFER_UNTIL_BROAD_WAVE_MARGINAL_YIELD_REVIEW,False,NOT_PERFORMED
69,False,0,0,0,0,0,0,0,,NOT_CAPTURED,,,11,39;46;58;63;69;77;82;87;92;93;99,39:11;46:10;58:8;63:7;69:6;77:5;82:4;87:3;92:2;93:2;99:1,P2,DEFER_UNTIL_BROAD_WAVE_MARGINAL_YIELD_REVIEW,False,NOT_PERFORMED
70,False,0,0,0,0,0,0,0,,NOT_CAPTURED,,,11,47;54;59;64;70;78;83;88;94;100;101,47:10;54:9;59:8;64:7;70:6;78:5;83:4;88:3;94:2;100:1;101:1,P2,DEFER_UNTIL_BROAD_WAVE_MARGINAL_YIELD_REVIEW,False,NOT_PERFORMED
71,False,0,0,0,0,0,0,0,,NOT_CAPTURED,,,9,40;55;65;71;79;84;89;95;102,40:11;55:9;65:7;71:6;79:5;84:4;89:3;95:2;102:1,P2,DEFER_UNTIL_BROAD_WAVE_MARGINAL_YIELD_REVIEW,False,NOT_PERFORMED
72,False,0,0,0,0,0,0,0,,NOT_CAPTURED,,,14,48;56;60;66;72;80;81;85;90;91;96;97;103;104,48:10;56:9;60:8;66:7;72:6;80:5;81:5;85:4;90:3;91:3;96:2;97:2;103:1;104:1,P2,DEFER_UNTIL_BROAD_WAVE_MARGINAL_YIELD_REVIEW,False,NOT_PERFORMED
73,False,0,0,0,0,0,0,0,,NOT_CAPTURED,,,11,41;49;61;67;73;82;86;87;92;98;105,41:11;49:10;61:8;67:7;73:6;82:5;86:4;87:4;92:3;98:2;105:1,P2,DEFER_UNTIL_BROAD_WAVE_MARGINAL_YIELD_REVIEW,False,NOT_PERFORMED
74,False,0,0,0,0,0,0,0,,NOT_CAPTURED,,,10,57;62;68;74;83;88;93;99;106;107,57:9;62:8;68:7;74:6;83:5;88:4;93:3;99:2;106:1;107:1,P2,DEFER_UNTIL_BROAD_WAVE_MARGINAL_YIELD_REVIEW,False,NOT_PERFORMED
75,False,0,0,0,0,0,0,0,,NOT_CAPTURED,,,12,42;50;58;63;69;75;84;89;94;100;101;108,42:11;50:10;58:9;63:8;69:7;75:6;84:5;89:4;94:3;100:2;101:2;108:1,P1,BROAD_UNOBSERVED_QL_BAND_SAMPLE,True,NOT_PERFORMED
76,False,0,0,0,0,0,0,0,,NOT_CAPTURED,,,10,51;59;64;76;85;90;95;96;102;109,51:10;59:9;64:8;76:6;85:5;90:4;95:3;96:3;102:2;109:1,P2,DEFER_UNTIL_BROAD_WAVE_MARGINAL_YIELD_REVIEW,False,NOT_PERFORMED
77,False,0,0,0,0,0,0,0,,NOT_CAPTURED,,,9,43;70;77;86;91;97;103;110;111,43:11;70:7;77:6;86:5;91:4;97:3;103:2;110:1;111:1,P2,DEFER_UNTIL_BROAD_WAVE_MARGINAL_YIELD_REVIEW,False,NOT_PERFORMED
78,False,0,0,0,0,0,0,0,,NOT_CAPTURED,,,12,44;52;60;65;71;78;87;92;98;104;105;112,44:11;52:10;60:9;65:8;71:7;78:6;87:5;92:4;98:3;104:2;105:2;112:1,P2,DEFER_UNTIL_BROAD_WAVE_MARGINAL_YIELD_REVIEW,False,NOT_PERFORMED
79,False,0,0,0,0,0,0,0,,NOT_CAPTURED,,,12,53;61;66;72;79;88;93;94;99;106;113;114,53:10;61:9;66:8;72:7;79:6;88:5;93:4;94:4;99:3;106:2;113:1;114:1,P2,DEFER_UNTIL_BROAD_WAVE_MARGINAL_YIELD_REVIEW,False,NOT_PERFORMED
80,False,0,0,0,0,0,0,0,,NOT_CAPTURED,,,11,45;62;67;73;80;89;95;100;101;107;115,45:11;62:9;67:8;73:7;80:6;89:5;95:4;100:3;101:3;107:2;115:1,P2,DEFER_UNTIL_BROAD_WAVE_MARGINAL_YIELD_REVIEW,False,NOT_PERFORMED
81,False,0,0,0,0,0,0,0,,NOT_CAPTURED,,,13,54;63;68;74;81;90;91;96;102;108;109;116;117,54:10;63:9;68:8;74:7;81:6;90:5;91:5;96:4;102:3;108:2;109:2;116:1;117:1,P2,DEFER_UNTIL_BROAD_WAVE_MARGINAL_YIELD_REVIEW,False,NOT_PERFORMED
82,False,0,0,0,0,0,0,0,,NOT_CAPTURED,,,10,46;55;69;75;82;92;97;103;110;118,46:11;55:10;69:8;75:7;82:6;92:5;97:4;103:3;110:2;118:1,P2,DEFER_UNTIL_BROAD_WAVE_MARGINAL_YIELD_REVIEW,False,NOT_PERFORMED
83,False,0,0,0,0,0,0,0,,NOT_CAPTURED,,,8,64;76;83;93;98;104;111;119,64:9;76:7;83:6;93:5;98:4;104:3;111:2;119:1,P2,DEFER_UNTIL_BROAD_WAVE_MARGINAL_YIELD_REVIEW,False,NOT_PERFORMED
84,False,0,0,0,0,0,0,0,,NOT_CAPTURED,,,14,47;56;65;70;77;84;94;99;105;106;112;113;120;121,47:11;56:10;65:9;70:8;77:7;84:6;94:5;99:4;105:3;106:3;112:2;113:2;120:1;121:1,P2,DEFER_UNTIL_BROAD_WAVE_MARGINAL_YIELD_REVIEW,False,NOT_PERFORMED
85,False,0,0,0,0,0,0,0,,NOT_CAPTURED,,,12,48;57;66;71;78;85;95;100;101;107;114;122,48:11;57:10;66:9;71:8;78:7;85:6;95:5;100:4;101:4;107:3;114:2;122:1,P1,BROAD_UNOBSERVED_QL_BAND_SAMPLE,True,NOT_PERFORMED
86,False,0,0,0,0,0,0,0,,NOT_CAPTURED,,,9,72;79;86;96;102;108;115;123;124,72:8;79:7;86:6;96:5;102:4;108:3;115:2;123:1;124:1,P2,DEFER_UNTIL_BROAD_WAVE_MARGINAL_YIELD_REVIEW,False,NOT_PERFORMED
87,False,0,0,0,0,0,0,0,,NOT_CAPTURED,,,11,49;58;67;73;87;97;103;109;116;117;125,49:11;58:10;67:9;73:8;87:6;97:5;103:4;109:3;116:2;117:2;125:1,P2,DEFER_UNTIL_BROAD_WAVE_MARGINAL_YIELD_REVIEW,False,NOT_PERFORMED
88,False,0,0,0,0,0,0,0,,NOT_CAPTURED,,,12,59;68;74;80;88;98;104;110;111;118;126;127,59:10;68:9;74:8;80:7;88:6;98:5;104:4;110:3;111:3;118:2;126:1;127:1,P2,DEFER_UNTIL_BROAD_WAVE_MARGINAL_YIELD_REVIEW,False,NOT_PERFORMED
89,False,0,0,0,0,0,0,0,,NOT_CAPTURED,,,9,50;69;81;89;99;105;112;119;128,50:11;69:9;81:7;89:6;99:5;105:4;112:3;119:2;128:1,P2,DEFER_UNTIL_BROAD_WAVE_MARGINAL_YIELD_REVIEW,False,NOT_PERFORMED
90,False,0,0,0,0,0,0,0,,NOT_CAPTURED,,,12,60;75;82;90;100;101;106;107;113;120;121;129,60:10;75:8;82:7;90:6;100:5;101:5;106:4;107:4;113:3;120:2;121:2;129:1,P2,DEFER_UNTIL_BROAD_WAVE_MARGINAL_YIELD_REVIEW,False,NOT_PERFORMED
91,False,0,0,0,0,0,0,0,,NOT_CAPTURED,,,13,51;61;70;76;77;83;91;102;108;114;122;130;131,51:11;61:10;70:9;76:8;77:8;83:7;91:6;102:5;108:4;114:3;122:2;130:1;131:1,P2,DEFER_UNTIL_BROAD_WAVE_MARGINAL_YIELD_REVIEW,False,NOT_PERFORMED
92,False,0,0,0,0,0,0,0,,NOT_CAPTURED,,,10,52;71;84;92;103;109;115;116;123;132,52:11;71:9;84:7;92:6;103:5;109:4;115:3;116:3;123:2;132:1,P2,DEFER_UNTIL_BROAD_WAVE_MARGINAL_YIELD_REVIEW,False,NOT_PERFORMED
